From,To,Species,Gene Name
FBgn0031824,33911,Drosophila melanogaster,CG9547 gene product from transcript CG9547-RA(CG9547)
FBgn0023507,31184,Drosophila melanogaster,CG3835 gene product from transcript CG3835-RC(CG3835)
FBgn0027945,40349,Drosophila melanogaster,pumpless(ppl)
FBgn0265726,32329,Drosophila melanogaster,Drosophila Nna1 ortholog(NnaD)
FBgn0032393,34613,Drosophila melanogaster,CG12264 gene product from transcript CG12264-RA(CG12264)
FBgn0033248,35763,Drosophila melanogaster,Dicarboxylate carrier 3(Dic3)
FBgn0263863,42671,Drosophila melanogaster,mitochondrial ribosomal protein L45(mRpL45)
FBgn0032595,34998,Drosophila melanogaster,CG17996 gene product from transcript CG17996-RA(CG17996)
FBgn0039561,43353,Drosophila melanogaster,mitoferrin(mfrn)
FBgn0019960,42587,Drosophila melanogaster,CG6455 gene product from transcript CG6455-RC(Mitofilin)
FBgn0034307,37075,Drosophila melanogaster,CG10914 gene product from transcript CG10914-RA(CG10914)
FBgn0040389,31222,Drosophila melanogaster,mitochondrial ribosomal protein L14(mRpL14)
FBgn0051244,326129,Drosophila melanogaster,CG31244 gene product from transcript CG31244-RA(CG31244)
FBgn0032486,34720,Drosophila melanogaster,CG5705 gene product from transcript CG5705-RA(CG5705)
FBgn0001247,40248,Drosophila melanogaster,Insulin degrading metalloproteinase(Ide)
FBgn0040751,50224,Drosophila melanogaster,CG13018 gene product from transcript CG13018-RA(CG13018)
FBgn0038038,41521,Drosophila melanogaster,CG5167 gene product from transcript CG5167-RA(CG5167)
FBgn0001248,44291,Drosophila melanogaster,Isocitrate dehydrogenase(Idh)
FBgn0035591,38601,Drosophila melanogaster,CG4611 gene product from transcript CG4611-RA(CG4611)
FBgn0032287,34474,Drosophila melanogaster,CG6415 gene product from transcript CG6415-RA(CG6415)
FBgn0023537,30995,Drosophila melanogaster,CG17896 gene product from transcript CG17896-RB(CG17896)
FBgn0015808,44183,Drosophila melanogaster,Sterol carrier protein X-related thiolase(ScpX)
FBgn0051679,33404,Drosophila melanogaster,Testis EndoG-Like 3(Tengl3)
FBgn0023535,46717,Drosophila melanogaster,arginase(arg)
FBgn0039697,43515,Drosophila melanogaster,CG7834 gene product from transcript CG7834-RB(CG7834)
FBgn0039593,43390,Drosophila melanogaster,Stress induced DNase(Sid)
FBgn0039592,43389,Drosophila melanogaster,CG14062 gene product from transcript CG14062-RB(CG14062)
FBgn0016691,41845,Drosophila melanogaster,"ATP synthase, oligomycin sensitivity conferring protein(ATPsynO)"
FBgn0039694,43511,Drosophila melanogaster,fos intronic gene(fig)
FBgn0051133,318604,Drosophila melanogaster,Seryl-tRNA synthetase-like insect mitochondrial protein(Slimp)
FBgn0015031,46040,Drosophila melanogaster,cyclope(cype)
FBgn0035392,38364,Drosophila melanogaster,CG1271 gene product from transcript CG1271-RC(CG1271)
FBgn0030966,32878,Drosophila melanogaster,CG7280 gene product from transcript CG7280-RA(CG7280)
FBgn0001142,33172,Drosophila melanogaster,Glutamine synthetase 1(Gs1)
FBgn0003388,39592,Drosophila melanogaster,shade(shd)
FBgn0038570,3771951,Drosophila melanogaster,Peroxiredoxin 5(Prx5)
FBgn0053503,2768720,Drosophila melanogaster,CG33503 gene product from transcript CG33503-RA(Cyp12d1-d)
FBgn0032971,35437,Drosophila melanogaster,tiny tim 3(ttm3)
FBgn0051278,41282,Drosophila melanogaster,CG31278 gene product from transcript CG31278-RA(CG31278)
FBgn0035587,38597,Drosophila melanogaster,GDAP1 ortholog(Gdap1)
FBgn0051874,318995,Drosophila melanogaster,CG31874 gene product from transcript CG31874-RA(CG31874)
FBgn0040268,35236,Drosophila melanogaster,Topoisomerase 3alpha(Top3alpha)
FBgn0085483,5740130,Drosophila melanogaster,CG34454 gene product from transcript CG34454-RA(CG34454)
FBgn0038584,42182,Drosophila melanogaster,CG7175 gene product from transcript CG7175-RA(mTerf5)
FBgn0039689,43503,Drosophila melanogaster,"Complex I intermediate-associated protein, 30 kDa(CIA30)"
FBgn0266599,41840,Drosophila melanogaster,Heat shock protein cognate 4(Hsc70-4)
FBgn0035383,38355,Drosophila melanogaster,CG2107 gene product from transcript CG2107-RA(CG2107)
FBgn0039588,43382,Drosophila melanogaster,CG12413 gene product from transcript CG12413-RA(CG12413)
FBgn0032986,35452,Drosophila melanogaster,CG3262 gene product from transcript CG3262-RE(CG3262)
FBgn0031817,33902,Drosophila melanogaster,CG9531 gene product from transcript CG9531-RA(CG9531)
FBgn0031814,33899,Drosophila melanogaster,real-time(retm)
FBgn0041100,40336,Drosophila melanogaster,parkin(park)
FBgn0069354,34499,Drosophila melanogaster,CG17137 gene product from transcript CG17137-RB(Porin2)
FBgn0069923,3355108,Drosophila melanogaster,CG41128 gene product from transcript CG41128-RB(CG41128)
FBgn0027291,32940,Drosophila melanogaster,lethal (1) G0156(l(1)G0156)
FBgn0037912,3772221,Drosophila melanogaster,scheggia(sea)
FBgn0011244,48572,Drosophila melanogaster,Heat shock protein 60 related(Hsp60B)
FBgn0033413,35969,Drosophila melanogaster,preli-like(prel)
FBgn0037574,40988,Drosophila melanogaster,Coenzyme Q biosynthesis protein 2(Coq2)
FBgn0261985,38059,Drosophila melanogaster,Protein tyrosine phosphatase Meg(Ptpmeg)
FBgn0014877,36508,Drosophila melanogaster,CG6155 gene product from transcript CG6155-RA(Roe1)
FBgn0029514,38161,Drosophila melanogaster,CG9166 gene product from transcript CG9166-RA(312)
FBgn0037778,41228,Drosophila melanogaster,mitochondrial transcription factor B2(mtTFB2)
FBgn0029890,31606,Drosophila melanogaster,CG4095 gene product from transcript CG4095-RA(CG4095)
FBgn0029891,31607,Drosophila melanogaster,PTEN-induced putative kinase 1(Pink1)
FBgn0033918,36584,Drosophila melanogaster,CG8531 gene product from transcript CG8531-RA(CG8531)
FBgn0038519,42109,Drosophila melanogaster,Peroxiredoxin 3(Prx3)
FBgn0031039,3772641,Drosophila melanogaster,CG14209 gene product from transcript CG14209-RE(Shawn)
FBgn0033816,36466,Drosophila melanogaster,CG4679 gene product from transcript CG4679-RA(CG4679)
FBgn0024360,31081,Drosophila melanogaster,CG11418 gene product from transcript CG11418-RC(CG11418)
FBgn0033005,35475,Drosophila melanogaster,CG3107 gene product from transcript CG3107-RB(CG3107)
FBgn0027794,31095,Drosophila melanogaster,Leucine-rich pentatricopeptide repeat containing 2(Lrpprc2)
FBgn0063923,3772691,Drosophila melanogaster,CG1220 gene product from transcript CG1220-RE(Kaz1-ORFB)
FBgn0002567,35940,Drosophila melanogaster,CG8024 gene product from transcript CG8024-RD(Rab32)
FBgn0037901,41374,Drosophila melanogaster,CG6744 gene product from transcript CG6744-RA(CG6744)
FBgn0000447,41022,Drosophila melanogaster,Dihydroorotate dehydrogenase(Dhod)
FBgn0261618,53567,Drosophila melanogaster,La related protein(larp)
FBgn0017482,37551,Drosophila melanogaster,Type III alcohol dehydrogenase(T3dh)
FBgn0000449,45282,Drosophila melanogaster,disembodied(dib)
FBgn0086712,36242,Drosophila melanogaster,Enigma(Egm)
FBgn0029783,31480,Drosophila melanogaster,Sirtuin 4(Sirt4)
FBgn0065035,2768870,Drosophila melanogaster,CG33250 gene product from transcript CG33250-RA(AlkB)
FBgn0037170,40475,Drosophila melanogaster,thioredoxin reductase 2(Trxr-2)
FBgn0027786,38026,Drosophila melanogaster,Mitochondrial carrier homolog 1(Mtch)
FBgn0033900,36563,Drosophila melanogaster,CG8257 gene product from transcript CG8257-RB(CG8257)
FBgn0024556,44438,Drosophila melanogaster,Elongation factor Tu mitochondrial(EfTuM)
FBgn0037862,41326,Drosophila melanogaster,CG4706 gene product from transcript CG4706-RA(CG4706)
FBgn0038428,41993,Drosophila melanogaster,CG14894 gene product from transcript CG14894-RB(CG14894)
FBgn0053002,318825,Drosophila melanogaster,mitochondrial ribosomal protein L27(mRpL27)
FBgn0004406,34792,Drosophila melanogaster,tamas(tam)
FBgn0037696,41132,Drosophila melanogaster,Glutathione S transferase Z1(GstZ1)
FBgn0037697,41133,Drosophila melanogaster,Glutathione S transferase Z2(GstZ2)
FBgn0021765,32789,Drosophila melanogaster,scully(scu)
FBgn0030853,32740,Drosophila melanogaster,NADH dehydrogenase (ubiquinone) 24 kDa subunit(ND-24)
FBgn0261862,36109,Drosophila melanogaster,withered(whd)
FBgn0004407,3772064,Drosophila melanogaster,DNA polymerase gamma 35kD(DNApol-gamma35)
FBgn0038737,42359,Drosophila melanogaster,CG11447 gene product from transcript CG11447-RA(CG11447)
FBgn0260223,8674071,Drosophila melanogaster,CG42497 gene product from transcript CG42497-RA(CG42497)
FBgn0040907,50381,Drosophila melanogaster,mitochondrial ribosomal protein L33(mRpL33)
FBgn0030407,32212,Drosophila melanogaster,CG2543 gene product from transcript CG2543-RA(CG2543)
FBgn0031684,33744,Drosophila melanogaster,NADH dehydrogenase (ubiquinone) 13 kDa A subunit(ND-13A)
FBgn0051739,326155,Drosophila melanogaster,CG31739 gene product from transcript CG31739-RA(CG31739)
FBgn0037146,40443,Drosophila melanogaster,CG7470 gene product from transcript CG7470-RB(CG7470)
FBgn0042094,41318,Drosophila melanogaster,Adenylate kinase 3(Adk3)
FBgn0003141,35292,Drosophila melanogaster,purple(pr)
FBgn0011706,40015,Drosophila melanogaster,reaper(rpr)
FBgn0030724,32573,Drosophila melanogaster,CG9212 gene product from transcript CG9212-RC(Nipsnap)
FBgn0032430,34656,Drosophila melanogaster,CG6388 gene product from transcript CG6388-RA(CG6388)
FBgn0031419,33422,Drosophila melanogaster,CG15390 gene product from transcript CG15390-RA(CG15390)
FBgn0034792,37636,Drosophila melanogaster,CG3499 gene product from transcript CG3499-RD(CG3499)
FBgn0010052,36780,Drosophila melanogaster,Juvenile hormone esterase(Jhe)
FBgn0038745,42369,Drosophila melanogaster,CG4538 gene product from transcript CG4538-RC(CG4538)
FBgn0036774,40001,Drosophila melanogaster,mitochondrial ribosomal protein S26(mRpS26)
FBgn0038742,42364,Drosophila melanogaster,CG4703 gene product from transcript CG4703-RA(Arc42)
FBgn0014092,34970,Drosophila melanogaster,CG4278 gene product from transcript CG4278-RA(CG4278)
FBgn0037298,40623,Drosophila melanogaster,CG2604 gene product from transcript CG2604-RC(CG2604)
