"ID","sM1","sM2","sM3","sM4","AveExpr","F","P.Value","adj.P.Val"
"1638496_at",0.0214510969999968,-0.719511669499994,-0.0319677049999991,-0.0346384775000046,7.35385654525,98.4303113325499,3.08425717797285e-15,3.89603366721531e-11
"1630502_at",-0.000742977249993615,-0.79732505249999,0.0530621800000066,-0.0243994289999989,7.9426377773,63.060248133373,6.04065128658191e-13,3.81527535260514e-09
"1624700_a_at",0.042168278499997,-0.667823909499995,-0.0137528609999968,-0.00840800675000164,7.37951558735,57.661769180485,1.70117218427542e-12,7.16306901058903e-09
"1633079_at",0.0697924649999981,-0.507080542499993,0.354423430000003,0.0508670749999949,8.971760512425,50.8095649569565,7.22577630473004e-12,2.28190015703375e-08
"1628668_at",0.049664004500003,-0.39277085974999,0.341632557750006,0.0749439352500003,8.521829049725,49.5212804027397,9.66622326452181e-12,2.44207464554879e-08
"1637277_at",0.0703949552500012,-0.347889837999991,0.353669806000004,0.0278639634999989,7.916341091525,45.2545646376201,2.66290122031728e-11,5.60629470250797e-08
"1633255_at",0.130916906750001,-0.305928122749994,0.262357225000005,0.0871076920000005,6.800259913,42.8986997817867,4.83063387802044e-11,8.71722387816489e-08
"1631665_at",0.0966606850000025,-0.198482057499986,0.428865622500006,0.150226477500003,9.619058805525,41.4651868359965,7.03762550157519e-11,1.11124106669872e-07
"1627620_at",0.1279493,-0.351889237499996,0.273136480000002,0.0329382999999952,8.410861546975,39.1639094029134,1.31870138727575e-10,1.8508706582297e-07
"1622935_at",0.128004364500002,-0.317662413249994,0.437335869500004,0.0945486519999976,8.271507598825,38.2004015982085,1.7313468939467e-10,2.18703739643347e-07
"1634808_at",0.106970048,-0.354368719749993,0.246757074250003,-0.0179241847500036,7.291520595225,37.0182379365219,2.43747048616597e-10,2.79910247102259e-07
"1637209_at",0.19185085075,-0.268408917749993,0.287867960000004,0.059675818249997,7.7870057802,36.7061340814437,2.67192363459762e-10,2.81264494601976e-07
"1639563_at",0.120698704250001,-0.291651691999995,0.301312815750002,0.0309402924999969,7.5586295219,35.7728395411212,3.53029044338324e-10,3.43035606775516e-07
"1634224_at",0.139922349999996,-0.302423904749996,0.362282467500001,0.0760599849999943,8.347179948525,35.1900781648693,4.21404329322981e-10,3.80227106286278e-07
"1629799_at",0.0650881277500002,-0.319829912249991,0.146724434500003,-0.0127135112500003,7.525399889375,34.8202706307503,4.72108905793397e-10,3.97578646532146e-07
"1627178_at",0.2187625425,-0.0993355224999899,0.427049357500005,0.231606822499996,10.021849267675,33.7510615639381,6.59466978892408e-10,5.20649179835556e-07
"1634651_at",0.135443237499999,-0.215229674999989,0.423528085000004,0.125541217499993,8.748322261425,32.8786548667492,8.71904468305495e-10,6.47876308449118e-07
"1636147_at",0.13094595,-0.303449604999993,0.359271540000003,0.114464929999998,8.80541922565,32.0747316862106,1.13393930766136e-09,7.9339940468106e-07
