"ID","t","P.Value","adj.P.Val"
"1616608_a_at",-0.604747720221771,0.547563743879254,0.819039149425624
"1622892_s_at",-0.650661248953168,0.517680341253998,0.800577546099206
"1622893_at",-3.27557313354327,0.00173218429809419,0.0513745803090472
"1622894_at",4.06350045548487,0.000138959811996404,0.0100135602926078
"1622895_at",-3.25837696437334,0.00182408322501353,0.0528747676606847
"1622896_at",-4.23569767683477,7.7233974040806e-05,0.00700353242115481
"1622897_at",-0.518605693060088,0.60589031192749,0.850454243197288
"1622898_a_at",-0.662826362152058,0.509909810388763,0.796096113888115
"1622899_at",-1.14943182910201,0.254813005550878,0.607219424267601
"1622900_at",0.131753602854497,0.895607779421679,0.968699842232602
"1622901_at",1.04611579189722,0.299587608154742,0.64795310460702
"1622902_at",0.260036196543305,0.79570143942421,0.932670467595128
"1622903_s_at",-0.537164986178526,0.593085155949383,0.84454790000149
"1622904_at",0.110459824295478,0.912403139366438,0.972983586387167
"1622905_at",1.40418218787002,0.165277232261901,0.508165818596292
"1622906_at",-1.25013948399884,0.21596824092038,0.566402025770669
"1622907_at",-1.17283334237817,0.245369706686803,0.598306862482791
"1622908_a_at",-4.48244492465533,3.26542683653641e-05,0.00407147167144987
"1622909_at",1.69608032109877,0.0949100349672411,0.404482793501047
"1622910_at",-0.0958531909645499,0.923947746602074,0.976300465420189
"1622911_at",-0.278691776331606,0.781413082641189,0.927270723873537
"1622912_at",-0.161722924675790,0.872052347099153,0.95809484534627
"1622913_a_at",2.21198109776045,0.0306790353944121,0.242418974195709
"1622914_at",1.37039728238625,0.175527213325178,0.520775420353833
"1622915_at",-0.737409618136829,0.463667761442845,0.768736892211075
"1622916_at",1.08176469089149,0.283565961295734,0.632307918574982
"1622917_a_at",0.870381342163821,0.387464984082374,0.718164926975957
"1622918_at",1.04099385090767,0.30193943083137,0.650193852189083
"1622919_at",1.91171664656357,0.060558216944977,0.329450146145920
"1622920_at",-1.53044647857909,0.131016305931169,0.463992351037969
"1622921_at",3.96639031854052,0.000192520268531919,0.0124527103386243
"1622922_at",1.53395466979752,0.13015167428489,0.463348308069787
"1622923_at",-0.540172362574875,0.59102220288213,0.842820324087091
"1622924_at",0.0944357053462802,0.925068995620864,0.97638157746751
"1622925_at",-0.832149025746058,0.40853332807878,0.733372418128458
"1622926_at",0.262760563053152,0.793610330165148,0.931819774319428
"1622927_at",0.914163198349761,0.364188925007752,0.701656091970589
"1622928_at",-2.61846673332859,0.0110979761962349,0.146181695488997
"1622929_at",0.633890856785908,0.528494564309115,0.807164115769837
"1622930_a_at",-1.25795422609180,0.213147146830323,0.563505017865643
"1622931_at",-0.322641569637862,0.74805724024474,0.913066324281466
"1622932_s_at",-0.375194338435077,0.708802325629677,0.896126254992729
"1622933_at",-1.76332991297314,0.0827949381265003,0.380191481101565
"1622934_at",1.86933388157884,0.066322737489371,0.343616326106768
"1622935_at",0.858950957286316,0.393691603120889,0.722358724208257
