"ID","t","P.Value","adj.P.Val"
"1616608_a_at",0.411928418834517,0.681807185102675,0.886499388451867
"1622892_s_at",0.205889468460445,0.83754924518108,0.946412669608385
"1622893_at",0.340422683406223,0.734684605903475,0.909854286561256
"1622894_at",-3.0085099090482,0.00378597443729586,0.0685963551965881
"1622895_at",2.01388646204626,0.048349483610242,0.277986213361351
"1622896_at",-1.25008063071335,0.215950107965169,0.557857032337001
"1622897_at",-1.65885506371402,0.102176693002099,0.397302561710256
"1622898_a_at",-0.189135294493650,0.850602209596958,0.952090254518902
"1622899_at",0.701847563111289,0.485390626371349,0.781972386177303
"1622900_at",-0.768910174253532,0.44485475857769,0.75435132598664
"1622901_at",-3.45921211778017,0.00098341079510217,0.0295306665288493
"1622902_at",-0.0415206018046196,0.967013782344306,0.990621763587336
"1622903_s_at",0.859277749006782,0.393484888211554,0.719819073492797
"1622904_at",-1.77852795559187,0.0802011940305441,0.352035657087247
"1622905_at",-2.67043230228751,0.00965272921612127,0.117840350346677
"1622906_at",-2.55999831813827,0.0129087722333510,0.138688804629517
"1622907_at",0.769592770060344,0.444452583608052,0.75416468480077
"1622908_a_at",-2.62351269241175,0.0109317082066547,0.127180929363118
"1622909_at",1.55426644946631,0.125191611620623,0.437289443808733
"1622910_at",-0.401890717434452,0.689141253892692,0.888719520934911
"1622911_at",0.666274467258655,0.507697939523343,0.794037709074303
"1622912_at",-5.47638542804982,8.29017739060865e-07,0.000288482844206052
"1622913_a_at",0.929560845302025,0.356189941517418,0.692857617944997
"1622914_at",-0.0141339046196807,0.988768361453579,0.996921742100773
"1622915_at",-0.923066485216868,0.359537334112319,0.69624168465825
"1622916_at",-0.582219933806675,0.562521801602686,0.827196864057582
"1622917_a_at",0.461458666708868,0.646078348176146,0.868418032803312
"1622918_at",-2.16229843530204,0.0344467816694560,0.233991185017753
"1622919_at",0.260760678563856,0.795137931652847,0.933163499492478
"1622920_at",-1.8112647300034,0.074925914500464,0.341181146471118
"1622921_at",-1.52900703652729,0.13132958729664,0.448153825969808
"1622922_at",3.40171756275938,0.00117491480360899,0.0333837861439245
"1622923_at",-0.144461905783350,0.885602514324635,0.96516405287379
"1622924_at",-2.99644729972870,0.00391906245414344,0.0700924376293594
"1622925_at",-1.20320418169409,0.233454234121437,0.577831098086407
"1622926_at",1.26748178820958,0.209704875231976,0.551300706810432
"1622927_at",-0.309245774271549,0.758167500110243,0.918546108242876
"1622928_at",0.855803196852514,0.395389449667626,0.721082718932246
"1622929_at",0.777086555285698,0.440051353944089,0.751473532163307
"1622930_a_at",-0.810215867994637,0.420903289982161,0.739497464702134
"1622931_at",0.373754599562601,0.709857092806425,0.89664754547475
"1622932_s_at",-0.150024082002497,0.881230745666009,0.963572864223565
"1622933_at",1.4175889656825,0.161297942023641,0.492971875057578
"1622934_at",-0.9019287270112,0.370571978714100,0.703664678437621
"1622935_at",0.73197235702567,0.466932843725790,0.770106668128567
"1622936_at",-0.55827574510708,0.57865901629364,0.835052590938633
"1622937_at",-0.0251853226755281,0.979987722062694,0.994325248586794
"1622938_at",0.645424491652926,0.521024532446213,0.801875499791534
"1622939_at",-0.462766278591032,0.645145869887991,0.868383609929135
"1622940_at",-0.180402911619899,0.85742240316562,0.954711057954256
"1622941_at",1.18615238965378,0.240070609685497,0.585396599422145
"1622942_at",0.404319347469084,0.687363991053742,0.888126328708697
"1622943_s_at",0.929564215867966,0.356188209465003,0.692857617944997
"1622944_at",-0.78292159393836,0.436642137628834,0.748914369405815
"1622945_a_at",0.734007797220794,0.46570024843277,0.769213099903944
"1622946_at",-3.42116491616402,0.00110649854913175,0.0319183569302054
"1622947_s_at",2.17925579529399,0.0331060166319566,0.228725718768152
"1622948_at",0.288304887511119,0.774071342708107,0.92387430486832
"1622949_at",1.06309405581356,0.291846799721732,0.635555840532376
"1622950_a_at",3.63641970935576,0.000562476959260385,0.0204607741495256
"1622951_at",0.887381622745093,0.378289867387633,0.70817573666529
"1622952_at",0.49182326668997,0.624574508793056,0.858495509910502
"1622953_at",-0.450294813827815,0.654062539690516,0.87220611118876
"1622954_at",-0.978608243741091,0.331562264876868,0.67379026849093
"1622955_at",1.66163234443863,0.101615988139901,0.396500252628499
"1622956_at",-1.06999707878646,0.288752779704443,0.632937814909815
"1622957_s_at",-0.545764183053903,0.587178939764228,0.840313143180618
"1622958_at",-0.539405638919567,0.59153156254173,0.841899049342356
"1622959_at",-1.42266777082205,0.159825481183124,0.49098788017973
"1622960_at",1.66330056470398,0.101280399340806,0.395766212022053
"1622961_at",0.364203246502828,0.716940681070933,0.90001058406679
"1622962_a_at",1.42090973113266,0.160333994183279,0.491805533456859
"1622963_at",-0.677531196167081,0.500579919834878,0.789565495308928
"1622964_at",0.00535107065700177,0.99574759878219,0.998857168904889
"1622965_s_at",0.936089334591488,0.352845307340757,0.690105079739146
"1622966_at",-0.0229710240410587,0.981746875985926,0.994976833886913
"1622967_at",-0.932491496734243,0.354686004150784,0.691209167163564
"1622968_at",-2.50671418124222,0.0148114415966495,0.150110396331391
"1622969_at",1.80021313483993,0.0766733881117831,0.344503094237675
"1622970_at",-1.77878308263536,0.0801589169470389,0.352035657087247
"1622971_at",-2.33827131674384,0.0226009070872469,0.190200884155197
"1622972_at",0.600770205068316,0.550174704028576,0.818809755071715
"1622973_at",-0.310830945352346,0.756967780584878,0.917925458620516
"1622974_at",-0.170740875002303,0.86498138214578,0.95737540046305
"1622975_at",-0.205947770622136,0.83750390033048,0.946412669608385
"1622976_at",-1.46628717736436,0.147604646886582,0.471040009355707
"1622977_at",5.84440905207065,2.01505506824044e-07,0.000114721927024565
"1622978_at",0.772934089081555,0.442486998303339,0.752581314892299
"1622979_a_at",0.559795463016606,0.577628208378081,0.834335363971463
"1622980_at",2.07392264568353,0.0422302202055387,0.25904706690361
"1622981_at",1.39682501793717,0.167427217830161,0.500205011109638
"1622982_at",0.909172823790307,0.366766277405246,0.700860699514558
"1622983_a_at",-2.04448277139119,0.0451416372686916,0.267685954166534
"1622984_at",-2.01224235005364,0.0485272781429014,0.278609201867394
"1622985_at",1.82336451404405,0.0730510302661994,0.337641005238819
"1622986_at",0.112652001671706,0.91066901965548,0.972995786475964
"1622987_at",-1.77681934445663,0.080484806319061,0.352274376295345
"1622988_at",0.62003315408325,0.537499572384759,0.811753278813926
"1622989_at",0.034767443318173,0.972376448290547,0.992675695744469
"1622990_at",0.136271975233511,0.892046108577134,0.968076203103719
"1622991_s_at",1.55551293401070,0.124894749798177,0.436964794398657
"1622992_at",0.0910651778545506,0.927733260813634,0.97928100551141
"1622993_at",1.53993505398976,0.128645382343606,0.443449851978179
"1622994_at",0.540567402039796,0.590735166393720,0.841588081899697
"1622995_at",-0.82837858137536,0.410621566683438,0.731631360814693
"1622996_at",0.678825553571302,0.499764940401716,0.789229660069437
"1622997_at",1.37918318477289,0.172774375736826,0.506405810232651
"1622998_a_at",-0.266365248329542,0.790838417770624,0.931387784259663
"1622999_at",-0.113817872678575,0.909748533221144,0.972749083143062
"1623000_at",0.299470922942457,0.765578571734439,0.921300440038712
"1623001_at",-0.351351634445627,0.726511237083452,0.904416773857435
"1623002_at",0.212779934275741,0.832194013016163,0.945160874027821
"1623003_at",0.608054893114493,0.545363652273939,0.816326734362699
"1623004_a_at",1.58761262256600,0.117441791901752,0.424169921002011
"1623005_at",-0.140731305285537,0.888536706196452,0.96628468796083
"1623006_at",-0.894043699434708,0.374742832253075,0.705694600034284
"1623007_a_at",-0.0552466027101109,0.956118970650022,0.98758255045481
"1623008_at",0.375009270814074,0.708928478070928,0.896185466675576
"1623009_at",0.842055744048,0.402980855517265,0.726600054586928
"1623010_at",0.87287899507049,0.386084311824063,0.714075713773173
"1623011_at",-0.869319462090504,0.388012632255415,0.715143789114687
"1623012_at",3.81326739059277,0.000317348280594523,0.0139221866060819
"1623013_s_at",0.311525381408431,0.75644239288763,0.917925458620516
"1623014_at",1.46366037543773,0.148319285176910,0.472110697459322
"1623015_at",0.426864363097767,0.67095114851131,0.882139525384358
"1623016_at",-1.53508296007274,0.129831744426405,0.445997809792541
"1623017_at",0.700284073993845,0.48635951803493,0.782724796368478
"1623018_at",1.00671007361667,0.317972097924714,0.661415023061315
"1623019_a_at",0.0756396300741836,0.939948418992608,0.982929505701026
"1623020_at",-0.99138272676555,0.325337462744541,0.66801685741436
"1623021_at",0.706968613749037,0.48222462613174,0.78012130725128
"1623022_at",-1.86289361947176,0.0671978876747503,0.324964115134439
"1623023_at",1.96639358667203,0.0537167344871193,0.291657281489030
"1623024_at",-0.604610640336553,0.547635685098274,0.81697036397847
"1623025_at",-2.09378604266014,0.0403590376100632,0.253264273830579
"1623026_a_at",0.282693085176975,0.77835017507211,0.925887675159456
"1623027_s_at",-4.6406202491897,1.83848831323592e-05,0.00213760923389246
"1623028_at",0.571201279040146,0.569920164538706,0.830546901521039
"1623029_at",1.07245052743339,0.287658586933165,0.63171558975172
"1623030_at",-2.76885870656904,0.00740246233933454,0.102030157276413
"1623031_a_at",-1.75653011552071,0.0839168324850601,0.360061537074227
"1623032_at",-0.160948582181560,0.872655194798822,0.960929710756334
"1623033_at",0.167138115277562,0.867803239693013,0.958302192281028
"1623034_at",0.167638195213493,0.867411448643248,0.958198626052485
"1623035_at",0.652558729143423,0.51644389476986,0.798860977283576
"1623036_a_at",-2.10854195989695,0.039016004873839,0.249106822471672
"1623037_a_at",-1.14656230786589,0.255951517290879,0.601554944631598
"1623038_at",-0.0828488477532383,0.934237613140243,0.98148480755382
"1623039_at",1.36506910361178,0.177145691244131,0.513537561167752
"1623040_at",-0.0671009933484968,0.94671639864826,0.985590231735957
"1623041_at",-0.777297933367211,0.439927580420868,0.751443974414583
"1623042_at",-0.610114104640141,0.544007566796439,0.8154626124044
"1623043_s_at",-0.575565392614785,0.56698424490803,0.82957503354412
"1623044_at",-0.569853094186459,0.57082864346574,0.831008379414233
"1623045_at",-2.68067053238781,0.00939246909689935,0.116419930885832
"1623046_at",-1.1503174434859,0.254413852667366,0.60023046629552
"1623047_at",0.582277456436964,0.56248330355491,0.827196864057582
"1623048_a_at",1.54558748810755,0.127274231320225,0.441130437450786
"1623049_at",-0.99727140487595,0.322494389926871,0.66527851071014
"1623050_at",-4.62209658862144,1.96485616460521e-05,0.00224798820727281
"1623051_at",-0.876756196921345,0.383990731875227,0.712422158639188
"1623052_at",-0.372334911388764,0.71090837328815,0.897072740565751
"1623053_a_at",2.39006233166346,0.0198862430667728,0.178027434388983
"1623054_at",0.350280977724607,0.727310553143522,0.904936292225316
"1623055_at",0.946125867541332,0.347743280575696,0.687024976961398
"1623056_at",-1.32338474041850,0.190548472215614,0.531069800798576
"1623057_at",-0.338679142291869,0.73599141791806,0.91065543855736
"1623058_at",0.786313678677674,0.434667440395404,0.747465504979013
"1623059_at",-1.34540313334062,0.183376529095648,0.520447563153946
"1623060_at",-0.800240130121188,0.426615726162932,0.742928686002139
"1623061_at",-3.21078522465578,0.00209551944117248,0.0477909560157651
"1623062_at",-1.24872837970392,0.216441112608918,0.558039670760285
"1623063_at",1.91854576371081,0.0596313105072485,0.308166295687526
"1623064_at",-0.222865234360717,0.824370204071401,0.943397384416916
"1623065_at",-0.708868903541718,0.481052736686673,0.779224368126681
"1623066_at",2.15523399499923,0.0350192185705676,0.235859153578445
"1623067_at",-0.51457929856751,0.608669609646725,0.8509145549924
"1623068_at",0.426723173241831,0.671053446787752,0.882139525384358
"1623069_s_at",2.85737150430383,0.00580145644172257,0.0890998399380276
"1623070_a_at",-0.25184990507065,0.801986869449038,0.935933803537318
"1623071_at",-1.97221249948986,0.0530328567535391,0.290413797010447
"1623072_at",-0.106788843463207,0.915299976731237,0.97404220330958
"1623073_s_at",2.93251081920458,0.00470008351149225,0.0791083327795748
"1623074_at",-2.74143524090225,0.00797539221614249,0.105995535259700
"1623075_at",-1.16572542194341,0.248173498456144,0.593899099302066
"1623076_at",0.897261676728735,0.373037077676627,0.705134010674713
"1623077_at",0.784108236950027,0.43595073381287,0.748488872911538
"1623078_at",-0.0949603241171448,0.92465141806767,0.977865051401178
"1623079_at",-0.849407729474268,0.39890998550938,0.723383474443553
"1623080_at",1.96390893892685,0.0540110364712373,0.292049767120852
"1623081_at",1.23694304170842,0.220755268814869,0.562559345781821
"1623082_s_at",0.141103662765179,0.888243768611546,0.96609844423811
