"type","sex","FBgn0040342","FBgn0040363","FBgn0001189","FBgn0029587","FBgn0000667","FBgn0023523","FBgn0044047","FBgn0023529","FBgn0005670","FBgn0003068","FBgn0024997","FBgn0011276","FBgn0052791","FBgn0029827","FBgn0029831","FBgn0052750","FBgn0043364","FBgn0031248","FBgn0036975","FBgn0036996","FBgn0037074","FBgn0037105","FBgn0037151","FBgn0004449","FBgn0037188","FBgn0037279","FBgn0037240","FBgn0031701","FBgn0031710","FBgn0031741","FBgn0031747","FBgn0031805","FBgn0031881","FBgn0031910","FBgn0041247","FBgn0031968","FBgn0031976","FBgn0011259","FBgn0040959","FBgn0052984","FBgn0032085","FBgn0032084","FBgn0032079","FBgn0032119","FBgn0002973","FBgn0032136","FBgn0032144","FBgn0032258","FBgn0032264","FBgn0023496","FBgn0040096","FBgn0032373","FBgn0032374","FBgn0020309","FBgn0032381","FBgn0032477","FBgn0028931","FBgn0028533","FBgn0012037","FBgn0053307","FBgn0028542","FBgn0028516","FBgn0051832","FBgn0028945","FBgn0028948","FBgn0028949","FBgn0028950","FBgn0025678","FBgn0028375","FBgn0004797","FBgn0032639","FBgn0032638","FBgn0051792","FBgn0051793","FBgn0032733","FBgn0015772","FBgn0032726","FBgn0032773","FBgn0032801","FBgn0032787","FBgn0032913","FBgn0032910","FBgn0041336","FBgn0015568","FBgn0037485","FBgn0037562","FBgn0010222","FBgn0037678","FBgn0037718","FBgn0037727","FBgn0037783","FBgn0037788","FBgn0037801","FBgn0037811","FBgn0037852","FBgn0040257","FBgn0027584","FBgn0037870","FBgn0003312","FBgn0037975","FBgn0037955","FBgn0037949","FBgn0010043","FBgn0038082","FBgn0002905","FBgn0038095","FBgn0038098","FBgn0038135","FBgn0038136","FBgn0038151","FBgn0038150","FBgn0038126","FBgn0038214","FBgn0053109","FBgn0038221","FBgn0038290","FBgn0038285","FBgn0038302","FBgn0028984","FBgn0038360","FBgn0027657","FBgn0063649","FBgn0024491","FBgn0038487","FBgn0038482","FBgn0038479","FBgn0038511","FBgn0000564","FBgn0038523","FBgn0023083","FBgn0038700","FBgn0038701","FBgn0038702","FBgn0051219","FBgn0038734","FBgn0038731","FBgn0038730","FBgn0038790","FBgn0002869","FBgn0053192","FBgn0038803","FBgn0046689","FBgn0038845","FBgn0051233","FBgn0051198","FBgn0038901","FBgn0038972","FBgn0038973","FBgn0051159","FBgn0039015","FBgn0039098","FBgn0039101","FBgn0039154","FBgn0039239","FBgn0039298","FBgn0039299","FBgn0039319","FBgn0039323","FBgn0039312","FBgn0039304","FBgn0039296","FBgn0027865","FBgn0039444","FBgn0039470","FBgn0051075","FBgn0029170","FBgn0039510","FBgn0040609","FBgn0039562","FBgn0039564","FBgn0039591","FBgn0053346","FBgn0039611","FBgn0039636","FBgn0039637","FBgn0039666","FBgn0015622","FBgn0051202","FBgn0000279","FBgn0015221","FBgn0015222","FBgn0039778","FBgn0039777","FBgn0039798","FBgn0039886","FBgn0032981","FBgn0033032","FBgn0029506","FBgn0034545","FBgn0034542","FBgn0034480","FBgn0034429","FBgn0034437","FBgn0034399","FBgn0034406","FBgn0034329","FBgn0034335","FBgn0063494","FBgn0034354","FBgn0028983","FBgn0027836","FBgn0034291","FBgn0034264","FBgn0034262","FBgn0050106","FBgn0024196","FBgn0027106","FBgn0053222","FBgn0030016","FBgn0030073","FBgn0030060","FBgn0030105","FBgn0040234","FBgn0005391","FBgn0050295","FBgn0022700","FBgn0034588","FBgn0034628","FBgn0050394","FBgn0034612","FBgn0027073","FBgn0034647","FBgn0000326","FBgn0050286","FBgn0034631","FBgn0034662","FBgn0034710","FBgn0024315","FBgn0034140","FBgn0010611","FBgn0034093","FBgn0034063","FBgn0050095","FBgn0050083","FBgn0050471","FBgn0013772","FBgn0020767","FBgn0033915","FBgn0019928","FBgn0033827","FBgn0053182","FBgn0033787","FBgn0010238","FBgn0033733","FBgn0020377","FBgn0010516","FBgn0043470","FBgn0010357","FBgn0050031","FBgn0010358","FBgn0050022","FBgn0010359","FBgn0043471","FBgn0033592","FBgn0033551","FBgn0027525","FBgn0033518","FBgn0033520","FBgn0033521","FBgn0010531","FBgn0033402","FBgn0033374","FBgn0033304","FBgn0001285","FBgn0043575","FBgn0040777","FBgn0033292","FBgn0050375","FBgn0033252","FBgn0013308","FBgn0033194","FBgn0033205","FBgn0033215","FBgn0033216","FBgn0033188","FBgn0033153","FBgn0015039","FBgn0036362","FBgn0002565","FBgn0053503","FBgn0050489","FBgn0025790","FBgn0034289","FBgn0039313","FBgn0003118","FBgn0026620","FBgn0035475","FBgn0040153","FBgn0052213","FBgn0036871","FBgn0046258","FBgn0030756","FBgn0033154","FBgn0031646","FBgn0031654","FBgn0031653","FBgn0035331","FBgn0000053","FBgn0025936","FBgn0041210","FBgn0053665","FBgn0029504","FBgn0034325","FBgn0052423","FBgn0051469","FBgn0051324","FBgn0031930","FBgn0053965","FBgn0010241","FBgn0026433","FBgn0014396","FBgn0038717","FBgn0040795","FBgn0053983","FBgn0053985","FBgn0043791","FBgn0030984","FBgn0020906","FBgn0034997","FBgn0053093","FBgn0039924","FBgn0054003","FBgn0054044","FBgn0054054","FBgn0013688","FBgn0025837","FBgn0039941","FBgn0058160","FBgn0085195","FBgn0085256","FBgn0085265","FBgn0085319","FBgn0085384","FBgn0085732","FBgn0086359","FBgn0086378","FBgn0250815","FBgn0250817","FBgn0250836","FBgn0259143","FBgn0259243","FBgn0259748","FBgn0259998","FBgn0260000","FBgn0260393","FBgn0260435","FBgn0260855","FBgn0261258","FBgn0261363","FBgn0261393","FBgn0261505","FBgn0261563","FBgn0261675","FBgn0261700","FBgn0261813","FBgn0261859","FBgn0262141","FBgn0262146","FBgn0262569","FBgn0262808","FBgn0262811","FBgn0262893","FBgn0262983","FBgn0263083","FBgn0263197","FBgn0263314","FBgn0263325","FBgn0263330","FBgn0263499","FBgn0263505","FBgn0022986","FBgn0034741","FBgn0034761","FBgn0052833","FBgn0050410","FBgn0034861","FBgn0034854","FBgn0034901","FBgn0034936","FBgn0034943","FBgn0023081","FBgn0035039","FBgn0035006","FBgn0035091","FBgn0035144","FBgn0035167","FBgn0004425","FBgn0004426","FBgn0004429","FBgn0004427","FBgn0263588","FBgn0263601","FBgn0263657","FBgn0263660","FBgn0263707","FBgn0263760","FBgn0263780","FBgn0263834","FBgn0263835","FBgn0264295","FBgn0264352","FBgn0264473","FBgn0264515","FBgn0264602","FBgn0264701","FBgn0264775","FBgn0264785","FBgn0264879","FBgn0264953","FBgn0264978","FBgn0264991","FBgn0265074","FBgn0265185","FBgn0265304","FBgn0265369","FBgn0265421","FBgn0265447","FBgn0265623","FBgn0265663","FBgn0265667","FBgn0265678","FBgn0265683","FBgn0265684","FBgn0265732","FBgn0265740","FBgn0265755","FBgn0265842","FBgn0265962","FBgn0266001","FBgn0266019","FBgn0266074","FBgn0266147","FBgn0266150","FBgn0266163","FBgn0266168","FBgn0266257","FBgn0266268","FBgn0266380","FBgn0266409","FBgn0266419","FBgn0266443","FBgn0266763","FBgn0266797","FBgn0266799","FBgn0266869","FBgn0266888","FBgn0266893","FBgn0266938","FBgn0266940","FBgn0266969","FBgn0267021","FBgn0267097","FBgn0267111","FBgn0267128","FBgn0267145","FBgn0267160","FBgn0267187","FBgn0267561","FBgn0267611","FBgn0267619","FBgn0267645","FBgn0267656","FBgn0267668","FBgn0267686","FBgn0267738","FBgn0267762","FBgn0267779","FBgn0267950","FBgn0267977","FBgn0267983","FBgn0267996","FBgn0283480","FBgn0284409","FBgn0286034","FBgn0287184","FBgn0287216","FBgn0287615","FBgn0287619","FBgn0287669","FBgn0288705","FBgn0289578","FBgn0290174","FBgn0035206","FBgn0027594","FBgn0035360","FBgn0011828","FBgn0035412","FBgn0035444","FBgn0035490","FBgn0035515","FBgn0035529","FBgn0001257","FBgn0047330","FBgn0030245","FBgn0003411","FBgn0030331","FBgn0001218","FBgn0030394","FBgn0030390","FBgn0030432","FBgn0052640","FBgn0052641","FBgn0052636","FBgn0030482","FBgn0052633","FBgn0030503","FBgn0030509","FBgn0030583","FBgn0030774","FBgn0030826","FBgn0030927","FBgn0030959","FBgn0036953","FBgn0036843","FBgn0036831","FBgn0052190","FBgn0052185","FBgn0052182","FBgn0036684","FBgn0036678","FBgn0010223","FBgn0042201","FBgn0036617","FBgn0036618","FBgn0036620","FBgn0036622","FBgn0036594","FBgn0036557","FBgn0000565","FBgn0036463","FBgn0036449","FBgn0036428","FBgn0036422","FBgn0036394","FBgn0036367","FBgn0036361","FBgn0036351","FBgn0036337","FBgn0013997","FBgn0036264","FBgn0036271","FBgn0036211","FBgn0036023","FBgn0036024","FBgn0023129","FBgn0052036","FBgn0011327","FBgn0035941","FBgn0035933","FBgn0035926","FBgn0035906","FBgn0035868","FBgn0052365","FBgn0035806","FBgn0035777","FBgn0052379","FBgn0035779","FBgn0035787","FBgn0035718","FBgn0047205","FBgn0041194","FBgn0035696","FBgn0035665","FBgn0020640","FBgn0035670","FBgn0035667","FBgn0035607","FBgn0040843","FBgn0052523","FBgn0031141","FBgn0011834","FBgn0052506","FBgn0031643","FBgn0031635","FBgn0026319","FBgn0031607","FBgn0031533","FBgn0015663","FBgn0051955","FBgn0031560","FBgn0053282","FBgn0053124","FBgn0051668","FBgn0051935","FBgn0002563","FBgn0029095","FBgn0004611","FBgn0053127"
"bCwtsFLXa","m",1069,186,3113,26,10798,34,1050,18262,914,459,988,13,291,1663,3483,203,6325,1199,3859,12759,9871,677,453,4652,1181,2949,7523,579,2031,2018,22,751,1541,1046,45,2306,50,1869,2028,689,553,1483,2214,33,4343,13934,18152,2953,3036,214,447,3274,1172,8112,6273,1639,303,22018,16084,2340,236,3226,83,629,216,1097,5514,9118,1904,3734,154,1243,114,3010,376,5400,3851,14583,1764,1124,10890,2306,15,4844,827,232,1812,7307,7027,687,9,4675,1139,236,1755,414,4114,579,79,2270,8601,3847,235,841,1710,122,2105,6044,7296,45,8,155,414,5744,316,195,120,532,4653,2850,13880,865,1115,45,429,207,121,74,42,6293,3884,11188,5953,25,924,311,212,6845,239,483,1604,491,2333,20651,40206,49,4884,7713,722,539,1017,29,3388,149,43710,985,391,218,13075,2283,1633,2865,102,568,6298,388,500,1727,19299,611,159,480,2650,2204,7404,60,16441,441,152,57317,74016,17668,14345,19,879,543,2210,13647,4,4153,2274,118,218,2101,2188,10139,6980,8485,776,1431,4421,939,160,927,214,2827,2166,39,18,205,2996,19,2009,770,641,900,2997,6533,1840,986,14631,958,1890,2,1627,9226,25,11992,6921,10113,1642,1929,8,548,12,2397,3067,5009,4392,111,497,4778,3999,12026,108,15559,7311,100032,123,146,2737,28,6039,89,4598,8424,2211,1156,641,1738,4045,369,3762,1530,3453,11927,1209,86,825,164,7410,849,927,1253,7860,623,9087,276,1111,1930,2040,3097,7587,40901,828,11982,1271,2288,6,10,200,704,4,63,4868,35005,509,6439,7121,3037,160,3786,115,11895,209,527,1710,752,973,2390,9674,2748,110,111,24,1912,264,11469,3571,10,3923,380,30,613,2222,516,1383,3346,20556,2759,431,296,1230,144,7840,2879,64091,354,4367,5291,7954,3802,20460,136,81,2,5388,5039,60,3450,35,1203,2432,44,2,4775,142,557,67,61,9,25,68,1446,5471,66,4,352,138,124,1806,515,1930,1543,2880,240,5380,68,4629,1286,3335,1718,280,5065,1557,239,1414,58,3183,5307,30,4138,58,80,12,2,625,12,14,334,16,31,68,22,36,440,6388,12,3208,3396,752,3,4277,41,91,27,65,1783,2,101,19,119,29,38,84,60,378,13,19,8901,21,49,66,4,56,99,4629,16,3409,21,5,6,0,13,7,24,8,147,107,20,5,85,45,15,218,17,3,63,13,19,37,40,351,11,28,76,13,32,974,19,61,5762,16,116,23083,54,21,243,39,16,5629,3334,3934,5634,2211,1536,226,2071,798,2750,3874,4026,3,13715,28,802,43475,4,5,2847,133,261,82,4910,1383,2098,124,78,2406,12,292,1444,8,1868,1398,12240,24,51,3878,417,1030,1297,0,6,729,5275,18,1379,10758,379,6651,22741,15556,2,2165,33,59,5482,4742,253,1697,17361,209,9235,15893,7,6057,593,8946,8599,7736,681,345,1261,32,251,13469,9,1449,53,16906,5608,61276,2,57920,8487,106,203,1017,22,77,526,2643,2444,271,1353,1124,685,210,3658,1445,12,8,1918,3608,3458,6515,5905
"aFLXsCwta","m",709,209,2861,19,9549,22,832,14497,812,488,887,5,305,1432,7314,221,4210,900,3680,8248,8302,575,400,4380,1140,2492,6885,490,1828,1810,50,310,1209,936,14,1680,84,1895,4727,624,552,1375,1918,19,4218,11637,15428,3023,3074,142,568,2885,1070,7559,4165,1479,184,18059,13766,1492,170,3310,35,545,279,1681,4507,7680,1687,2663,19,19,129,2140,320,4931,3689,11312,1622,979,10622,2133,26,3836,955,212,929,5588,5283,626,2,3763,671,226,1359,366,4701,446,63,1144,7739,3488,158,620,1300,74,1961,5749,6969,60,10,104,257,5565,447,110,86,491,3491,2400,12203,865,680,23,361,188,126,64,15,5281,4095,12073,9939,18,930,589,505,5287,259,391,1435,380,1922,17351,38600,42,4218,6822,723,440,779,45,2899,87,24596,1148,332,214,13667,1762,863,2787,15,397,5980,338,380,1106,17164,516,111,1109,2742,1816,7013,61,14752,415,71,43614,54203,13091,13905,5,564,538,2077,12613,0,3795,2592,112,267,1726,1674,2609,5014,7758,439,1251,3450,1303,216,815,248,2632,1908,18,19,160,2272,94,1812,76,584,816,2601,5461,1574,785,8801,605,1608,2,1283,11391,28,11757,6319,7282,1454,2328,11,493,14,1418,3099,4698,3460,33,420,4333,3602,11700,104,14484,5573,99606,92,122,1822,17,4934,36,4438,8023,2159,1012,554,1521,3538,296,3060,1862,2311,10917,957,46,799,148,5242,467,290,922,7095,532,7946,305,1571,2136,2204,2593,5550,37730,654,11948,1139,2030,5,14,178,532,18,66,4450,30828,490,5491,6700,2597,101,3516,115,10732,395,571,1220,561,1116,1035,10219,3871,152,18,7,1061,325,10967,2666,0,3262,210,24,198,4712,708,1291,3378,18957,1398,339,245,1201,89,6910,2580,61232,156,3338,5325,7670,2519,16434,237,50,0,4672,4424,78,2624,19,1375,2094,17,9,3754,151,397,73,34,1,9,45,1338,4971,37,18,349,87,81,1457,313,443,1721,2144,223,4864,59,4359,834,4198,1852,479,3774,1743,161,1253,107,4367,4854,31,3596,18,44,24,12,693,6,6,121,14,29,121,21,45,325,5362,3,2847,3010,691,31,3524,45,48,67,45,1696,3,48,54,124,14,85,59,49,564,17,39,8000,14,39,25,10,47,95,3709,14,3002,10,7,16,0,8,15,24,4,93,84,9,74,24,38,14,190,30,0,68,15,33,8,63,469,10,41,56,15,24,359,16,35,5408,11,94,17066,86,13,239,55,4,4632,3077,3140,4362,2167,1565,126,1779,878,2398,2919,3143,0,10488,26,802,35207,0,6,2729,115,200,74,2639,1113,1859,68,212,1974,24,226,1057,6,1566,1258,11331,33,42,3538,145,888,1049,0,4,793,5492,29,1188,8787,430,6276,14823,10830,4,1934,1,63,4280,4439,118,1376,16500,352,15152,7976,57,5918,448,8309,6191,7686,470,322,579,26,499,11871,15,1094,34,9603,5128,59129,5,38442,8571,243,190,1327,112,408,462,2249,2012,263,1136,1068,750,97,3389,1646,6,6,1315,2447,3227,6133,5638
"bCwtsFLXa","m",967,97,3078,5,12009,2,958,24346,1287,356,635,6,422,1636,2200,357,4163,6301,2490,5493,10590,1206,774,3763,5397,3717,8681,745,2470,1065,12,1020,2009,805,2,2758,7,1956,4228,484,774,1002,2208,18,3858,14308,21102,4062,2229,30,22,3423,4932,9940,4437,1794,484,5072,9026,1566,158,5181,25,913,280,830,7174,11430,3096,3331,56,732,719,2432,456,8403,2995,11834,1495,1311,2999,3320,10,4430,762,1231,2460,4663,8725,512,8,4118,1626,863,2412,338,5912,376,177,1802,8025,3115,77,553,2498,174,1973,8141,4667,98,38,82,294,6770,255,344,0,986,7841,2998,10824,979,3642,48,473,152,206,24,0,6195,1978,6606,629,6,403,63,46,843,167,118,1866,294,3281,27475,45466,25,4700,20323,982,275,1706,53,1509,114,4546,56,348,249,4367,3025,2848,3414,126,2438,6189,145,115,2923,24394,603,218,343,809,2029,8377,30,15175,266,60,45334,56734,29692,17619,4,1989,496,3049,13643,0,4130,1126,85,334,2892,3038,1823,4005,8206,2234,1814,3766,1139,47,434,101,4873,1948,2,13,239,5390,8,2317,534807,1275,1471,2401,6594,2007,825,5551,438,2511,8,1906,7988,10,12791,3240,7269,2269,2366,48,277,7,559,3041,6654,618,42,536,4890,5239,10137,2,16715,5296,93886,156,175,2416,38,3276,101,5319,9167,844,425,203,1549,4248,6743,3101,1923,1101,10626,1308,37,846,136,8310,510,1080,709,3425,621,4764,1420,1224,1252,1075,2635,4944,16194,1210,19239,1829,2590,3,4,270,376,4,57,22041,61431,239,8441,8554,4916,0,4556,45,14292,125,1029,1203,449,759,7876,4814,2052,2,12,2,498,297,30947,4389,2,5535,301,24,133,3619,375,1202,4697,31365,1086,341,150,624,86,4136,5299,171297,0,4215,5160,9754,3877,23074,347,43,1,7807,3732,133,3777,29,945,2028,2,37,3849,124,247,41,34,0,6,36,580,6374,83,0,101,122,8,2493,183,202,489,2891,174,6581,4,5827,472,6019,2588,914,3242,417,115,1148,66,3829,3682,0,4021,0,313,0,2,620,5,3,118,0,0,0,35,0,378,9560,0,3200,4338,3497,6,3378,0,42,0,27,1994,7,0,0,0,0,2,4,0,0,19,26,9701,0,0,0,0,44,0,5666,0,3949,0,0,0,0,0,6,0,0,2,6,0,6,0,4,0,19,2,9,0,31,0,0,0,217,0,0,42,0,0,3846,2,24,6823,0,5,16709,0,32,96,0,0,6943,5036,8108,6626,1723,1332,66,2139,558,2239,3960,3422,0,11127,4,546,82386,29,88,4300,191,349,43,5338,1484,1615,190,128,2229,16,213,2613,65,2717,3375,11369,55,22,4290,93,825,575,2,0,781,8293,18,2713,15850,223,7641,20043,11659,0,1206,147,87,6839,4320,117,2034,8736,206,8891,14096,17,9599,98,2507,6883,7973,989,2979,941,21,229,7010,0,1922,42,6361,4947,156189,4,43976,10406,233,119,412,185,505,180,3134,2609,403,1513,953,668,166,1481,466,8,12,2156,615,2058,6299,3412
"bCwtsFLXa","m",851,181,2437,29,8506,18,801,12273,758,388,864,15,210,1261,7887,232,3621,880,3130,8497,7496,594,339,3688,956,2199,5919,386,1481,959,26,331,1039,636,15,1841,104,1534,3962,464,398,1220,1469,30,3303,11001,11921,2362,3175,130,503,2371,928,6085,4212,1314,157,20282,11954,1725,180,2734,25,536,232,1752,4335,6571,1558,2974,28,12,84,1949,333,3961,3596,11461,1388,1039,7740,2022,16,4205,696,215,952,5331,4585,697,4,3767,819,210,1345,292,2864,356,59,834,7247,3026,120,636,1105,44,1730,5130,5578,49,2,125,315,4524,375,103,37,407,3501,2190,13563,617,671,18,314,155,82,53,22,4491,3512,9535,6891,21,794,414,320,5048,186,286,1081,330,2222,13844,32855,26,4235,6196,568,512,768,31,2516,73,23145,1012,349,192,11080,1698,695,2122,6,397,5612,243,298,1011,13797,467,67,970,2545,1605,5742,39,13333,383,81,41748,53990,12208,13097,13,570,482,1860,9793,0,3259,3680,105,245,1437,1571,2812,4241,6640,463,1221,3144,742,151,593,202,2787,1706,15,19,160,2187,86,1645,85,526,769,2298,4812,1468,634,10607,528,1361,4,1286,9666,17,9367,7947,7126,1108,1978,12,352,17,2321,2261,4343,4240,32,339,3654,3018,9901,105,14301,5980,77621,83,107,1833,5,4687,43,4186,6594,2027,979,543,1260,3006,270,2780,1700,2077,9705,902,62,656,136,4773,553,366,727,6195,491,7679,440,1620,2075,2349,2274,3849,27911,727,10189,1038,1879,0,3,164,482,2,58,5795,34789,357,5904,5605,2056,73,2916,131,9147,379,473,1262,675,1026,974,9304,2611,107,14,2,1169,237,14343,2982,6,3297,246,38,178,877,540,1121,2970,21244,1270,357,279,941,92,6020,2431,54722,188,2691,4110,6562,2255,17230,185,35,0,4107,3587,54,2341,6,1238,1911,24,8,3173,156,404,70,27,4,18,33,1413,4440,38,6,331,94,50,1197,264,228,1176,2178,245,4053,23,4316,820,3981,1700,526,3720,1342,118,1218,112,2953,4753,29,3025,35,43,29,4,621,13,10,78,14,19,80,13,49,201,5054,0,2325,2671,688,4,3258,31,73,82,35,1240,7,45,41,102,52,50,24,57,358,15,30,6749,10,15,27,1,30,69,3505,7,2647,8,10,40,2,12,13,46,0,65,51,15,42,13,21,9,257,16,8,54,19,27,12,71,319,25,19,54,9,41,354,20,54,3669,8,92,22131,110,7,255,31,6,3998,2382,2828,4008,1662,1184,104,1604,675,2363,2533,2708,10,9160,29,591,29216,8,0,2557,64,165,53,2466,1004,1738,63,190,2304,18,242,703,2,1211,783,8895,5,43,2825,205,723,1130,0,6,849,4861,31,1121,8547,289,6343,16927,10136,4,1535,4,66,4239,3705,133,1485,16368,541,15665,8232,45,5048,380,6139,7177,6691,487,264,496,29,356,8754,18,1029,30,10579,4124,48237,6,40680,7927,144,188,931,85,421,379,1967,2007,248,1160,929,730,70,3652,1177,23,10,1243,1650,2715,5422,4807
"aFLXsCwta","m",1390,217,3745,37,13191,20,1482,19500,1423,627,1468,10,377,1734,6961,243,7080,1060,4207,17473,10839,750,615,5731,1415,3603,7334,2243,2182,2500,32,987,1630,818,19,2851,45,2523,2363,828,807,1533,2235,50,4857,16357,16473,3136,3885,245,409,4160,1130,10387,7000,1775,324,28325,19698,2980,357,3296,163,1201,337,1654,7460,9871,2067,4630,16,41,77,3360,390,6574,5111,14506,2024,1300,10189,2751,18,6214,914,319,2477,8915,7498,903,50,5810,1428,247,2091,512,2399,751,68,2564,9576,4694,265,1327,1742,155,2322,7503,8862,70,6,159,504,5593,538,271,131,661,4000,2873,16856,1017,1629,35,428,245,128,57,54,6908,4928,12241,7330,38,1049,246,256,7549,352,447,1771,566,3326,23449,49364,30,4711,9645,837,641,960,27,3897,99,33392,937,547,244,13375,2441,1883,3137,80,511,7728,351,541,2049,22921,480,203,676,3081,2660,7910,129,19590,477,32,68340,85646,16396,16716,13,887,809,2279,13971,16,4554,3918,144,253,2292,2652,2851,7217,9530,1019,1821,5457,649,179,893,296,2987,2516,28,33,237,3767,61,2805,1676,661,906,3636,7955,1938,1125,15526,811,1925,15,1749,13677,34,13554,10434,12427,1818,1951,17,558,10,2379,3564,6138,7189,216,488,6589,4289,16155,146,18849,9878,133728,142,168,3189,34,6998,44,5000,9885,2980,1276,748,1939,4724,445,4265,1816,3308,14079,1474,77,934,235,8014,1088,1111,1483,10914,754,12988,303,2444,2199,2637,3508,6986,43068,973,14533,1444,2882,3,4,171,1055,4,111,10072,47191,567,7876,8327,3768,148,4554,176,14534,341,575,2325,994,1506,3004,11486,2513,98,160,17,2627,409,22778,4642,14,4653,385,35,503,2454,517,1700,4066,30300,3399,413,223,1543,115,10313,3083,102122,300,6754,6076,9462,3917,26914,186,105,2,5933,5421,76,3675,25,1418,2485,37,4,7306,152,678,79,80,0,79,70,1438,6772,79,27,398,146,97,2008,260,779,1617,4303,274,6031,84,5091,1404,3782,1938,404,6538,1803,248,1400,79,3216,5205,66,4770,66,67,14,12,764,18,30,206,9,20,101,25,46,471,7498,24,4269,3837,906,26,5830,46,74,34,66,2052,2,96,4,132,40,23,48,55,600,19,37,10426,13,52,27,4,50,154,4980,11,3926,33,4,12,0,25,13,13,17,146,79,50,12,72,57,32,352,29,5,90,22,34,14,37,373,8,20,66,12,26,1619,21,44,5253,4,116,37668,126,18,304,56,32,6602,3811,3979,7072,2599,1960,228,2409,887,3400,4140,4183,1,14507,35,770,49458,3,17,3754,136,268,70,6192,2021,2353,146,140,3428,13,357,1567,27,2086,1135,13185,0,71,4347,567,1148,1887,0,0,922,6474,29,1450,14740,457,8124,30037,17727,11,2654,38,82,6614,5381,336,1797,20605,317,17099,19852,6,6274,530,8514,10892,8155,813,365,789,23,368,13881,29,1961,60,23455,6255,80145,0,72439,10990,113,225,962,24,122,708,2891,3013,286,1348,1076,857,222,3727,1352,12,13,1971,4323,3991,8165,7440
"bCwtsFLXa","m",1942,297,4823,33,16429,35,1690,25650,2060,757,1721,14,448,2714,5059,331,10127,2057,4213,32304,13678,1155,808,6859,5360,4682,11253,1142,3402,4652,44,1296,2018,1867,36,4314,41,3100,5309,679,915,2004,3672,72,7410,19381,22421,3653,3548,154,808,5389,2149,13471,10591,2593,407,50224,24627,3600,400,4956,268,2035,551,2495,10525,12395,3088,6470,20,26,2630,4908,698,8324,6365,17255,2675,2085,13233,3876,31,7880,1547,606,3274,11321,10442,750,17,6327,1170,570,2885,766,3925,1050,74,2339,11388,5924,345,1021,3889,98,4133,11943,12652,79,17,157,655,12046,440,392,68,755,6475,4219,20417,1457,1688,129,566,367,203,84,72,10145,7072,14961,14514,29,1455,575,402,9868,229,449,2607,672,4655,34699,68451,52,6750,14289,1219,850,1534,47,5567,103,48046,1459,917,1077,18740,3611,2347,4454,166,300,8582,609,622,3410,28879,576,291,1368,2992,3143,11149,71,26071,635,66,73623,96224,34844,21219,14,1202,1046,3509,19825,31,5776,3111,176,389,3095,3441,5139,4033,12220,1137,2362,6703,693,298,1275,466,4489,3439,31,30,297,4537,36,3163,195,1001,1455,4521,9050,2966,1836,20858,1373,2774,23,2484,16422,41,19224,8719,14899,2466,2564,27,672,8,2613,4703,9522,10002,70,799,7616,5935,25103,375,22499,14011,153716,192,232,3879,68,10368,141,8167,12614,3775,1503,856,2539,6253,660,4987,2845,2970,18483,1442,78,1203,342,13051,1499,1143,1489,15745,1136,15278,726,2796,3854,3854,4675,8255,62861,1436,21222,2264,3231,1,3,303,1254,6,135,12430,71242,783,8127,11482,4907,324,4565,442,18682,462,1090,3489,1275,2277,4375,17128,3715,219,13,10,4012,428,25264,5478,12,6671,453,83,508,3086,1001,2261,5402,27633,3027,741,353,1956,84,11388,4927,122098,225,7769,8016,12705,4418,42587,433,167,0,8559,6624,104,5157,11,2212,5109,130,18,9586,231,682,83,64,9,15,101,1686,8663,94,27,301,222,62,3000,479,241,2588,4040,386,8235,144,7039,1416,5432,3339,891,7108,2298,256,278,11,2191,1096,31,6430,91,112,11,11,1202,16,22,233,15,22,97,68,39,544,9640,46,5334,4996,4017,34,6675,58,144,22,102,2924,0,88,19,39,54,84,81,40,182,41,47,13034,31,57,11,39,95,127,6854,32,5526,7,38,31,8,62,30,14,14,1,76,36,100,110,70,46,457,16,4,107,32,34,8,8,635,57,17,135,14,24,2440,47,70,8867,7,170,44057,20,20,316,46,42,8687,5522,6230,8934,3968,2376,293,3042,1266,4250,6157,7376,4,19253,46,1100,64983,7,16,5147,226,416,120,8968,2139,3201,454,150,4028,19,398,2521,57,2759,1590,16954,65,92,6805,836,2082,1932,1,10,1248,8976,77,2184,10761,543,9363,40076,18820,12,3925,44,105,7980,7290,429,3782,26568,1116,25442,26049,95,9667,589,10076,15581,11634,1000,671,1108,35,411,16435,41,2499,58,29538,8729,110200,2,85895,16559,297,221,1728,219,731,1358,4112,3775,480,2054,3754,1099,263,6066,2204,27,14,3314,1910,5702,10670,9037
