Accession,Glean.Accession,Annotation.symbol,FlyBase.ID,CG.ID,MF.Ratio,P.value
GLEAN_03443,GLEAN_03443,GA10886,FBgn0070942,CG1128,1.088619663,0.0000715
GLEAN_01248,GLEAN_01248,GA10890,FBgn0070946,CG11284,0.563895604,0
GLEAN_03426,GLEAN_03426,GA10891,FBgn0070947,CG11286,1.522877609,0
GLEAN_03737,GLEAN_03737,GA10892,FBgn0070948,CG1129,0.891063406,0
GLEAN_18131,GLEAN_18131,GA10893,FBgn0070949,CG11290,0.653609111,0
GLEAN_16728,GLEAN_16728,GA10895,FBgn0070951,CG11293,1.024478707,0.26530563
GLEAN_16732,GLEAN_16732,GA10897,FBgn0070953,CG11295,0.624684657,0
GLEAN_16340,GLEAN_16340,GA10898,FBgn0070954,CG11298,2.130954811,0
GLEAN_16734,GLEAN_16734,GA10899,FBgn0070955,CG11299,0.467552411,0
GLEAN_16346,GLEAN_16346,GA10901,FBgn0070957,CG11301,0.619553168,0
GLEAN_17617,GLEAN_17617,GA10902,FBgn0070958,CG11303,1.207982873,1.67E-11
GLEAN_04323,GLEAN_04323,GA10903,FBgn0070959,CG11305,0.867358306,0.000000127
GLEAN_09305,GLEAN_09305,GA10904,FBgn0070960,CG11306,0.899378312,7.11E-12
GLEAN_14171,GLEAN_14171,GA10905,FBgn0070961,CG11308,1.229098042,1.79E-11
GLEAN_14176,GLEAN_14176,GA10906,FBgn0070962,CG11309,0.810789887,0
GLEAN_03444,GLEAN_03444,GA10907,FBgn0070963,CG1131,0.887549815,1.39E-13
GLEAN_05257,GLEAN_05257,GA10910,FBgn0070966,CG11314,2.989698497,0
GLEAN_05173,GLEAN_05173,GA10913,FBgn0070969,CG11318,0.905131932,0
GLEAN_19215,GLEAN_19215,GA10917,FBgn0070973,CG11321,1.053317229,0.000000228
GLEAN_19218,GLEAN_19218,GA10919,FBgn0070975,CG11324,0.988545996,0.34259561
GLEAN_19220,GLEAN_19220,GA10920,FBgn0070976,CG11325,0.996504345,0.46441836
GLEAN_19221,GLEAN_19221,GA10921,FBgn0070977,CG11326,1.078779491,0.00000139
GLEAN_08345,GLEAN_08345,GA10922,FBgn0070978,CG11328,0.892175849,0.00000508
GLEAN_08346,GLEAN_08346,GA10923,FBgn0070979,CG11329,0.788509477,0
GLEAN_08347,GLEAN_08347,GA10925,FBgn0070981,CG11330,0.287433476,0
GLEAN_08348,GLEAN_08348,GA10926,FBgn0070982,CG11331,0.799128825,1.00E-15
GLEAN_05529,GLEAN_05529,GA10927,FBgn0070983,CG11333,3.412194773,0
GLEAN_04888,GLEAN_04888,GA10928,FBgn0070984,CG11334,0.773567988,0.00346371
GLEAN_04890,GLEAN_04890,GA10930,FBgn0070986,CG11337,0.962707877,0.00118857
GLEAN_09393,GLEAN_09393,GA10932,FBgn0070988,CG1134,1.100760038,2.56E-11
GLEAN_04894,GLEAN_04894,GA10933,FBgn0070989,CG11340,1.025608412,0.00000343
GLEAN_09114,GLEAN_09114,GA10934,FBgn0070990,CG11342,0.613357453,0
GLEAN_09529,GLEAN_09529,GA10936,FBgn0070992,CG11347,1.265756594,3.76E-12
GLEAN_09531,GLEAN_09531,GA10937,FBgn0070993,CG11348,1.095356126,4.34E-11
GLEAN_14530,GLEAN_14530,GA10939,FBgn0070995,CG1135,0.689059276,0
GLEAN_09378,GLEAN_09378,GA10948,FBgn0071004,CG11367,0.947816709,6.07E-09
GLEAN_06485,GLEAN_06485,GA10951,FBgn0071007,CG1137,4.022521132,0
GLEAN_07521,GLEAN_07521,GA10953,FBgn0071009,CG11371,0.88172459,0
GLEAN_07522,GLEAN_07522,GA10954,FBgn0071010,CG11372,0.785400271,0
GLEAN_05348,GLEAN_05348,GA10956,FBgn0071012,CG11375,0.737083516,0
GLEAN_07526,GLEAN_07526,GA10957,FBgn0071013,CG11376,0.883008971,1.00E-15
GLEAN_07527,GLEAN_07527,GA10958,FBgn0071014,CG11377,0.765195344,0
GLEAN_12725,GLEAN_12725,GA10960,FBgn0071016,CG11379,1.333298677,0
GLEAN_06484,GLEAN_06484,GA10961,FBgn0071017,CG1138,3.21674149,0
GLEAN_12730,GLEAN_12730,GA10963,FBgn0071019,CG11381,0.827596816,0
GLEAN_18115,GLEAN_18115,GA10968,FBgn0071024,CG11388,1.282536603,1.00E-15
GLEAN_15693,GLEAN_15693,GA10969,FBgn0071025,CG1139,1.530602859,0
GLEAN_18117,GLEAN_18117,GA10970,FBgn0071026,CG11390,1.566885762,0
GLEAN_07106,GLEAN_07106,GA10971,FBgn0071027,CG11391,1.008296542,0.27825269
GLEAN_08796,GLEAN_08796,GA10973,FBgn0071029,CG11396,0.854468966,0
GLEAN_13301,GLEAN_13301,GA10975,FBgn0071031,CG11398,0.637280314,0
GLEAN_08797,GLEAN_08797,GA10976,FBgn0071032,CG11399,0.814451108,1.01E-10
GLEAN_15692,GLEAN_15692,GA10977,FBgn0071033,CG1140,0.732956762,0
GLEAN_18827,GLEAN_18827,GA10978,FBgn0071034,CG11400,1.170317518,3.10E-13
GLEAN_09351,GLEAN_09351,GA10979,FBgn0071035,CG11401,1.264616545,0
GLEAN_13298,GLEAN_13298,GA10980,FBgn0071036,CG11403,0.637810609,0
GLEAN_03238,GLEAN_03238,GA10983,FBgn0071039,CG11407,1.010822722,0.40311842
GLEAN_12737,GLEAN_12737,GA10986,FBgn0071042,CG11412,0.872786081,1.53E-13
GLEAN_16172,GLEAN_16172,GA10988,FBgn0071044,CG11414,0.724772439,1.00E-15
GLEAN_12738,GLEAN_12738,GA10989,FBgn0071045,CG11415,1.138472939,3.00E-15
GLEAN_16173,GLEAN_16173,GA10990,FBgn0071046,CG11416,0.757438154,0
GLEAN_13291,GLEAN_13291,GA10992,FBgn0071048,CG11418,0.841654481,0
GLEAN_17086,GLEAN_17086,GA10993,FBgn0071049,CG11419,0.87812608,0
GLEAN_13289,GLEAN_13289,GA10994,FBgn0071050,CG11420,0.575863984,0
GLEAN_06258,GLEAN_06258,GA10995,FBgn0071051,CG11421,1.527529244,0
GLEAN_06257,GLEAN_06257,GA10996,FBgn0071052,CG11422,1.233450654,0
GLEAN_09344,GLEAN_09344,GA10998,FBgn0071054,CG11425,1.299358921,0
GLEAN_09343,GLEAN_09343,GA10999,FBgn0071055,CG11426,1.696310181,0
GLEAN_13228,GLEAN_13228,GA11000,FBgn0071056,CG11427,0.673990424,0
GLEAN_18819,GLEAN_18819,GA11002,FBgn0071058,CG11430,1.095356126,0.000000138
GLEAN_00961,GLEAN_00961,GA11003,FBgn0071059,CG11436,0.77916458,0
GLEAN_13017,GLEAN_13017,GA11007,FBgn0071063,CG11444,0.76966364,0
GLEAN_03467,GLEAN_03467,GA11008,FBgn0071064,CG11447,0.676236597,0
GLEAN_07530,GLEAN_07530,GA11011,FBgn0071067,CG11450,1.031547318,0.00571274
GLEAN_07536,GLEAN_07536,GA11013,FBgn0071069,CG11454,0.771586603,0
GLEAN_02349,GLEAN_02349,GA11014,FBgn0071070,CG11455,1.24289119,0.00000401
GLEAN_14898,GLEAN_14898,GA11015,FBgn0071071,CG11456,0.931417569,0.30429696
GLEAN_15720,GLEAN_15720,GA11016,FBgn0071072,CG1146,1.010605544,0.11149328
GLEAN_09304,GLEAN_09304,GA11021,FBgn0071077,CG11471,0.710595275,0
GLEAN_12492,GLEAN_12492,GA11022,FBgn0071078,CG11473,1.163765191,0
GLEAN_16298,GLEAN_16298,GA11023,FBgn0071079,CG11474,0.906576079,1.27E-08
GLEAN_16299,GLEAN_16299,GA11024,FBgn0071080,CG11475,1.508484633,0
GLEAN_04132,GLEAN_04132,GA11025,FBgn0071081,CG1148,1.058110281,0.0000749
GLEAN_17648,GLEAN_17648,GA11026,FBgn0071082,CG11482,0.556402189,0
GLEAN_09595,GLEAN_09595,GA11027,FBgn0071083,CG11486,1.042082863,0.27751028
GLEAN_19169,GLEAN_19169,GA11028,FBgn0071084,CG11488,0.726532882,0
GLEAN_09609,GLEAN_09609,GA11029,FBgn0071085,CG11489,1.051675775,2.04E-09
GLEAN_09599,GLEAN_09599,GA11032,FBgn0071088,CG11494,0.756808396,1.00E-15
GLEAN_09602,GLEAN_09602,GA11033,FBgn0071089,CG11495,0.857138354,0
GLEAN_04133,GLEAN_04133,GA11035,FBgn0071091,CG1150,0.988196602,0.1406418
GLEAN_05038,GLEAN_05038,GA11036,FBgn0071092,CG11500,1.112033307,0.0026376
GLEAN_05042,GLEAN_05042,GA11037,FBgn0071093,CG11501,1.242632765,0
GLEAN_06692,GLEAN_06692,GA11038,FBgn0071094,CG11502,1.049418407,0.00000543
GLEAN_18540,GLEAN_18540,GA11038,FBgn0071094,CG11502,0.929225081,0.000071
GLEAN_05284,GLEAN_05284,GA11039,FBgn0071095,CG11504,0.570342323,0
GLEAN_09069,GLEAN_09069,GA11040,FBgn0071096,CG11505,0.904881011,6.00E-12
GLEAN_18145,GLEAN_18145,GA11041,FBgn0071097,CG11508,0.914908898,3.32E-11
GLEAN_18146,GLEAN_18146,GA11041,FBgn0071097,CG11508,0.843874287,0
GLEAN_05752,GLEAN_05752,GA11046,FBgn0071102,CG11518,0.912312507,0.00237631
GLEAN_05750,GLEAN_05750,GA11048,FBgn0071103,CG11522,0.513950029,0
GLEAN_08909,GLEAN_08909,GA11049,FBgn0071104,CG11523,0.660211421,0
GLEAN_05749,GLEAN_05749,GA11050,FBgn0071105,CG11525,0.573792096,1.00E-15
GLEAN_09428,GLEAN_09428,GA11051,FBgn0071106,CG11526,0.979793754,0.10646455
GLEAN_08480,GLEAN_08480,GA11052,FBgn0071107,CG11527,1.058433038,0.00000924
GLEAN_15151,GLEAN_15151,GA11053,FBgn0071108,CG11529,1.067539906,0.15627956
GLEAN_09022,GLEAN_09022,GA11057,FBgn0071112,CG11537,0.995720681,0.48727153
GLEAN_05748,GLEAN_05748,GA11058,FBgn0071113,CG11539,0.854172881,0
GLEAN_18141,GLEAN_18141,GA11060,FBgn0071115,CG11546,2.568631618,0
GLEAN_04144,GLEAN_04144,GA11061,FBgn0071116,CG1155,0.961947458,0.00000369
GLEAN_06296,GLEAN_06296,GA11062,FBgn0071117,CG11550,0.998619511,0.81270352
GLEAN_19175,GLEAN_19175,GA11063,FBgn0071118,CG11555,0.656560563,0
GLEAN_12636,GLEAN_12636,GA11064,FBgn0071119,CG11556,1.006508949,0.17941306
GLEAN_19179,GLEAN_19179,GA11067,FBgn0071122,CG11562,2.251677172,0
GLEAN_04081,GLEAN_04081,GA11068,FBgn0071123,CG11563,0.503268428,0
GLEAN_08284,GLEAN_08284,GA11069,FBgn0071124,CG11567,1.011874242,0.51110484
GLEAN_09770,GLEAN_09770,GA11076,FBgn0071131,CG11577,0.770784786,0
GLEAN_09134,GLEAN_09134,GA11080,FBgn0071135,CG11582,1.143455325,3.20E-14
GLEAN_08768,GLEAN_08768,GA11083,FBgn0071138,CG11586,0.678443227,0
GLEAN_08776,GLEAN_08776,GA11084,FBgn0071139,CG11589,0.849155103,6.42E-11
GLEAN_15387,GLEAN_15387,GA11085,FBgn0071140,CG11591,3.578115605,0
GLEAN_19732,GLEAN_19732,GA11086,FBgn0071141,CG11592,1.035580712,0.0000442
GLEAN_09290,GLEAN_09290,GA11088,FBgn0071143,CG11594,1.54060819,0.0000935
GLEAN_13163,GLEAN_13163,GA11089,FBgn0071144,CG11596,0.704660378,0
GLEAN_04792,GLEAN_04792,GA11091,FBgn0071146,CG11600,1.27491406,0
GLEAN_19735,GLEAN_19735,GA11092,FBgn0071147,CG11601,0.740155344,0
GLEAN_19737,GLEAN_19737,GA11093,FBgn0071148,CG11604,0.74442582,0
GLEAN_19740,GLEAN_19740,GA11094,FBgn0071149,CG11606,0.417978315,0
GLEAN_03760,GLEAN_03760,GA11097,FBgn0071152,CG1161,0.935779157,0.13207929
GLEAN_09636,GLEAN_09636,GA11098,FBgn0071153,CG11611,1.128886154,1.17E-13
GLEAN_08880,GLEAN_08880,GA11099,FBgn0071154,CG11614,0.975274337,0.19846726
GLEAN_19743,GLEAN_19743,GA11100,FBgn0071155,CG11617,1.010745654,0.05602487
GLEAN_09634,GLEAN_09634,GA11104,FBgn0071159,CG11621,0.87502734,9.00E-15
GLEAN_09635,GLEAN_09635,GA11104,FBgn0071159,CG11621,0.755812351,0
GLEAN_19386,GLEAN_19386,GA11107,FBgn0071162,CG11628,0.599528399,0
GLEAN_19378,GLEAN_19378,GA11108,FBgn0071163,CG11629,1.497960934,0
GLEAN_03763,GLEAN_03763,GA11109,FBgn0071164,CG1163,0.581036218,0
GLEAN_19381,GLEAN_19381,GA11110,FBgn0071165,CG11630,1.14092187,0
GLEAN_19568,GLEAN_19568,GA11111,FBgn0071166,CG11634,1.882956929,0
GLEAN_12024,GLEAN_12024,GA11116,FBgn0071171,CG11642,0.947212484,0.00000231
GLEAN_09260,GLEAN_09260,GA11118,FBgn0071173,CG1165,0.955627317,0.50073502
GLEAN_15580,GLEAN_15580,GA11120,FBgn0071175,CG11652,0.910101905,2.84E-13
GLEAN_01496,GLEAN_01496,GA11121,FBgn0071176,CG11654,0.346181372,0
GLEAN_01497,GLEAN_01497,GA11122,FBgn0071177,CG11655,0.781707075,0
GLEAN_04437,GLEAN_04437,GA11123,FBgn0071178,CG11656,5.13370359,0
GLEAN_15578,GLEAN_15578,GA11124,FBgn0071179,CG11658,0.996384856,0.53710531
GLEAN_15583,GLEAN_15583,GA11126,FBgn0071181,CG11660,0.591356488,0
GLEAN_09676,GLEAN_09676,GA11127,FBgn0071182,CG11661,1.008024008,0.167299
GLEAN_11736,GLEAN_11736,GA11128,FBgn0071183,CG11663,1.500454946,3.52E-13
GLEAN_10162,GLEAN_10162,GA11129,FBgn0071184,CG11665,0.793498829,1.00E-14
GLEAN_04442,GLEAN_04442,GA11130,FBgn0071185,CG11668,1.091642146,1.28E-11
GLEAN_09845,GLEAN_09845,GA11132,FBgn0071187,CG1167,0.903439564,0
GLEAN_06191,GLEAN_06191,GA11134,FBgn0071189,CG11671,2.070960447,0
GLEAN_04202,GLEAN_04202,GA11135,FBgn0071190,CG11672,1.180337962,5.87E-13
GLEAN_00240,GLEAN_00240,GA11136,FBgn0071191,CG11674,0.198278479,0
GLEAN_13483,GLEAN_13483,GA11138,FBgn0071193,CG11678,0.856900738,0
GLEAN_13036,GLEAN_13036,GA11139,FBgn0071194,CG11679,0.743136945,0
GLEAN_18456,GLEAN_18456,GA11141,FBgn0071196,CG11680,0.756336422,0.000000214
GLEAN_04460,GLEAN_04460,GA11142,FBgn0071197,CG11686,1.09232336,2.01E-09
GLEAN_04195,GLEAN_04195,GA11146,FBgn0071201,CG11694,1.494227688,0
GLEAN_13373,GLEAN_13373,GA11147,FBgn0071202,CG11695,0.723617899,0
GLEAN_13372,GLEAN_13372,GA11148,FBgn0071203,CG11696,0.740360587,0
GLEAN_06195,GLEAN_06195,GA11149,FBgn0071204,CG11698,1.369643094,0
GLEAN_13371,GLEAN_13371,GA11150,FBgn0071205,CG11699,0.5893514,0
GLEAN_03267,GLEAN_03267,GA11151,FBgn0071206,CG11703,1.202552601,0.000000019
GLEAN_12617,GLEAN_12617,GA11152,FBgn0071207,CG11709,0.910985502,2.52E-10
GLEAN_09846,GLEAN_09846,GA11153,FBgn0071208,CG1171,1.039348875,0.00247037
GLEAN_01295,GLEAN_01295,GA11154,FBgn0071209,CG11710,0.78583591,0
GLEAN_15595,GLEAN_15595,GA11155,FBgn0071210,CG11711,0.882947767,1.10E-09
GLEAN_00634,GLEAN_00634,GA11156,FBgn0071211,CG11715,1.125526481,0.000000233
GLEAN_03780,GLEAN_03780,GA11159,FBgn0071214,CG1172,1.448239294,0
GLEAN_05560,GLEAN_05560,GA11161,FBgn0071216,CG11722,0.798021765,2.20E-14
GLEAN_02728,GLEAN_02728,GA11162,FBgn0071217,CG11723,0.682357643,2.27E-13
GLEAN_14328,GLEAN_14328,GA11163,FBgn0071218,CG11726,1.779287941,0
GLEAN_01153,GLEAN_01153,GA11164,FBgn0071219,CG11727,1.028477334,0.12764504
GLEAN_16325,GLEAN_16325,GA11166,FBgn0071221,CG11734,1.374969865,8.20E-14
GLEAN_06709,GLEAN_06709,GA11168,FBgn0071223,CG11737,0.93931438,0.0000463
GLEAN_12562,GLEAN_12562,GA11169,FBgn0071224,CG11738,0.569591689,0
GLEAN_12564,GLEAN_12564,GA11172,FBgn0071227,CG11748,0.945690494,0.0047732
GLEAN_00373,GLEAN_00373,GA11173,FBgn0071228,CG11750,0.702660644,0
GLEAN_00370,GLEAN_00370,GA11174,FBgn0071229,CG11752,1.068931941,0.04448645
GLEAN_04042,GLEAN_04042,GA11175,FBgn0071230,CG11753,0.868320771,4.00E-15
GLEAN_06285,GLEAN_06285,GA11176,FBgn0071231,CG11755,0.944498231,0.66556947
GLEAN_08021,GLEAN_08021,GA11177,FBgn0071232,CG34348,0.896701676,0
GLEAN_03454,GLEAN_03454,GA11179,FBgn0071234,CG1176,1.152366799,3.29E-08
GLEAN_18786,GLEAN_18786,GA11181,FBgn0071236,CG11761,0.578103615,0
GLEAN_06922,GLEAN_06922,GA11182,FBgn0071237,CG11762,0.743652227,0
GLEAN_16256,GLEAN_16256,GA11183,FBgn0071238,CG11763,0.854942916,6.70E-13
GLEAN_16442,GLEAN_16442,GA11188,FBgn0071243,CG11770,0.753719697,2.00E-15
GLEAN_04465,GLEAN_04465,GA11189,FBgn0071244,CG11771,0.758015892,1.60E-11
GLEAN_03399,GLEAN_03399,,FBgn0071246,CG11776,1.048160756,0.00000383
GLEAN_16261,GLEAN_16261,GA11192,FBgn0071247,CG11777,0.937642585,0.000000242
GLEAN_18283,GLEAN_18283,GA11193,FBgn0071248,CG11778,2.245131581,0
GLEAN_04708,GLEAN_04708,GA11194,FBgn0071249,CG11779,0.958466558,0.00065058
GLEAN_04469,GLEAN_04469,GA11195,FBgn0071250,CG11780,0.686294644,0
GLEAN_05917,GLEAN_05917,GA11196,FBgn0071251,CG11781,0.779921053,5.01E-12
GLEAN_04470,GLEAN_04470,GA11197,FBgn0071252,CG11783,0.749292024,0
GLEAN_18292,GLEAN_18292,GA11198,FBgn0071253,CG11784,0.761491585,0
GLEAN_16694,GLEAN_16694,GA11199,FBgn0071254,CG11788,0.697468516,0
GLEAN_03977,GLEAN_03977,GA11201,FBgn0071256,CG11790,0.71976607,0
GLEAN_08817,GLEAN_08817,GA11203,FBgn0071257,CG11796,1.934820864,0
GLEAN_18215,GLEAN_18215,GA11205,FBgn0071259,CG11798,0.699308041,3.00E-15
GLEAN_14310,GLEAN_14310,GA11206,FBgn0071260,CG11799,0.910480485,0.000000159
GLEAN_01079,GLEAN_01079,GA11209,FBgn0071263,CG11802,0.68216848,0
GLEAN_18637,GLEAN_18637,GA11210,FBgn0071264,CG11804,0.526826565,0
GLEAN_17036,GLEAN_17036,GA11211,FBgn0071265,CG11807,0.897634481,0.000000531
GLEAN_17039,GLEAN_17039,GA11212,FBgn0071266,CG11808,0.646310798,0
GLEAN_09613,GLEAN_09613,GA11213,FBgn0071267,CG11811,0.446892581,0
GLEAN_14595,GLEAN_14595,GA11214,FBgn0071268,CG11814,0.924535101,1.90E-14
GLEAN_01006,GLEAN_01006,GA11215,FBgn0071269,CG11816,1.32840955,1.41E-09
GLEAN_05689,GLEAN_05689,GA11217,FBgn0071271,CG11821,1.653473587,0
GLEAN_02396,GLEAN_02396,GA11218,FBgn0071272,CG11822,1.015352025,0.07653531
GLEAN_06373,GLEAN_06373,GA11223,FBgn0071277,CG11836,0.858148959,0
GLEAN_04319,GLEAN_04319,GA11224,FBgn0071278,CG11837,0.438910899,0
GLEAN_06375,GLEAN_06375,GA11226,FBgn0071280,CG11839,0.735960377,2.20E-12
GLEAN_02560,GLEAN_02560,GA11227,FBgn0071281,CG11840,0.972702142,0.06682708
GLEAN_04320,GLEAN_04320,GA11228,FBgn0071282,CG11841,1.119923354,4.11E-10
GLEAN_04321,GLEAN_04321,GA11229,FBgn0071283,CG11842,1.105577377,0.00055468
GLEAN_03990,GLEAN_03990,GA11231,FBgn0071285,CG11844,0.677597285,2.49E-10
GA11233,,GA11233,FBgn0071287,CG11848,1.072739664,7.74E-10
GLEAN_07848,GLEAN_07848,GA11233,FBgn0071287,CG11848,1.065255869,1.60E-14
GLEAN_03276,GLEAN_03276,GA11235,FBgn0071289,CG11851,0.918021597,9.06E-13
GLEAN_03278,GLEAN_03278,GA11237,FBgn0071291,CG11853,0.898443696,6.89E-09
GLEAN_03279,GLEAN_03279,GA11238,FBgn0071292,CG11854,1.064126748,0.01039616
GLEAN_03823,GLEAN_03823,GA11240,FBgn0071294,CG11857,1.021868816,0.29463862
GLEAN_03824,GLEAN_03824,GA11241,FBgn0071295,CG11858,0.839498702,3.33E-13
GLEAN_03825,GLEAN_03825,GA11242,FBgn0071296,CG11859,0.60638249,0
GLEAN_10688,GLEAN_10688,GA11244,FBgn0071298,CG11864,2.263570122,0
GLEAN_16532,GLEAN_16532,GA11246,FBgn0071300,CG11866,0.689011515,0
GLEAN_06399,GLEAN_06399,GA11249,FBgn0071303,CG11873,0.906010704,2.43E-09
GLEAN_05847,GLEAN_05847,GA11250,FBgn0071304,CG11874,0.906324758,3.84E-12
GLEAN_03280,GLEAN_03280,GA11251,FBgn0071305,CG11875,0.358017,0
GLEAN_05774,GLEAN_05774,GA11252,FBgn0071306,CG11876,0.833873242,7.60E-11
GLEAN_05775,GLEAN_05775,GA11252,FBgn0071306,CG11876,1.268919018,2.87E-09
GLEAN_05776,GLEAN_05776,GA11253,FBgn0071307,CG11877,0.946483985,6.31E-08
GLEAN_03826,GLEAN_03826,GA11254,FBgn0071308,CG11878,2.4235133,1.03E-12
GLEAN_05777,GLEAN_05777,GA11255,FBgn0071309,CG11880,0.899315974,7.82E-10
GLEAN_04598,GLEAN_04598,GA11256,FBgn0071310,CG11881,0.730370297,0
GLEAN_04595,GLEAN_04595,GA11257,FBgn0071311,CG11882,0.912755271,1.00E-14
GLEAN_16266,GLEAN_16266,GA11258,FBgn0071312,CG11883,0.974382414,0.27289427
GLEAN_02567,GLEAN_02567,GA11259,FBgn0071313,CG11885,1.093914514,0.00014882
GLEAN_04593,GLEAN_04593,GA11260,FBgn0071314,CG11886,0.763605818,0
GLEAN_16267,GLEAN_16267,GA11261,FBgn0071315,CG11887,0.636573939,0
GLEAN_03827,GLEAN_03827,GA11263,FBgn0071317,CG11892,1.8276629,0
GLEAN_05712,GLEAN_05712,GA11266,FBgn0071320,CG11896,2.763698047,1.00E-15
GLEAN_05365,GLEAN_05365,GA11267,FBgn0071321,CG11899,0.644164026,0
GLEAN_05051,GLEAN_05051,GA11268,FBgn0071322,CG11900,0.829952111,0.000000227
GLEAN_05048,GLEAN_05048,GA11269,FBgn0071323,CG11901,0.478304079,0
GLEAN_03832,GLEAN_03832,GA11270,FBgn0071324,CG11902,0.674831863,0
GLEAN_16688,GLEAN_16688,GA11272,FBgn0071326,CG11906,0.92993385,0
GLEAN_02576,GLEAN_02576,GA11273,FBgn0071327,CG11907,0.758278646,0
GLEAN_03380,GLEAN_03380,GA11274,FBgn0071328,CG11908,3.804481903,0
GLEAN_06947,GLEAN_06947,GA11275,FBgn0071329,CG11909,3.198953452,0
GLEAN_06945,GLEAN_06945,GA11276,FBgn0071330,CG11910,1.015887045,0.00345403
GLEAN_02580,GLEAN_02580,GA11277,FBgn0071331,CG11911,0.868802404,3.82E-12
GLEAN_03381,GLEAN_03381,GA11278,FBgn0071332,CG11913,1.241857812,0
GLEAN_02806,GLEAN_02806,GA11281,FBgn0071335,CG11924,0.986041314,0.02127363
GLEAN_02138,GLEAN_02138,GA11282,FBgn0071336,CG11926,0.8217093,0
GLEAN_02137,GLEAN_02137,GA11283,FBgn0071337,CG11927,0.98241875,0.01290344
GLEAN_01228,GLEAN_01228,GA11287,FBgn0071341,CG11940,0.914148215,1.50E-14
GLEAN_00298,GLEAN_00298,GA11290,FBgn0071344,CG11943,0.5893514,0
GLEAN_18308,GLEAN_18308,GA11291,FBgn0071345,CG11949,1.059783815,0.0000166
GLEAN_18079,GLEAN_18079,GA11297,FBgn0071351,CG11961,1.157811186,3.51E-10
GLEAN_06696,GLEAN_06696,GA11299,FBgn0071353,CG11964,0.785672517,5.00E-13
GLEAN_06584,GLEAN_06584,GA11301,FBgn0071355,CG11967,0.639271198,0
GLEAN_03779,GLEAN_03779,GA11302,FBgn0071356,CG11968,0.870671256,0
GLEAN_03386,GLEAN_03386,GA11303,FBgn0071357,CG11970,0.733820951,0
GLEAN_06940,GLEAN_06940,GA11304,FBgn0071358,CG11971,0.855654333,0
GLEAN_03387,GLEAN_03387,GA11305,FBgn0071359,CG11975,0.794654695,0.00030859
GLEAN_03390,GLEAN_03390,GA11307,FBgn0071361,CG11980,0.48169772,0
GLEAN_06938,GLEAN_06938,GA11308,FBgn0071362,CG11981,0.796750542,1.21E-08
GLEAN_03391,GLEAN_03391,GA11309,FBgn0071363,CG11982,1.043347684,0.00506915
GLEAN_03392,GLEAN_03392,GA11310,FBgn0071364,CG11983,0.938800165,1.00E-15
GLEAN_03393,GLEAN_03393,GA11312,FBgn0071366,CG11986,0.806585849,0
GLEAN_06935,GLEAN_06935,GA11313,FBgn0071367,CG11987,0.834393602,0.0000008
GLEAN_06934,GLEAN_06934,GA11314,FBgn0071368,CG11988,0.716381507,2.00E-15
GLEAN_14489,GLEAN_14489,GA11315,FBgn0071369,CG11989,0.691643254,0
GLEAN_03394,GLEAN_03394,GA11316,FBgn0071370,CG11990,0.690206517,0
GLEAN_06932,GLEAN_06932,GA11317,FBgn0071371,CG11992,0.732042848,7.19E-10
GLEAN_03395,GLEAN_03395,GA11318,FBgn0071372,CG11993,0.923638362,0.0000491
GLEAN_06707,GLEAN_06707,GA11319,FBgn0071373,CG11994,0.823990723,0
GLEAN_06603,GLEAN_06603,GA11321,FBgn0071375,CG11999,0.938299239,0.01317686
GLEAN_09725,GLEAN_09725,GA11322,FBgn0071376,CG1200,1.049469326,0.00524144
GLEAN_06602,GLEAN_06602,GA11323,FBgn0071377,CG12000,0.924086623,0.00000617
GLEAN_03775,GLEAN_03775,GA11324,FBgn0071378,CG12001,0.726029463,0
GLEAN_01747,GLEAN_01747,GA11325,FBgn0071379,CG12002,1.03770761,0.00040093
GLEAN_14540,GLEAN_14540,GA11327,FBgn0071381,CG12004,0.626462475,0
GLEAN_15407,GLEAN_15407,GA11329,FBgn0071383,CG12006,0.544725005,0
GLEAN_03748,GLEAN_03748,GA11330,FBgn0071384,CG12007,0.864836909,4.90E-14
GLEAN_08942,GLEAN_08942,GA11331,FBgn0071385,CG12008,0.994919703,0.76895649
GLEAN_09073,GLEAN_09073,GA11332,FBgn0071386,CG12009,0.789822296,7.84E-08
GLEAN_09709,GLEAN_09709,GA11333,FBgn0071387,CG12010,0.632308273,0
GLEAN_09710,GLEAN_09710,GA11335,FBgn0071389,CG12012,0.847038823,0
GLEAN_09237,GLEAN_09237,GA11336,FBgn0071390,CG12013,1.05365313,0.00355782
GLEAN_09711,GLEAN_09711,GA11337,FBgn0071391,CG12014,1.102822036,0
GLEAN_08979,GLEAN_08979,GA11338,FBgn0071392,CG12015,0.852044095,0
GLEAN_09236,GLEAN_09236,GA11339,FBgn0071393,CG12016,0.948822417,2.21E-12
GLEAN_09383,GLEAN_09383,GA11341,FBgn0071395,CG12018,0.3972172,0
GLEAN_15297,GLEAN_15297,GA11342,FBgn0071396,CG12019,0.602903914,0
GLEAN_15298,GLEAN_15298,GA11343,FBgn0071397,CG12020,1.606031289,0
GLEAN_15299,GLEAN_15299,GA11344,FBgn0071398,CG12021,0.764771147,0
GLEAN_15302,GLEAN_15302,GA11345,FBgn0071399,CG12023,1.0125899,0.32269546
