Accession,Glean.Accession,Annotation.symbol,FlyBase.ID,CG.ID,MF.Ratio,P.value
GLEAN_06238,GLEAN_06238,GA10002,FBgn0070061,CG10002,1.023605639,0.05383907
GLEAN_14926,GLEAN_14926,GA10004,FBgn0070063,CG10006,1.071082791,0.00000344
GLEAN_03714,GLEAN_03714,GA10005,FBgn0070064,CG10007,0.84077985,2.65E-11
GLEAN_06236,GLEAN_06236,GA10006,FBgn0070065,CG10009,0.867598822,1.01E-09
GLEAN_05477,GLEAN_05477,GA10007,FBgn0070066,CG10011,0.930514154,1.02E-12
GLEAN_06688,GLEAN_06688,GA10009,FBgn0070068,CG10014,2.987834008,0
GLEAN_03789,GLEAN_03789,GA10012,FBgn0070071,CG10018,0.843640348,1.70E-14
GLEAN_02178,GLEAN_02178,GA10014,FBgn0070073,CG10021,1.033572794,0.03287514
GLEAN_10203,GLEAN_10203,GA10016,FBgn0070075,CG10026,1.0977884,0.00000232
GLEAN_03449,GLEAN_03449,GA10017,FBgn0070076,CG10029,1.430381517,0
GLEAN_02771,GLEAN_02771,GA10020,FBgn0070079,CG10033,0.908589161,0.000000001
GLEAN_10204,GLEAN_10204,GA10021,FBgn0070080,CG10034,0.867177963,1.00E-15
GLEAN_18179,GLEAN_18179,GA10023,FBgn0070082,CG10036,1.210917015,0
GLEAN_02565,GLEAN_02565,GA10024,FBgn0070083,CG4114,1.248849823,5.11E-08
GLEAN_08953,GLEAN_08953,GA10024,FBgn0070083,CG9817,1.034282291,0.0000143
GLEAN_03685,GLEAN_03685,GA10025,FBgn0070084,CG10038,0.612337949,0
GLEAN_01631,GLEAN_01631,GA10027,FBgn0070086,CG1004,1.012940898,0.08656407
GLEAN_03684,GLEAN_03684,GA10028,FBgn0070087,CG10041,1.866195333,0
GLEAN_10705,GLEAN_10705,GA10030,FBgn0070089,CG10043,0.908337282,0
GLEAN_04834,GLEAN_04834,GA10031,FBgn0070090,CG10045,0.797966452,6.46E-10
GLEAN_06884,GLEAN_06884,GA10033,FBgn0070092,CG10050,0.884050078,0
GLEAN_06883,GLEAN_06883,GA10036,FBgn0070095,CG10053,0.748565259,1.00E-15
GLEAN_03459,GLEAN_03459,GA10037,FBgn0070096,CG10055,0.995893241,0.7640385
GLEAN_03460,GLEAN_03460,GA10038,FBgn0070097,CG10059,0.666048897,0
GLEAN_11411,GLEAN_11411,GA10039,FBgn0070098,CG10060,0.370925151,0
GLEAN_11412,GLEAN_11412,GA10042,FBgn0070101,CG10063,3.755486989,0
GLEAN_11413,GLEAN_11413,GA10043,FBgn0070102,CG10064,3.287065034,0
GLEAN_03462,GLEAN_03462,GA10046,FBgn0070105,CG10068,0.809386112,0
GLEAN_08982,GLEAN_08982,GA10048,FBgn0070107,CG1007,0.859339431,1.70E-14
GLEAN_17781,GLEAN_17781,GA10049,FBgn0070108,CG10071,0.65094159,2.82E-13
GLEAN_11414,GLEAN_11414,GA10050,FBgn0070109,CG10072,0.617666504,0
GLEAN_18082,GLEAN_18082,GA10051,FBgn0070110,CG10073,1.019654223,0.00094842
GLEAN_11415,GLEAN_11415,GA10052,FBgn0070111,CG10075,0.843172664,3.03E-12
GLEAN_10703,GLEAN_10703,GA10053,FBgn0070112,CG10076,1.892902366,0
GLEAN_10704,GLEAN_10704,GA10053,FBgn0070112,CG10076,1.043767221,0.00000985
GLEAN_17224,GLEAN_17224,GA10057,FBgn0070116,CG10080,0.798077082,6.76E-13
GLEAN_09603,GLEAN_09603,GA10060,FBgn0070119,CG10083,0.905633983,2.00E-15
GLEAN_10210,GLEAN_10210,GA10061,FBgn0070120,CG10084,0.643093316,0
GLEAN_06905,GLEAN_06905,GA10062,FBgn0070121,CG10086,1.023449559,0.00011519
GLEAN_09604,GLEAN_09604,GA10063,FBgn0070122,CG10089,1.086810192,6.88E-10
GLEAN_01729,GLEAN_01729,GA10064,FBgn0070123,CG1009,0.914655267,0.00000296
GLEAN_04835,GLEAN_04835,GA10065,FBgn0070124,CG10091,0.768224564,1.73E-13
GLEAN_06910,GLEAN_06910,GA10066,FBgn0070125,CG10092,0.850509939,0
GLEAN_06871,GLEAN_06871,GA10070,FBgn0070129,CG10098,0.777546036,0
GLEAN_09696,GLEAN_09696,GA10073,FBgn0070132,CG10103,0.872665096,2.76E-08
GLEAN_17122,GLEAN_17122,GA10074,FBgn0070133,CG10104,2.008056691,0
GLEAN_17123,GLEAN_17123,GA10075,FBgn0070134,CG10105,0.720464874,0
GLEAN_17581,GLEAN_17581,GA10076,FBgn0070135,CG10106,0.847038823,1.20E-14
GLEAN_09697,GLEAN_09697,GA10077,FBgn0070136,CG10107,0.683114822,0
GLEAN_17901,GLEAN_17901,GA10079,FBgn0070138,CG10109,0.758804427,0
GLEAN_17074,GLEAN_17074,GA10080,FBgn0070139,CG10110,0.712963438,0
GLEAN_17073,GLEAN_17073,GA10081,FBgn0070140,CG10112,1.066001893,4.87E-13
GLEAN_06894,GLEAN_06894,GA10082,FBgn0070141,CG10113,2.402272814,0
GLEAN_09606,GLEAN_09606,GA10083,FBgn0070142,CG10116,1.190609243,1.00E-14
GLEAN_17905,GLEAN_17905,GA10084,FBgn0070143,CG10117,0.946379022,2.95E-09
GLEAN_17070,GLEAN_17070,GA10086,FBgn0070145,CG10119,0.973747754,0.00004104
GLEAN_05956,GLEAN_05956,GA10087,FBgn0070146,CG10120,1.018686407,0.41214611
GLEAN_09701,GLEAN_09701,GA10088,FBgn0070147,CG10121,1.008268586,0.6333087
GLEAN_17907,GLEAN_17907,GA10089,FBgn0070148,CG10122,0.501596783,0
GLEAN_10211,GLEAN_10211,GA10090,FBgn0070149,CG10123,0.751737042,0
GLEAN_09704,GLEAN_09704,GA10092,FBgn0070151,CG10125,0.283240603,0
GLEAN_17069,GLEAN_17069,GA10094,FBgn0070153,CG10128,1.082749871,4.11E-10
GLEAN_09705,GLEAN_09705,GA10095,FBgn0070154,CG10129,0.719566536,0
GLEAN_17910,GLEAN_17910,GA10096,FBgn0070155,CG10130,0.9375516,0.00063908
GLEAN_19339,GLEAN_19339,GA10098,FBgn0070157,CG10132,1.07780785,3.99E-08
GLEAN_09743,GLEAN_09743,GA10099,FBgn0070158,CG10133,0.879039561,0
GLEAN_19340,GLEAN_19340,GA10101,FBgn0070160,CG10137,0.924278801,6.54E-13
GLEAN_16302,GLEAN_16302,GA10102,FBgn0070161,CG10138,1.279251567,0
GLEAN_17333,GLEAN_17333,GA10105,FBgn0070164,CG10142,1.027202059,0.00110257
GLEAN_17061,GLEAN_17061,GA10106,FBgn0070165,CG10143,1.184271612,0
GLEAN_01636,GLEAN_01636,GA10107,FBgn0070166,CG10144,0.931998798,2.27E-10
GLEAN_17058,GLEAN_17058,GA10108,FBgn0070167,CG10145,0.910985502,0.00023764
GLEAN_17916,GLEAN_17916,GA10109,FBgn0070168,CG10146,0.991318116,0.73479539
GLEAN_17049,GLEAN_17049,GA10113,FBgn0070172,CG10151,1.121088367,3.69E-13
GLEAN_17048,GLEAN_17048,GA10115,FBgn0070174,CG10153,0.856188285,1.90E-14
GLEAN_17045,GLEAN_17045,GA10117,FBgn0070176,CG10155,0.799627503,7.00E-15
GLEAN_05427,GLEAN_05427,GA10118,FBgn0070177,CG10157,2.27757727,0
GLEAN_08357,GLEAN_08357,GA10119,FBgn0070178,CG10158,1.046193709,0.29120527
GLEAN_17894,GLEAN_17894,GA10120,FBgn0070179,CG10159,0.886074556,1.78E-13
GLEAN_17895,GLEAN_17895,GA10120,FBgn0070179,CG10159,0.460285213,3.45E-10
GLEAN_01644,GLEAN_01644,GA10121,FBgn0070180,CG10160,1.053499771,8.94E-08
