ID,GAnumber,Average.intensity,log2,t,adj.p.value
GLEAN_04687,GA26702,10.16363844,-0.961963482,-7.356274904,4.03E-06
GLEAN_09488,GA12009,11.59819632,-0.957805585,-5.960112309,8.80E-05
GLEAN_08930,GA28274,6.687660686,-0.952671776,-5.095315607,0.000608505
GLEAN_11593,GA24034,5.732100542,-0.944689777,-4.245013055,0.003589655
GLEAN_14885,GA21163,11.28914433,-0.943934437,-4.035724948,0.005473375
GLEAN_18027,GA19591,10.91139551,-0.941208595,-6.048544925,7.18E-05
GLEAN_01007,GA28861,12.81326542,-0.939392084,-6.339315342,3.58E-05
GLEAN_10456,GA28871,11.03095439,-0.933344274,-4.178308692,0.00406921
GLEAN_04683,GA26699,10.0585053,-0.92939981,-7.242017675,4.85E-06
GLEAN_00865,GA18700,10.36919601,-0.928902114,-3.654614316,0.011336162
GLEAN_18250,GA24833,6.40306075,-0.914389991,-8.17461785,7.17E-07
GLEAN_17378,GA15033,12.71335549,-0.910380322,-2.978747886,0.039827793
GLEAN_05632,GA12556,8.987595652,-0.909185618,-5.97208791,8.54E-05
GLEAN_13406,GA21954,11.71069969,-0.903946406,-3.133164363,0.030422463
GLEAN_14387,GA19699,10.25123244,-0.902302916,-4.178407569,0.00406921
GLEAN_09182,GA12006,6.613591381,-0.896357591,-4.203999681,0.003881643
GLEAN_06791,GA16293,6.391179154,-0.894482689,-4.428851804,0.002484676
GLEAN_03009,GA13361,15.38403664,-0.894180214,-5.702184518,0.000163048
GLEAN_08747,GA12189,9.78794741,-0.886482376,-3.429896612,0.017424299
GLEAN_18937,GA21007,10.50338162,-0.885448653,-5.947544755,9.03E-05
GLEAN_09290,GA11088,11.46264676,-0.885120272,-3.20172667,0.026869029
GLEAN_03826,GA11254,9.34521716,-0.879895427,-3.167192642,0.028504154
GLEAN_14182,GA21751,5.659062201,-0.879450693,-3.112203772,0.031631966
GLEAN_10396,GA28844,12.41564262,-0.871199341,-4.682140987,0.001471934
GLEAN_18907,GA25090,8.330484336,-0.866044962,-6.442946634,2.85E-05
GLEAN_10486,GA21380,14.10196637,-0.861489357,-3.776512661,0.008921808
GLEAN_06007,GA14209,13.11954213,-0.857509876,-4.475015389,0.0022707
GLEAN_02995,GA29021,6.513798186,-0.856805648,-3.784543646,0.008783851
GLEAN_10880,GA29061,10.3946806,-0.856344631,-4.468585973,0.002297519
GLEAN_13508,GA20639,8.136667856,-0.849790153,-6.48131521,2.56E-05
GLEAN_18362,GA19628,10.792255,-0.844934223,-3.904793903,0.007042196
GLEAN_15753,GA20115,14.90260622,-0.841860951,-5.600721458,0.000200156
GLEAN_18985,GA15876,8.324446031,-0.837256012,-3.496610992,0.015318622
GLEAN_11836,GA19703,7.521366553,-0.833493424,-6.344587302,3.55E-05
GLEAN_11451,GA29301,6.664752142,-0.829741367,-3.956507138,0.006416147
GLEAN_12388,GA21535,6.239039542,-0.828764926,-4.489905249,0.002209117
GLEAN_10229,GA20684,9.453897872,-0.827301407,-3.14594662,0.029688009
GLEAN_03054,GA18850,11.40993399,-0.818308099,-4.40132701,0.002626222
GLEAN_10192,GA12036,11.07996799,-0.814740854,-4.334218461,0.003031544
GLEAN_14806,GA23591,13.03611146,-0.810636447,-4.586736878,0.001808744
GLEAN_03101,GA26096,6.539442535,-0.810276405,-3.573141337,0.013209994
GLEAN_05557,GA11826,9.563573949,-0.807948597,-3.480280548,0.015687559
GLEAN_05765,GA27099,7.701442108,-0.806922367,-2.860813526,0.049418447
GLEAN_16313,GA18134,12.84872351,-0.806793401,-3.25486131,0.024546219
GLEAN_02365,GA15002,8.985810854,-0.805745214,-3.232142811,0.025539841
GLEAN_02044,GA17497,12.85466806,-0.804791385,-4.448301502,0.002404631
GLEAN_06230,GA27265,10.5719108,-0.803905497,-3.246595928,0.024865684
GLEAN_01405,GA11409,5.594880172,-0.798604553,-4.056177043,0.00524854
GLEAN_01203,GA22711,7.473104944,-0.798527258,-4.617102274,0.001693781
GLEAN_15061,GA21165,11.33015076,-0.797290459,-4.378288508,0.00275783
GLEAN_01272,GA20650,9.518264805,-0.794233452,-3.518892113,0.014576341
GLEAN_12465,GA22573,10.53329311,-0.782684008,-4.106329812,0.004787871
GLEAN_00861,GA28222,7.609024781,-0.781659769,-4.405074637,0.00261066
GLEAN_02107,GA15458,8.991349105,-0.781439686,-3.754487866,0.009302602
GLEAN_15062,GA14928,9.192650785,-0.778008041,-3.963117116,0.006331345
GLEAN_08830,GA21318,9.715074402,-0.776258542,-3.054494911,0.035043156
GLEAN_03550,GA26264,9.812104568,-0.775734493,-4.004684072,0.005872988
GLEAN_12566,GA14088,11.48458399,-0.7754477,-5.107573856,0.000590975
GLEAN_17072,GA24431,8.18799439,-0.775361107,-3.106137438,0.032021868
GLEAN_08664,GA28165,6.51717388,-0.775073175,-3.648734974,0.011448878
GLEAN_08817,GA11203,11.20526121,-0.775061713,-3.065506831,0.034261354
GLEAN_13318,GA17622,8.586862502,-0.769096494,-4.248538278,0.003563273
GLEAN_09637,GA28568,10.51317626,-0.767999733,-3.948378468,0.006530657
GLEAN_14807,GA21218,12.70987674,-0.766969515,-4.026708314,0.005590571
GLEAN_04612,GA26659,7.983257919,-0.766304026,-3.96236609,0.006337794
GLEAN_15547,GA10335,13.0316512,-0.764959137,-4.414155179,0.002568891
GLEAN_17669,GA15787,12.28976975,-0.764838692,-3.5154922,0.014681099
GLEAN_16805,GA24348,6.436723631,-0.762711192,-4.693788557,0.001427949
GLEAN_04867,GA14522,10.04268335,-0.761453156,-5.212331625,0.000464629
GLEAN_18025,GA19580,9.245692111,-0.759083165,-5.632840548,0.000187851
GLEAN_17305,GA15797,11.74405121,-0.758269328,-5.220612422,0.000456266
GLEAN_18227,GA17764,14.87388656,-0.756654597,-3.529410997,0.01431892
GLEAN_03713,GA10003,6.793326337,-0.754491591,-4.621258658,0.001683449
GLEAN_03527,GA26249,6.267183016,-0.747061474,-5.754270976,0.000143477
GLEAN_15497,GA12791,7.57981729,-0.746924726,-4.890265746,0.00095516
GLEAN_17409,GA21782,7.288243545,-0.74674587,-3.2204529,0.026171613
GLEAN_05688,GA27063,9.529292777,-0.746700587,-3.558246503,0.01356214
GLEAN_18644,GA11574,11.40049809,-0.740591909,-3.990738337,0.00603999
GLEAN_05132,GA20651,9.489191606,-0.739209002,-6.419646126,3.00E-05
GLEAN_16472,GA24243,8.365408735,-0.737998096,-5.280647956,0.000401241
GLEAN_15149,GA14349,11.75223943,-0.737180552,-4.325885875,0.003085297
GLEAN_12586,GA18331,9.144194929,-0.736840502,-5.094743809,0.000608505
GLEAN_09846,GA11153,9.526982405,-0.73662659,-6.106794921,6.36E-05
GLEAN_13086,GA13114,11.32676178,-0.735869001,-3.850019816,0.007775633
GLEAN_03951,GA19588,10.38249477,-0.735638851,-3.712371618,0.010085446
GLEAN_18144,GA15343,12.9802619,-0.73481536,-4.235495603,0.003637923
GLEAN_15848,GA16601,10.78444138,-0.726558911,-3.838875889,0.007898326
GLEAN_12610,GA16389,11.46723905,-0.725553255,-3.93755293,0.006639363
GLEAN_13331,GA23021,9.470877283,-0.723720932,-4.173908813,0.00409372
GLEAN_16373,GA14622,7.438727842,-0.723559083,-5.746642857,0.000145259
GLEAN_01410,GA18033,7.263211996,-0.722050838,-10.56415671,3.29E-09
GLEAN_04526,GA26620,7.83081855,-0.715522703,-3.333046119,0.021093681
GLEAN_10325,GA19250,11.53640879,-0.715066935,-2.957244897,0.041484588
GLEAN_08728,GA19576,11.30756611,-0.714711301,-4.119763359,0.004637119
GLEAN_12831,GA22753,6.660031366,-0.713834703,-3.840302545,0.007884889
GLEAN_13007,GA14771,9.472612501,-0.702049702,-3.436033923,0.017205855
GLEAN_08430,GA17268,11.46912118,-0.701142781,-3.206238953,0.026744969
GLEAN_04843,GA26765,12.11183023,-0.69857423,-3.096504929,0.032579697
GLEAN_02101,GA25715,6.917287768,-0.694203604,-4.819098237,0.001107453
GLEAN_01572,GA18200,10.71735864,-0.691107963,-5.226226143,0.00045133
GLEAN_16320,GA18160,8.192557612,-0.687148348,-4.875703791,0.000987327
GLEAN_16315,GA12325,12.03623171,-0.683928321,-4.000172835,0.005899596
GLEAN_14035,GA23305,11.10988974,-0.683770243,-3.394905711,0.018703333
GLEAN_15731,GA23947,7.115700906,-0.68092322,-3.290354429,0.022943181
GLEAN_17757,GA14683,6.189868293,-0.680432143,-3.907233604,0.007030979
GLEAN_04862,GA22628,6.902479342,-0.679591843,-4.176778761,0.004076242
GLEAN_16528,GA15578,9.309632923,-0.677256612,-3.434096687,0.017285364
GLEAN_03677,GA21026,11.54115606,-0.67693945,-4.368669692,0.002810331
GLEAN_02046,GA12705,11.94378138,-0.675713416,-3.654942665,0.011336162
GLEAN_19610,GA25398,6.828779248,-0.672899051,-4.777206646,0.001203042
GLEAN_04117,GA10693,10.37233944,-0.67248697,-3.892437581,0.007195184
GLEAN_07573,GA19861,6.795476248,-0.670465164,-5.881002843,0.000104623
GLEAN_10203,GA10016,9.968599919,-0.670288712,-4.032135937,0.005523693
GLEAN_10231,GA20729,9.824180523,-0.670016836,-3.0881407,0.032865518
GLEAN_03892,GA26403,11.74332375,-0.663700204,-3.745454232,0.009462906
GLEAN_06006,GA21802,11.43132424,-0.662394981,-3.183540118,0.027681866
GLEAN_03404,GA26199,9.937119106,-0.661486761,-5.434445515,0.000276683
GLEAN_02451,GA14587,13.10876031,-0.659242803,-3.371248888,0.019527428
GLEAN_12675,GA21850,7.248657179,-0.657402774,-3.502329066,0.015112175
GLEAN_17758,GA15013,9.502198977,-0.655317376,-3.204400659,0.026811869
GLEAN_09811,GA19240,11.59358491,-0.654583672,-3.309657957,0.022056063
GLEAN_01403,GA20354,7.079284158,-0.651453791,-4.438144302,0.002446514
GLEAN_10273,GA20502,6.335620895,-0.649031967,-6.74699503,1.53E-05
GLEAN_02020,GA21711,11.03209221,-0.645210686,-5.277572792,0.000403529
GLEAN_04965,GA14949,9.58536412,-0.645182035,-3.645035187,0.01151235
GLEAN_01889,GA25395,11.92917144,-0.641945644,-3.721866782,0.009889469
GLEAN_04831,GA26760,11.42379659,-0.639592193,-4.714858556,0.00138041
GLEAN_18090,GA24798,6.33205723,-0.639361271,-2.986673133,0.039283322
GLEAN_04394,GA20084,8.65326112,-0.637078775,-5.624321958,0.000190885
GLEAN_13800,GA23224,7.380019441,-0.634906859,-3.65732027,0.011310458
GLEAN_01650,GA24563,8.801468548,-0.633896969,-6.019801824,7.66E-05
GLEAN_19346,GA10274,9.355194995,-0.63387801,-3.596391626,0.01268041
GLEAN_15540,GA15077,12.53088117,-0.633622788,-4.472490911,0.002279399
GLEAN_16778,GA24337,12.82682134,-0.632227942,-8.364182136,4.85E-07
GLEAN_03487,GA26233,7.384338938,-0.630860853,-3.767307366,0.009080344
GLEAN_13092,GA22890,5.878423323,-0.63021257,-3.071299994,0.033943478
GLEAN_12474,GA22578,7.663187185,-0.629664034,-6.258151191,4.38E-05
GLEAN_18265,GA24837,7.148075703,-0.629051892,-4.915137698,0.000903173
GLEAN_05568,GA10261,9.659091922,-0.628698347,-3.814799525,0.008294742
GLEAN_15129,GA20426,13.32937749,-0.627725912,-3.718463818,0.009958046
GLEAN_14217,GA15129,12.49757427,-0.627089721,-3.202189629,0.026862057
GLEAN_12560,GA13676,7.81088352,-0.625615216,-4.057774248,0.005242613
GLEAN_00482,GA17813,12.54172283,-0.624107867,-3.025365326,0.036662299
GLEAN_17266,GA11836,11.26663265,-0.623526107,-2.988265743,0.039172985
GLEAN_02043,GA17498,11.85645039,-0.622426081,-3.127294101,0.030746036
GLEAN_10868,GA21423,8.042974864,-0.619112132,-4.641238271,0.001613227
GLEAN_03439,GA10768,11.96724364,-0.617240468,-4.831358455,0.001087715
GLEAN_17403,GA21788,10.03444207,-0.615785583,-3.352372995,0.020253008
GLEAN_19425,GA19746,9.928197224,-0.615614479,-3.926006816,0.006748303
GLEAN_03569,GA16944,9.981979269,-0.614355751,-3.693851805,0.010531619
GLEAN_04082,GA15055,10.18079627,-0.614276113,-3.062660994,0.034433982
GLEAN_04518,GA10751,12.49449217,-0.611551057,-7.06833593,7.00E-06
GLEAN_05591,GA19204,13.71047782,-0.608791007,-4.960199913,0.000815355
GLEAN_08864,GA21924,8.741257191,-0.60649913,-3.173278424,0.028254057
GLEAN_09529,GA10936,11.36439538,-0.606260692,-4.770270239,0.001216685
GLEAN_05689,GA11217,10.95919443,-0.599758105,-3.595643047,0.012682444
GLEAN_10393,GA14329,6.260106093,-0.599204897,-4.18546724,0.004013678
GLEAN_17445,GA20820,11.82386003,-0.597428213,-3.936929611,0.006643858
GLEAN_04780,GA16086,11.56244283,-0.596492234,-3.28096163,0.023369384
GLEAN_05046,GA26842,8.943813832,-0.595424239,-3.745188623,0.009462906
GLEAN_05257,GA10910,12.90085698,-0.595093675,-2.928407698,0.043910913
GLEAN_04247,GA26524,7.840479622,-0.592726666,-4.746043634,0.001275012
GLEAN_03103,GA13525,6.08482594,-0.58651604,-3.939772287,0.006619369
GLEAN_19649,GA25414,5.496486466,-0.586494286,-3.046536339,0.035453595
GLEAN_03464,GA26225,10.33692133,-0.585876357,-4.522092349,0.002073638
GLEAN_01041,GA29023,11.09041596,-0.584693734,-2.97813686,0.039857105
GLEAN_15436,GA23811,10.56371105,-0.584177646,-3.246403909,0.024865684
GLEAN_06523,GA16150,10.90534852,-0.582921413,-3.184054638,0.027681866
GLEAN_15148,GA19955,7.463327525,-0.58229641,-4.197236147,0.003936869
GLEAN_04524,GA21311,9.717287234,-0.582163986,-3.282845723,0.023294839
GLEAN_03399,GA11191,10.57841791,-0.581615028,-6.041239699,7.29E-05
GLEAN_09803,GA21307,10.56649269,-0.581593805,-3.519448036,0.01456485
GLEAN_09002,GA28300,10.07268326,-0.580884014,-4.673042283,0.001505803
GLEAN_06865,GA18249,14.29969409,-0.579429911,-3.17243676,0.02825852
GLEAN_08754,GA20992,14.42791295,-0.578832609,-3.676016014,0.010919942
GLEAN_08746,GA12188,7.540626868,-0.577835577,-3.820494341,0.008191584
GLEAN_13707,GA23185,8.858224803,-0.57781704,-3.780287568,0.008860329
GLEAN_10760,GA21243,11.30790026,-0.577473646,-3.802645901,0.008484599
GLEAN_04544,GA26628,10.24677769,-0.574638654,-3.715164406,0.010025728
GLEAN_14534,GA13406,10.46891771,-0.572979358,-4.027245939,0.005588666
GLEAN_14857,GA23603,9.552533614,-0.572930174,-3.092139234,0.032745836
GLEAN_18266,GA24838,9.075150317,-0.570158585,-3.487428832,0.015536277
GLEAN_04237,GA11521,9.150493103,-0.569990895,-3.793151614,0.008632898
GLEAN_01126,GA22284,8.359737185,-0.569785797,-3.711299978,0.010106952
GLEAN_02764,GA14098,12.0390545,-0.568972432,-3.313078453,0.021908991
GLEAN_06506,GA27372,10.68313229,-0.565745203,-4.005717755,0.005868554
GLEAN_02705,GA17556,11.89151201,-0.565058467,-3.893707643,0.007191952
GLEAN_06367,GA19674,10.87282244,-0.564972256,-5.419460213,0.000285462
GLEAN_16487,GA10849,10.68260829,-0.564944529,-2.888400163,0.047111162
GLEAN_07129,GA18852,13.62927144,-0.563837045,-3.264005907,0.024142946
GLEAN_05569,GA13342,10.4324704,-0.559385432,-5.077922461,0.000628358
GLEAN_06902,GA27509,8.938982044,-0.5583977,-4.248771209,0.003563273
GLEAN_05549,GA16134,8.096949243,-0.557487785,-3.648357628,0.011451311
GLEAN_18333,GA12275,12.02268926,-0.557075362,-3.328311697,0.021296776
GLEAN_03828,GA26377,7.205780762,-0.556511516,-2.863966405,0.049139151
GLEAN_09887,GA19261,13.47467654,-0.55650222,-3.494300483,0.015393845
GLEAN_07823,GA27821,5.646329117,-0.556207785,-5.046491811,0.000682326
GLEAN_09787,GA28634,7.057746049,-0.553607979,-3.65285474,0.01136547
GLEAN_06971,GA18207,9.164794899,-0.552666785,-3.656010702,0.011332684
GLEAN_04118,GA26486,10.30040032,-0.552630293,-3.724931202,0.009826707
GLEAN_10725,GA19575,9.59268353,-0.552594986,-3.491158598,0.015447935
GLEAN_03327,GA19751,9.420267482,-0.549405696,-4.580818619,0.001826038
GLEAN_10859,GA13631,11.62099438,-0.54923441,-3.739035794,0.009515977
GLEAN_12391,GA22548,6.133586763,-0.548615683,-3.467235736,0.016089269
GLEAN_12696,GA22691,7.024101403,-0.548058251,-3.082169987,0.033174336
GLEAN_04743,GA19799,8.336076222,-0.547619396,-6.167608271,5.48E-05
GLEAN_09161,GA18507,8.665365856,-0.547050642,-4.525870054,0.00205451
GLEAN_18756,GA14786,10.46377476,-0.544846302,-3.105601854,0.032048526
GLEAN_12561,GA17094,10.86289765,-0.544099649,-7.831743151,1.30E-06
GLEAN_02639,GA12171,9.284795396,-0.544095081,-2.902035638,0.046080105
GLEAN_18436,GA24906,10.43784276,-0.543569664,-3.286795348,0.023121791
GLEAN_04250,GA20950,6.163660796,-0.54054521,-6.309490944,3.86E-05
GLEAN_04266,GA13054,9.295287258,-0.540160345,-2.959689565,0.041359425
GLEAN_19019,GA25137,10.65657044,-0.539927747,-3.800085436,0.008521788
GLEAN_09198,GA20325,12.62634231,-0.538102931,-3.247474338,0.024854818
GLEAN_18073,GA13844,11.07316829,-0.536522013,-7.627670511,2.10E-06
GLEAN_08740,GA16619,7.187547733,-0.536205751,-3.445756492,0.016864124
GLEAN_07825,GA27823,5.73328065,-0.536094966,-6.30486655,3.88E-05
GLEAN_17819,GA18059,8.612474336,-0.535890929,-3.342659896,0.020685365
GLEAN_14368,GA20861,8.247129247,-0.534136283,-5.893870223,0.00010181
GLEAN_03039,GA18388,6.717229676,-0.533425692,-2.971690005,0.040367375
GLEAN_13641,GA14119,11.31292909,-0.533406272,-2.891136844,0.046888927
