ID,GAnumber,Average.intensity,log2,t,adj.p.value
GLEAN_03325,GA14014,7.297117824,-0.501665579,-3.894566505,0.007181938
GLEAN_17618,GA18997,10.34331038,-0.50155377,-3.074625213,0.03371416
GLEAN_03007,GA16408,12.97960452,-0.501170193,-3.78184612,0.008838022
GLEAN_06553,GA17826,8.767294107,-0.49911056,-3.643044779,0.011538095
GLEAN_04816,GA17384,8.980995763,-0.498629191,-4.264606768,0.003457736
GLEAN_07105,GA20421,8.239172062,-0.497955414,-3.654281099,0.011336162
GLEAN_05881,GA21679,9.387091625,-0.497872179,-3.582551487,0.012967378
GLEAN_16534,GA20879,11.73840151,-0.497803589,-8.121077133,7.58E-07
GLEAN_06666,GA10238,10.12862797,-0.497420905,-4.240033118,0.00361914
GLEAN_02054,GA20558,5.569676399,-0.496990952,-4.549445325,0.001972515
GLEAN_15544,GA10332,11.13341216,-0.496490626,-5.627057525,0.000190234
GLEAN_14371,GA23436,11.45817746,-0.494773091,-2.907049918,0.045764446
GLEAN_06835,GA19949,10.94099518,-0.494341127,-3.001618179,0.038252774
GLEAN_16148,GA17487,10.07479194,-0.492061148,-4.246870971,0.003575439
GLEAN_19720,GA18712,9.908183685,-0.49005096,-3.558855788,0.013555348
GLEAN_02313,GA25805,10.63651931,-0.489369058,-4.06360426,0.005226353
GLEAN_13049,GA22867,8.576635176,-0.487379825,-2.906220723,0.04577753
GLEAN_00377,GA26363,10.59055216,-0.48727283,-3.568049267,0.013317032
GLEAN_13823,GA23232,10.06177814,-0.485371371,-3.690052458,0.010607345
GLEAN_17520,GA24603,6.426669207,-0.485034885,-4.828229106,0.001089697
GLEAN_10436,GA16224,9.048141957,-0.484094795,-3.538916061,0.014106226
GLEAN_19165,GA25183,12.57601707,-0.483725038,-4.786466996,0.001189682
GLEAN_11989,GA22383,11.34407178,-0.483611055,-2.990346356,0.03910048
GLEAN_07098,GA14645,10.01911049,-0.483579624,-2.874382702,0.048288177
GLEAN_01249,GA14705,8.176265687,-0.483257848,-3.804466092,0.008457209
GLEAN_06496,GA10393,7.72524898,-0.483095936,-3.459717088,0.016364108
GLEAN_02222,GA20207,8.720701143,-0.482816852,-5.084645721,0.000620184
GLEAN_12493,GA22593,12.83348045,-0.481743237,-4.999803259,0.000748941
GLEAN_13175,GA22939,10.86153406,-0.480862895,-2.918262816,0.044756415
GLEAN_03401,GA26198,8.232639742,-0.480437295,-5.338050202,0.000351327
GLEAN_00152,GA17524,8.726786193,-0.480332898,-4.545748892,0.001974815
GLEAN_09178,GA18548,7.473146326,-0.479921007,-4.258360513,0.003503516
GLEAN_11481,GA29318,11.38717108,-0.47968342,-3.129446694,0.030621899
GLEAN_18622,GA21175,15.71520894,-0.479287534,-3.662655942,0.01118068
GLEAN_06878,GA27500,7.323582141,-0.478617819,-4.651813133,0.001581022
GLEAN_07347,GA27667,5.473158127,-0.478015182,-3.270511192,0.023856961
GLEAN_18738,GA25010,5.293696771,-0.477931111,-3.205415751,0.026772364
GLEAN_11977,GA17719,12.4563786,-0.477551817,-2.887194196,0.04721284
GLEAN_19221,GA10921,7.62921163,-0.476257696,-6.051593561,7.16E-05
GLEAN_10934,GA29088,9.60460288,-0.473787776,-3.604686067,0.012485443
GLEAN_17963,GA13495,8.922630386,-0.472473539,-3.77268071,0.008993725
GLEAN_03265,GA18756,8.271186649,-0.472445755,-4.373716146,0.002782661
GLEAN_08938,GA10589,11.06487471,-0.471105589,-6.711916734,1.66E-05
GLEAN_10324,GA19190,10.53337392,-0.47034021,-2.899150136,0.046332178
GLEAN_06574,GA16316,8.165102902,-0.469979208,-4.542279028,0.001983599
GLEAN_04565,GA14439,6.370015794,-0.469348664,-3.477626914,0.015768409
GLEAN_17155,GA17673,8.999419546,-0.469094714,-2.945853084,0.042347649
GLEAN_04301,GA15887,9.374577689,-0.468880335,-3.278611562,0.023488386
GLEAN_08883,GA14809,12.64806377,-0.468744702,-3.414898,0.017975419
GLEAN_00819,GA11679,9.598452313,-0.468274146,-5.41296986,0.000289983
GLEAN_07023,GA20592,6.153566605,-0.46777239,-4.772783529,0.001216164
GLEAN_08973,GA28288,10.39629953,-0.466747813,-3.158436411,0.029005101
GLEAN_10282,GA16508,8.466139467,-0.465854731,-3.099031394,0.032433157
GLEAN_02763,GA17552,10.86821304,-0.464896738,-3.089577387,0.032844967
GLEAN_11932,GA21967,11.79500319,-0.464803059,-3.44438556,0.016911117
GLEAN_08667,GA28166,7.144409586,-0.463922915,-3.731769783,0.009683746
GLEAN_10193,GA14474,6.041350928,-0.46357707,-6.59990382,2.00E-05
GLEAN_18568,GA15364,9.274337403,-0.463118179,-4.479433831,0.002257428
GLEAN_13149,GA15371,9.292376133,-0.462730896,-3.081501166,0.03318044
GLEAN_18249,GA24832,9.527539062,-0.460030961,-2.904826245,0.045899077
GLEAN_05455,GA17287,9.917930268,-0.459663339,-3.331853265,0.02114824
GLEAN_14881,GA18106,6.4820054,-0.459264539,-3.739750838,0.009515977
GLEAN_12704,GA17426,9.862016009,-0.458186365,-2.894345383,0.046652222
GLEAN_12565,GA14089,8.617749137,-0.457433584,-4.988862405,0.000771747
GLEAN_01846,GA25178,5.620404902,-0.456992151,-3.482222857,0.01562872
GLEAN_04926,GA19006,10.55816501,-0.455647371,-3.723952452,0.009840279
GLEAN_06209,GA14691,9.475917148,-0.453987397,-4.272842388,0.00342801
GLEAN_18332,GA12274,8.70216361,-0.453450064,-4.063246906,0.005226353
GLEAN_03056,GA18875,7.672593299,-0.452984564,-3.251434249,0.024702703
GLEAN_05842,GA19276,7.564340574,-0.452480574,-3.576796587,0.013141255
GLEAN_04866,GA17920,8.222714619,-0.452350285,-3.329641211,0.021236159
GLEAN_15718,GA23941,8.360314873,-0.452317728,-4.413547299,0.002568891
GLEAN_18168,GA14307,11.99788337,-0.450977953,-5.542487017,0.000227903
GLEAN_14703,GA23552,5.523233163,-0.449635208,-5.701413822,0.000163048
GLEAN_05215,GA14511,7.993628786,-0.447987712,-3.162564435,0.028791734
GLEAN_12492,GA11022,8.64454449,-0.447831742,-3.747123988,0.009445912
GLEAN_08802,GA28214,9.706148387,-0.447613027,-4.646203966,0.001599745
GLEAN_09860,GA11753,9.093883452,-0.447247723,-4.289127202,0.003296996
GLEAN_01905,GA16482,8.323369139,-0.446891336,-3.362680218,0.019797622
GLEAN_08484,GA12672,6.085671298,-0.446852988,-4.212773581,0.003794916
GLEAN_04972,GA20847,10.83481408,-0.44598227,-3.759844691,0.009208193
GLEAN_01987,GA20584,9.417105789,-0.44577262,-3.378575624,0.019304406
GLEAN_03008,GA13360,12.12348246,-0.445658616,-2.995931558,0.038688816
GLEAN_01857,GA13533,8.619289894,-0.445242007,-3.314951782,0.021840239
GLEAN_03698,GA26340,8.517993258,-0.444754663,-4.16308823,0.004207652
GLEAN_15568,GA16636,6.195878083,-0.44464476,-4.304451797,0.003188915
GLEAN_01860,GA10279,8.38217605,-0.444228659,-3.008130574,0.037787126
GLEAN_11817,GA13598,8.708750324,-0.444159112,-3.973822876,0.006217469
GLEAN_03326,GA19749,8.046567329,-0.444010709,-4.855079594,0.001028718
GLEAN_17583,GA11434,9.014678525,-0.442976265,-3.989609044,0.006046128
GLEAN_17027,GA10832,11.48907405,-0.44100644,-4.548790859,0.001972515
GLEAN_09454,GA28498,9.465495163,-0.44023963,-3.934378029,0.006670437
GLEAN_03510,GA13205,6.433544217,-0.440045686,-3.371441771,0.019527428
GLEAN_18088,GA24797,6.841200136,-0.439107064,-3.15862239,0.029005101
GLEAN_12805,GA22743,7.380752499,-0.438907571,-3.322218564,0.021525417
GLEAN_06426,GA19329,13.27268313,-0.438703828,-3.513590985,0.01473647
GLEAN_00380,GA14508,9.786523697,-0.437982797,-3.196987554,0.027016696
GLEAN_05534,GA19516,9.02048853,-0.43695889,-3.203545584,0.026827653
GLEAN_16948,GA24395,9.325883036,-0.435845265,-3.904420675,0.007042196
GLEAN_08788,GA14281,10.95253929,-0.43405716,-3.532302884,0.014255085
GLEAN_18026,GA19586,7.215841939,-0.433635657,-3.851485999,0.007751062
GLEAN_17864,GA20580,11.94199946,-0.432231416,-3.642959805,0.011538095
GLEAN_17311,GA24523,10.83146821,-0.429927786,-2.896750912,0.04650579
GLEAN_10775,GA10473,11.00054876,-0.428643614,-3.297693084,0.022607377
GLEAN_18979,GA21072,10.53489953,-0.428531145,-7.287928131,4.52E-06
GLEAN_05377,GA15183,8.583306617,-0.426160295,-3.400501908,0.018552458
GLEAN_08787,GA14278,7.626673561,-0.42609563,-3.022006861,0.036873891
GLEAN_19215,GA10917,7.879007612,-0.425875516,-3.743458018,0.009487194
GLEAN_18975,GA21066,7.605741301,-0.425087836,-3.765929485,0.009098801
GLEAN_11056,GA29129,7.924782614,-0.424717565,-4.128862334,0.004543617
GLEAN_05093,GA13191,8.454845003,-0.424451368,-3.964643629,0.006326694
GLEAN_19039,GA15635,9.873211271,-0.424011577,-3.0491833,0.035281205
GLEAN_18142,GA21271,9.673956387,-0.422205895,-3.693335076,0.010537642
GLEAN_11931,GA22359,7.631994316,-0.42176627,-3.7151109,0.010025728
GLEAN_00137,GA17499,12.25814454,-0.421656387,-7.945628787,1.06E-06
GLEAN_14500,GA12316,6.657734515,-0.421612938,-5.355676654,0.000334376
GLEAN_16620,GA11428,11.01328114,-0.421388255,-5.786173844,0.000133902
GLEAN_17455,GA24580,10.26432193,-0.421044078,-3.068087644,0.034101128
GLEAN_01901,GA18315,7.341833031,-0.42079562,-4.478852988,0.002257428
GLEAN_16893,GA24376,8.273056566,-0.420615683,-3.737123774,0.009558352
GLEAN_17862,GA21085,12.7712619,-0.418872846,-4.521450362,0.002073638
GLEAN_18989,GA20986,11.60792338,-0.418300151,-6.529707036,2.28E-05
GLEAN_15664,GA23914,5.95901261,-0.416602592,-4.595661835,0.001775787
GLEAN_04872,GA17212,9.485243813,-0.412250902,-4.022713496,0.005640849
GLEAN_03375,GA18602,10.41513314,-0.411419076,-3.182098166,0.027772444
GLEAN_15996,GA24060,6.330338572,-0.411248323,-4.192998625,0.003969185
GLEAN_02975,GA14594,10.28090526,-0.411217298,-4.704671012,0.001412678
GLEAN_13938,GA23269,6.310987286,-0.410980662,-3.242209221,0.025065582
GLEAN_03574,GA13143,14.40280521,-0.409400058,-2.914674218,0.045086631
GLEAN_02362,GA25832,8.826928426,-0.407972893,-3.21705178,0.026282689
GLEAN_17777,GA24686,9.329206285,-0.407798613,-3.088132627,0.032865518
GLEAN_04996,GA10127,8.152877507,-0.407122912,-2.874881528,0.048262518
GLEAN_19029,GA10744,8.064027348,-0.406880622,-3.821604661,0.008181964
GLEAN_18550,GA11204,5.731479507,-0.406593324,-3.125231134,0.030816923
GLEAN_09881,GA19246,9.937745434,-0.406368401,-3.930856663,0.006715841
GLEAN_14391,GA19715,9.836013847,-0.405785702,-3.604368572,0.012486335
GLEAN_16475,GA10189,9.259185556,-0.40578482,-3.674722122,0.010949248
GLEAN_12826,GA22751,10.27391663,-0.405025574,-4.070966794,0.005152781
GLEAN_00851,GA10780,10.59343802,-0.404786086,-7.148864804,6.00E-06
GLEAN_12916,GA19443,7.730951879,-0.404438561,-3.108115771,0.031905682
GLEAN_18499,GA15579,11.31153789,-0.403583105,-2.904189808,0.045910761
GLEAN_09496,GA18471,7.884816998,-0.402847325,-3.614827654,0.012266927
GLEAN_10443,GA28866,11.74486931,-0.402664076,-5.473974183,0.000259497
GLEAN_15302,GA11345,7.792143985,-0.40241056,-4.270912356,0.003433273
GLEAN_04535,GA26623,8.371051384,-0.402345949,-3.391931451,0.018791288
GLEAN_10533,GA28911,5.329598181,-0.401000777,-3.506277362,0.014981557
GLEAN_18474,GA11940,7.123941965,-0.400891043,-3.298625623,0.022588084
GLEAN_18567,GA21260,8.214817993,-0.399977949,-3.488078401,0.015522672
GLEAN_04274,GA26534,5.748444203,-0.399665503,-3.093412356,0.032688489
GLEAN_07116,GA17544,11.41192163,-0.399622355,-3.500473594,0.015178568
GLEAN_10871,GA29058,9.844405717,-0.39925158,-2.950343745,0.042010303
GLEAN_16665,GA12281,11.88761533,-0.395508074,-3.409543621,0.018193463
GLEAN_14316,GA20476,10.48547511,-0.395421291,-3.12554245,0.030816923
GLEAN_04287,GA12566,8.400698662,-0.394631576,-3.293287056,0.02282295
GLEAN_16483,GA12589,9.68357885,-0.393580139,-3.155455047,0.029193961
GLEAN_07475,GA13372,7.121392821,-0.393015316,-3.542838696,0.014008098
GLEAN_19212,GA21652,9.075311828,-0.392579343,-4.787654673,0.001188631
GLEAN_00710,GA27521,6.77854635,-0.391785186,-4.062062108,0.0052351
GLEAN_16112,GA15715,7.637519501,-0.389431738,-3.272588379,0.023766631
GLEAN_10398,GA28847,10.09079672,-0.388948245,-4.20268776,0.003891062
GLEAN_07004,GA14997,7.766844065,-0.386698149,-3.277743825,0.023513901
GLEAN_18903,GA15758,8.757917119,-0.385322828,-4.485227725,0.002234252
GLEAN_18611,GA20931,12.8432666,-0.385273385,-7.447928212,3.20E-06
GLEAN_04999,GA18138,8.76288805,-0.385105519,-3.644656124,0.01151235
GLEAN_18153,GA21392,7.338549269,-0.38389055,-3.729991296,0.009715936
GLEAN_09852,GA12030,6.668050189,-0.38182419,-6.137546522,5.92E-05
GLEAN_19510,GA12688,7.395403603,-0.381765572,-4.944418828,0.000845493
GLEAN_02504,GA12062,8.631599665,-0.380760507,-3.348230764,0.020455283
GLEAN_18799,GA21049,6.371437576,-0.380129,-3.385547868,0.019056603
GLEAN_19684,GA25438,12.27692118,-0.379619864,-4.761833652,0.001236114
GLEAN_00992,GA14121,10.57370756,-0.373669097,-6.648277351,1.84E-05
GLEAN_17343,GA12366,8.499892758,-0.373195694,-3.853059816,0.007739933
GLEAN_14803,GA23590,8.052083294,-0.37310812,-4.617424782,0.001693781
GLEAN_18126,GA24805,14.2333365,-0.373000558,-3.597963945,0.012666974
GLEAN_00545,GA26942,12.16567107,-0.372395559,-4.391063713,0.002693167
GLEAN_07824,GA27822,6.671042283,-0.371788533,-6.013668736,7.71E-05
GLEAN_18961,GA18234,9.952065724,-0.371198029,-4.330158968,0.003056571
GLEAN_08907,GA12764,8.818040587,-0.370368251,-3.205896686,0.026753706
GLEAN_09295,GA28421,8.673125043,-0.370062292,-3.027506431,0.036498029
GLEAN_10330,GA28815,5.997523948,-0.369768642,-5.768112199,0.000139101
GLEAN_05686,GA27062,6.716600937,-0.36908547,-4.416896627,0.002560521
GLEAN_02282,GA14714,14.23523128,-0.36840515,-4.016532394,0.005709701
GLEAN_13138,GA22916,9.051541396,-0.366164854,-2.939411964,0.042893372
GLEAN_15972,GA29093,6.506581125,-0.365559873,-4.516887866,0.002093855
GLEAN_19324,GA25267,5.280482644,-0.36318765,-3.284511204,0.02322136
GLEAN_16435,GA21182,10.21046489,-0.362673399,-3.016746389,0.037197016
GLEAN_01089,GA21769,9.513573136,-0.362133827,-3.254343467,0.024565303
GLEAN_15025,GA18792,10.41319939,-0.36114452,-5.318142648,0.000368937
GLEAN_17317,GA15449,8.571784619,-0.36039478,-3.031146065,0.036301066
GLEAN_08065,GA27934,6.105402163,-0.359714197,-4.508676844,0.002127209
GLEAN_06934,GA11314,11.87402125,-0.359626522,-3.483865853,0.015601137
GLEAN_11471,GA18215,7.179437183,-0.359326378,-2.861508787,0.049381586
GLEAN_15648,GA20253,11.27844414,-0.359006845,-3.185892065,0.027603831
GLEAN_08859,GA28238,5.533907125,-0.357116726,-3.786144565,0.008775154
GLEAN_07770,GA27802,6.177127596,-0.355877822,-4.557405592,0.001938025
GLEAN_18769,GA11563,11.67163866,-0.35581298,-3.109816326,0.031780129
GLEAN_17391,GA24546,10.56064394,-0.355412328,-3.743663706,0.009487194
GLEAN_01183,GA17827,12.17523619,-0.354208875,-3.605533612,0.01247628
GLEAN_11117,GA29158,7.650771119,-0.353054923,-3.842283827,0.007877054
GLEAN_08831,GA28223,9.175909946,-0.352083768,-3.832270531,0.008008321
GLEAN_11058,GA29132,11.84096634,-0.351855853,-4.100570371,0.00483038
GLEAN_12389,GA22547,5.518032241,-0.351788185,-3.269154343,0.023913161
GLEAN_01894,GA18646,10.21433596,-0.350635883,-2.885892098,0.047285667
GLEAN_03523,GA16219,9.404199295,-0.35023399,-3.034620298,0.036131261
GLEAN_18314,GA17454,7.539322482,-0.349512403,-3.208375612,0.026702605
GLEAN_09452,GA28496,8.683935975,-0.349359727,-3.297436881,0.02260867
GLEAN_08544,GA22869,6.965995275,-0.34884136,-3.166267421,0.028542093
GLEAN_11923,GA12352,13.20299406,-0.34804342,-5.18278464,0.000498778
GLEAN_03553,GA26267,7.923871458,-0.347942613,-3.035189677,0.036109155
GLEAN_04997,GA10132,6.346487906,-0.347932585,-4.002368237,0.005890266
GLEAN_01296,GA13743,9.834825031,-0.34475735,-4.185376854,0.004013678
GLEAN_02882,GA19654,8.161404522,-0.344373824,-3.097455543,0.03255053
GLEAN_07106,GA10971,6.96852291,-0.344294332,-3.932121379,0.006698919
GLEAN_16336,GA19153,8.719500026,-0.343421813,-3.212204991,0.026540403
GLEAN_14390,GA19713,5.679481845,-0.343118153,-4.837453879,0.001073467
GLEAN_05273,GA13776,6.888718132,-0.342862598,-3.235178238,0.025363447
GLEAN_04828,GA19038,7.243768333,-0.341186389,-5.546291444,0.000226318
GLEAN_12383,GA22545,6.138683343,-0.340691361,-5.519879896,0.000237785
GLEAN_07269,GA27640,7.167777427,-0.340637442,-3.397470278,0.018649002
GLEAN_09658,GA16604,8.431627667,-0.340470291,-3.01969231,0.036970244
GLEAN_14775,GA23582,7.386329986,-0.338476029,-4.141940104,0.00440911
GLEAN_10442,GA17213,9.128461715,-0.337683921,-3.985953118,0.006088625
GLEAN_00628,GA13300,9.445716033,-0.335900119,-4.513978116,0.002103969
GLEAN_19645,GA13622,6.117705901,-0.335365573,-4.091186694,0.004931696
GLEAN_16741,GA24325,10.08860588,-0.334898115,-3.029012676,0.036461205
GLEAN_05250,GA26920,5.951733358,-0.33475396,-4.101466094,0.004824094
GLEAN_00206,GA25650,7.443657824,-0.334509135,-3.095291517,0.032648962
GLEAN_06207,GA14120,8.882511622,-0.334436107,-4.113320732,0.004709817
GLEAN_05202,GA20030,11.24795131,-0.334139074,-3.486646305,0.015536277
GLEAN_02205,GA20213,13.11697465,-0.333059852,-4.508237614,0.002127209
GLEAN_18452,GA13101,7.461643503,-0.332455691,-3.187957405,0.027499768
GLEAN_12905,GA22801,10.10949653,-0.332426179,-3.0702896,0.033975452
GLEAN_19246,GA18219,8.943767021,-0.331717977,-3.53348738,0.014255085
GLEAN_06826,GA16020,9.596669858,-0.331067672,-3.226666044,0.025824052
GLEAN_10391,GA19832,12.88169079,-0.331044171,-4.883453167,0.000969736
GLEAN_02698,GA20908,8.72673072,-0.330919652,-3.381862347,0.019183988
GLEAN_04024,GA15229,7.714958547,-0.330773993,-4.022712249,0.005640849
GLEAN_04511,GA21919,10.39163063,-0.329827783,-2.864747161,0.049106831
GLEAN_01928,GA16451,6.421894136,-0.329659432,-4.435601537,0.002452745
GLEAN_00055,GA26477,6.233840224,-0.326541035,-3.589018683,0.012864825
GLEAN_05169,GA26888,7.225538796,-0.325807953,-3.396391162,0.018669205
GLEAN_10408,GA28852,8.946665197,-0.325711196,-2.972973137,0.040272238
GLEAN_03852,GA26383,7.0014829,-0.324695271,-3.684045538,0.010740815
GLEAN_04868,GA14523,6.15616298,-0.324627632,-3.150192788,0.029431009
GLEAN_09832,GA12154,8.297933976,-0.324003545,-3.088552585,0.032865518
GLEAN_08642,GA28155,5.614158883,-0.322683046,-3.829689354,0.00805937
GLEAN_16536,GA20876,8.565887419,-0.321781959,-3.762840646,0.009144528
GLEAN_04442,GA11130,6.84358138,-0.321660335,-3.318367702,0.021708988
GLEAN_03682,GA26331,12.5256995,-0.319288875,-4.749941594,0.001271446
GLEAN_13543,GA23111,6.457537185,-0.318904689,-4.899584881,0.000931304
GLEAN_17716,GA15751,8.561899808,-0.3186876,-3.049673312,0.035270642
GLEAN_18039,GA24777,9.927163972,-0.317379112,-3.40278059,0.01845638
GLEAN_11440,GA29296,8.187687458,-0.315484401,-3.399815586,0.018568137
GLEAN_15974,GA24050,5.842114236,-0.315269978,-5.201551479,0.000478355
GLEAN_07465,GA27717,10.67241521,-0.313561602,-4.476742956,0.002263256
GLEAN_04794,GA19455,7.461517031,-0.311187545,-3.235261426,0.025363447
GLEAN_03038,GA18271,8.065504331,-0.310985516,-3.023651649,0.036771221
GLEAN_18438,GA14540,7.245771461,-0.310097612,-3.672484385,0.010989614
GLEAN_02631,GA15377,11.46738313,-0.310011141,-3.203040453,0.02683245
GLEAN_13495,GA23085,7.581430181,-0.309635972,-3.199253708,0.026947487
GLEAN_17786,GA21822,11.15947455,-0.308674076,-3.885607074,0.007288177
GLEAN_17861,GA24713,12.85544248,-0.308264385,-2.92537122,0.044130876
GLEAN_05412,GA26969,11.46925391,-0.307760533,-3.370797609,0.019530696
GLEAN_04390,GA26574,7.069476399,-0.307739782,-3.20900303,0.026673626
GLEAN_05127,GA16089,10.58282402,-0.306650512,-3.368235835,0.019591412
GLEAN_06640,GA27424,8.924448676,-0.305834435,-4.965398859,0.000804968
GLEAN_13200,GA14032,11.79201833,-0.305633841,-3.086994739,0.032894498
GLEAN_06656,GA18365,12.45428454,-0.304078758,-4.782461131,0.001190856
GLEAN_03002,GA17377,7.486259916,-0.303729381,-3.431504626,0.017372007
GLEAN_19436,GA25317,5.435848828,-0.301914038,-3.207461504,0.026733777
GLEAN_03894,GA15008,8.156242285,-0.30186499,-3.032271606,0.036225375
GLEAN_17250,GA24502,5.957877509,-0.300839862,-3.453481955,0.016635184
GLEAN_08762,GA17812,10.20201274,-0.299821259,-4.239718963,0.00361914
GLEAN_15969,GA24048,7.264779207,-0.299309647,-4.228773971,0.003677934
GLEAN_08002,GA22455,5.946490779,-0.298604999,-3.131433478,0.03051167
GLEAN_18994,GA25128,6.108562937,-0.293462364,-3.508040529,0.014930938
GLEAN_19190,GA25196,7.475611686,-0.293341506,-3.230589497,0.025615532
GLEAN_12289,GA15125,7.251630734,-0.292236756,-4.242505531,0.003605509
GLEAN_16729,GA18906,7.55374729,-0.291905397,-3.686883335,0.010683519
GLEAN_04690,GA26704,9.677879309,-0.291813235,-4.016478846,0.005709701
GLEAN_06767,GA16297,9.173117495,-0.291329505,-3.428803823,0.017464332
GLEAN_18043,GA17460,6.065704285,-0.291237856,-4.193021065,0.003969185
GLEAN_18320,GA15840,11.2870726,-0.290683141,-2.921287638,0.044472243
GLEAN_03308,GA20192,8.082978316,-0.290275442,-3.36924351,0.019576853
GLEAN_08697,GA28182,7.285040938,-0.289385035,-4.386282287,0.002717607
GLEAN_04713,GA19308,10.67634225,-0.287404191,-3.668501878,0.011046135
GLEAN_03418,GA15564,7.874274605,-0.286716212,-3.314536785,0.021850738
GLEAN_13483,GA11138,10.29334078,-0.286448491,-3.881731532,0.007341034
GLEAN_15594,GA23874,6.166012207,-0.284929307,-3.671330128,0.010996421
GLEAN_06135,GA19517,7.463564615,-0.284523126,-3.217211556,0.026282689
GLEAN_06729,GA12765,6.940555685,-0.284384923,-2.907830065,0.04569414
GLEAN_06109,GA18833,10.65297836,-0.283575462,-3.161355389,0.028843536
GLEAN_16631,GA17570,6.963019896,-0.283351395,-3.929919564,0.00672649
GLEAN_06834,GA15069,5.915858498,-0.282486912,-3.155432747,0.029193961
GLEAN_07119,GA27589,7.354978628,-0.282402778,-3.024920447,0.036668171
GLEAN_14192,GA14131,5.642391652,-0.280657433,-3.554851331,0.013661576
GLEAN_17776,GA13876,9.570789709,-0.280035502,-2.879304258,0.04784993
GLEAN_19339,GA10098,7.507576433,-0.279797555,-3.037262219,0.03604954
GLEAN_10706,GA10664,13.36487825,-0.279667052,-4.784558905,0.001190856
GLEAN_17719,GA24664,10.63168144,-0.279343448,-4.268820086,0.003433601
GLEAN_14600,GA12641,8.717950687,-0.279207454,-3.066502477,0.034189805
GLEAN_19145,GA21648,6.621886371,-0.277977407,-3.444129509,0.016911117
GLEAN_09943,GA22211,5.90232855,-0.277591261,-3.051627236,0.035164423
GLEAN_11916,GA19718,9.067980787,-0.277143899,-4.256060859,0.003521939
GLEAN_16765,GA10260,9.546759406,-0.276284493,-3.486287443,0.015536277
GLEAN_03535,GA13206,13.73594557,-0.276088365,-2.880743089,0.047696116
GLEAN_09767,GA12747,7.263780113,-0.275556983,-3.020323099,0.036970244
GLEAN_04881,GA18944,7.2518471,-0.274738869,-3.563753027,0.013430048
GLEAN_08112,GA27955,5.204913994,-0.274465404,-3.279987972,0.023416099
GLEAN_10277,GA16505,6.28563918,-0.274324096,-3.927651804,0.006748303
GLEAN_05360,GA26953,7.0479195,-0.274280776,-3.005651579,0.037935895
GLEAN_12961,GA22832,7.935213568,-0.27333683,-3.193834781,0.027197553
GLEAN_19820,GA24016,6.317410562,-0.272656133,-3.218803526,0.026262998
GLEAN_09117,GA21472,10.44250601,-0.272641278,-3.142244657,0.029897949
GLEAN_10923,GA20925,7.41434097,-0.271604751,-3.217354795,0.026282689
GLEAN_00196,GA25213,16.91280953,-0.271571034,-3.001903227,0.038252774
GLEAN_02754,GA25964,11.85250009,-0.271514042,-4.143869568,0.00439029
GLEAN_01944,GA18050,13.29756424,-0.270619302,-4.86801487,0.001005078
GLEAN_19016,GA20907,5.575848966,-0.270309824,-3.001731558,0.038252774
GLEAN_05654,GA13311,6.453357642,-0.269797448,-3.68458752,0.010733861
GLEAN_05207,GA26900,11.57149818,-0.269697212,-2.969524127,0.040516415
GLEAN_17377,GA15003,7.657649215,-0.269503049,-3.02973178,0.036411181
GLEAN_00133,GA20292,6.726264685,-0.26931686,-3.92719597,0.006748303
GLEAN_14236,GA23378,5.35618261,-0.26810349,-3.375782637,0.019386482
GLEAN_05697,GA14330,7.297151194,-0.267118918,-3.117843718,0.031267709
GLEAN_10413,GA10659,8.05708908,-0.267054075,-4.230803909,0.003671958
GLEAN_00682,GA12846,6.142791274,-0.266470328,-3.97315061,0.006222311
GLEAN_03278,GA11237,11.2065206,-0.265914233,-2.925215581,0.044130876
GLEAN_06705,GA22065,12.59373912,-0.265632846,-3.796412001,0.008594546
GLEAN_11285,GA29236,6.859085478,-0.265570354,-3.086756492,0.03289777
GLEAN_03400,GA26197,6.443291846,-0.264774616,-4.085195716,0.005005205
GLEAN_00980,GA28746,5.879530405,-0.263765695,-4.694337612,0.001427949
GLEAN_07143,GA29195,7.720019012,-0.262886992,-4.001160253,0.005899596
GLEAN_14589,GA20333,12.82072156,-0.262882698,-3.889401635,0.007234927
GLEAN_16728,GA10895,7.327015556,-0.2625387,-2.983669931,0.03953268
GLEAN_01102,GA12261,6.673234745,-0.262110556,-2.938731532,0.042938374
GLEAN_10677,GA15506,10.13713998,-0.261961144,-4.821459715,0.001106455
GLEAN_10753,GA29006,12.67113065,-0.261646543,-5.098203953,0.000605976
GLEAN_12811,GA22746,8.568797569,-0.261205109,-2.989069241,0.039132842
GLEAN_14594,GA23519,7.607700738,-0.2611167,-3.544755177,0.013944548
GLEAN_03793,GA18345,12.27972071,-0.261069694,-3.840295861,0.007884889
GLEAN_01957,GA14598,14.12538332,-0.26043838,-3.033520382,0.036183086
GLEAN_04721,GA19309,12.12120875,-0.259751134,-3.005576381,0.037935895
GLEAN_14588,GA12769,5.323691584,-0.259603605,-3.83487819,0.007964039
GLEAN_18095,GA21122,5.825437073,-0.258091154,-3.172705842,0.02825852
GLEAN_13675,GA23169,5.853208137,-0.257723297,-2.864186752,0.049133351
GLEAN_16033,GA18739,12.92643586,-0.257640469,-3.371153337,0.019527428
GLEAN_10754,GA29007,12.58253182,-0.257125974,-2.894181955,0.046652222
GLEAN_09640,GA12611,12.20917542,-0.256215447,-3.08961611,0.032844967
