ID,logFC,AveExpr,t,P.Value,adj.P.Val,Symbol,Chromosome,GenBank,Gene
1636484_at,0.140391095,9.554619187,3.736273114,0.001298415,0.021126909,RNaseX25,3L,CG8194-RA,38885
1637576_s_at,-0.096523513,9.14468497,-3.736078145,0.001299006,0.021126909,CG8839,2R,CG8839-RA,36340
1632545_s_at,0.479904946,7.878579405,3.732352449,0.001310344,0.021282388,CG5522,2R,CG5522-RA,36881
1633331_at,0.127467039,10.96666083,3.731826995,0.001311951,0.021282388,dom,2R,CG9696-RE,45655
1623893_at,0.201355234,3.138311967,3.730989469,0.001314517,0.021288829,CG13784,2L,CG13784-RB,34003
1625658_at,0.105454962,9.047895146,3.730417432,0.001316272,0.021288829,CG5181,2L,CG5181-RA,34018
1636141_s_at,-0.143324636,8.129971265,-3.729972192,0.001317639,0.021288829,gro,3R,CG8384-RB,43162
1634881_at,0.103268684,9.482008885,3.72936106,0.001319519,0.021288829,l(2)NC136,2R,CG8426-RA,35501
1634757_a_at,0.11812192,13.04271683,3.728940104,0.001320815,0.021288829,Oda,2R,CG16747-RA,36307
1633719_at,-0.253091935,4.093990851,-3.723519911,0.001337618,0.021520715,Ugt86Dg,3R,CG17200-RA,53504
1624001_at,-0.120446553,4.541179754,-3.723196984,0.001338625,0.021520715,sbb,2R,HDC07119,44027
1638873_at,0.220977597,7.782604544,3.720999825,0.001345502,0.021603641,CG6175,3L,CG6175-RB,39271
1627682_at,-0.243948359,6.983649231,-3.717475047,0.001356607,0.021722783,CG14949,3L,CG14949-RA,38328
1634468_at,-0.230873584,9.59722228,-3.717136862,0.001357677,0.021722783,CG13397,2L,CG13397-RA,46386
1637682_at,0.106359047,8.931535844,3.717001407,0.001358106,0.021722783,Traf6,X,CG10961-RA,31746
1628621_at,-0.132786625,9.705207158,-3.713755507,0.001368424,0.021860004,mRpS18C,3R,CG9688-RA,43609
1637272_at,0.145477372,5.185662514,3.712147975,0.001373562,0.021901455,Obp58c,2R,CG13524-RA,37608
1630342_s_at,0.162027647,7.785140661,3.711854423,0.001374503,0.021901455,CG3631,3R,CG3631-RA,41797
1628991_at,-0.08944747,10.43641907,-3.710378125,0.001379242,0.02194915,colt,2L,CG3057-RA,33470
1628468_at,-0.194257118,5.859197293,-3.70952448,0.00138199,0.021965073,CG8738,2R,CG8738-RA,35855
1635585_at,-0.149260442,5.54184264,-3.708964792,0.001383794,0.021965983,tadr,2L,CG9264-RB,35370
1640978_at,-0.432775916,7.588513368,-3.707715959,0.001387829,0.021987623,CG14567,3L,CG14567-RA,40420
1639364_at,0.268550439,8.555047919,3.707460628,0.001388655,0.021987623,Jon44E,2R,CG8579-RA,35853
1633534_s_at,0.199423459,7.70743672,3.705885788,0.001393763,0.022040736,mura,3R,CG9381-RA,41145
1628494_a_at,-0.137970488,10.62574596,-3.701494596,0.001408103,0.022217239,Picot,2R,CG8098-RA,36865
1633532_at,-0.235349938,8.938556322,-3.701386322,0.001408458,0.022217239,CG5767,2R,CG5767-RA,37055
1637221_at,-0.106185555,8.463693199,-3.700657086,0.001410855,0.022227148,CG5705,2L,CG5705-RA,34720
1630823_at,-0.10777196,8.807362326,-3.698523564,0.001417888,0.022310001,CG32210,3L,CG32210-RA,40127
1627779_at,-0.12102541,8.208991752,-3.69798165,0.00141968,0.022310276,CG13295,3L,CG13295-RA,38692
1639045_at,-0.178713518,7.412907772,-3.696784985,0.001423645,0.022344658,mthl5,3R,CG6965-RA,41438
1641267_at,0.097529583,9.159225131,3.695444533,0.0014281,0.022366362,r,X,CG18572-RA,32640
1633814_at,-0.14662996,7.342612307,-3.695298458,0.001428586,0.022366362,CG3842,X,CG3842-RA,31576
1629306_at,0.106491197,10.11885531,3.692554046,0.001437753,0.02248188,X11L,X,CG5675-RA,252671
1632877_a_at,0.106211217,6.808394312,3.687791285,0.0014538,0.022704558,CG2906,2R,CG2906-RB,35753
1629180_at,-0.092640075,8.849777661,-3.684583384,0.001464707,0.022846527,O-fut2,X,CG14789-RA,31098
1629776_a_at,-0.20518938,7.989004232,-3.682205356,0.001472846,0.022944999,CG6643,3R,CG6643-RA,42929
1634514_at,0.147871804,9.170690623,3.675884732,0.001494694,0.023236613,CG33258,3L,CR33258-RA,3885664
1624275_at,0.117178452,7.656182515,3.675722087,0.001495261,0.023236613,sktl,2R,CG9985-RA,37356
1623536_s_at,0.123329396,9.257242067,3.674239632,0.001500434,0.023288211,CG11347,3L,CG11347-RD,38543
1627945_at,-0.115341881,8.610820086,-3.673352555,0.001503537,0.023307609,Fdxh,3L,CG4205-RA,39070
1624909_at,0.129743944,4.665580314,3.6721008,0.001507928,0.023346882,CG32778,X,CG32778-RA,31353
1638742_at,0.169267744,4.007901269,3.668056496,0.0015222,0.023489824,Cpr67Fb,3L,CG18348-RA,39225
1624189_at,0.153889687,9.2305125,3.668036951,0.001522269,0.023489824,CG12236,X,CG12236-RB,31523
1632160_s_at,-0.15577628,7.37642381,-3.667897017,0.001522765,0.023489824,CG15279,2L,CG15279-RB,34863
1638988_at,-0.157965775,3.521984925,-3.666233647,0.001528676,0.023552104,CG12914,2R,CG12914-RA,36078
1625421_at,0.105540786,9.353824036,3.66487979,0.001533504,0.023597566,CG30377,2R,CG30377-RA,50252
1635470_at,-0.129626686,7.180688974,-3.663421339,0.001538721,0.023607927,GNBP3,3L,CG5008-RA,39020
1636431_at,0.161346749,8.737085162,3.663221129,0.001539439,0.023607927,CG8768,2R,CG8768-RA,36400
1640465_at,0.246002215,7.238947575,3.663117482,0.001539811,0.023607927,CG17124,2L,CG17124-RB,34485
1625314_at,0.333214383,8.573077588,3.660911026,0.001547743,0.023700642,CG2022,3R,CG2022-RA,40615
1630995_at,0.168774968,10.1799055,3.659343538,0.001553403,0.023753571,chif,2L,CG5813-RB,34974
1632453_at,-0.166580859,10.75830951,-3.658908218,0.001554978,0.023753571,eloF,3R,CG16905-RA,41211
1630398_at,-0.14600635,10.42218578,-3.657444044,0.001560289,0.023805769,CG6746,2L,CG6746-RA,34614
1624984_at,-0.153057375,7.5897881,-3.652108014,0.001579795,0.024074165,CG8021,3R,CG8021-RA,41021
1626600_at,-0.182063116,9.088620424,-3.64826087,0.001594008,0.024254454,CG30016,2R,CG30016-RA,246393
1627632_at,0.159700444,7.300678576,3.647863147,0.001595485,0.024254454,CG17777,X,CG17777-RA,50374
1633613_at,-0.119374434,11.16351085,-3.646086668,0.001602096,0.02432555,CG2765,2R,CG2765-RA,37994
1636134_at,0.164013922,4.879134113,3.643699536,0.001611023,0.024431588,Or83b,3R,CG10609-RA,40650
1624717_s_at,-0.136522685,7.912139039,-3.642865649,0.001614153,0.024449563,CG32647,X,CG32647-RB,326226
1631228_a_at,0.167016906,7.243192977,3.641965569,0.001617539,0.024471356,sPLA2,2R,CG11124-RA,35665
1632335_at,-0.082365606,13.69123499,-3.640905168,0.001621536,0.024502343,RpL27,3R,CG4759-RA,43103
1626099_s_at,0.117595753,10.71987483,3.636041481,0.001639995,0.024735636,fray,3R,CG7693-RA,44233
1631588_at,0.099944433,10.354552,3.635801864,0.00164091,0.024735636,Pgd,X,CG3724-RA,31185
1640918_at,-0.164535322,8.782332578,-3.635210318,0.00164317,0.024740047,ome,3L,CG32145-RA,44297
1625660_at,-0.141628688,5.06868561,-3.633649869,0.001649148,0.024800348,CG4151,X,CG4151-RA,31465
1623602_a_at,0.170733666,7.822362449,3.631919916,0.0016558,0.024870636,Ptp69D,3L,CG10975-RA,39443
1635298_at,-0.153574421,5.569745353,-3.629971278,0.001663325,0.024953848,CG13458,3L,CG13458-RA,39646
1635724_at,-0.148204242,11.63768324,-3.628417968,0.001669348,0.024985023,CG14292,3R,CG14292-RA,42264
1633308_at,-0.204648371,8.869743628,-3.628371458,0.001669528,0.024985023,CG6660,3R,CG6660-RA,42708
1638259_s_at,-0.137010924,9.511796206,-3.62789883,0.001671365,0.024985023,Aats-val,2R,CG4062-RB,45783
1638621_at,-0.144452762,8.451449519,-3.625888643,0.0016792,0.025044374,CG31648,2L,CG31648-RA,33776
1625398_at,-0.420211294,8.287175346,-3.625072649,0.001682391,0.025044374,Fcp26Ac,2L,CG13997-RA,33828
1635035_at,0.148797932,7.87794609,3.624810947,0.001683416,0.025044374,CG9384,3L,CG9384-RA,39608
1639644_at,-0.130158906,9.990163739,-3.62452277,0.001684545,0.025044374,Aats-ala,2L,CG13391-RA,34156
1625686_s_at,-0.164459776,9.193824482,-3.623836736,0.001687236,0.025044374,su(r),X,CG2194-RB,31858
1634054_at,-0.184140337,7.57368825,-3.623823423,0.001687288,0.025044374,ninaC,2L,CG5125-RB,34012
1624377_s_at,0.353273859,5.196711128,3.623098523,0.001690136,0.025045047,CG32594,X,TRANSPOSON,32430
1633709_at,-0.452365835,5.04582612,-3.622798071,0.001691318,0.025045047,CG2772,2L,CG2772-RA,33559
1624931_at,0.162891846,11.70868531,3.621618501,0.001695965,0.02508432,cib,X,CG4944-RB,31359
1634186_a_at,-0.209795373,8.045389159,-3.621102124,0.001698003,0.025084959,CG17119,3R,CG17119-RA,42723
1628867_s_at,-0.143136107,8.015980436,-3.618652695,0.001707706,0.025198685,CG42390,3R,CG5740-RA,42600
1636315_at,0.210337744,6.312473842,3.615985235,0.001718334,0.025289936,CG1360,2R,CG1360-RA,35695
1641290_at,0.17155776,4.462155201,3.615693006,0.001719503,0.025289936,CG11384,X,CG11384-RA,31061
1631231_at,-0.185171595,8.273215248,-3.615587473,0.001719925,0.025289936,fz,3L,CG17697-RA,45307
1634096_at,-0.134679462,12.59494602,-3.614828147,0.001722965,0.025305043,Aldh,2L,CG3752-RA,34256
1637367_at,0.178934343,9.224463745,3.61270018,0.001731513,0.025400918,CG10799,2R,CG10799-RA,36472
1634683_at,0.158889096,10.30609615,3.611579096,0.001736034,0.025409648,Mad,2L,CG12399-RA,33529
1629188_at,-0.107882955,11.22213207,-3.611550127,0.001736151,0.025409648,CG12304,3L,CG12304-RA,39690
1625238_at,-0.130187634,4.74355803,-3.608567911,0.001748233,0.02555673,CG12003,3L,CG12003-RA,38183
1629367_at,-0.241681016,6.833265345,-3.60154997,0.001776995,0.025947015,CG15534,3R,CG15534-RA,43613
1640549_at,0.097952945,11.67318419,3.597851991,0.001792338,0.026140686,Tal,2R,CG2827-RA,37804
1640052_at,0.193612995,7.592963852,3.596917163,0.001796237,0.02615879,CG15434,2L,CG15434-RA,50178
1624580_at,0.123341063,8.136925966,3.596557251,0.001797741,0.02615879,CG9362,3R,CG9362-RA,41132
1626170_at,-0.090977116,10.47758041,-3.595272847,0.001803116,0.026206676,CG18445,2R,CG18445-RA,36045
1633707_at,-0.134070503,7.419329856,-3.593769087,0.00180943,0.026268073,CG12824,2R,CG12824-RA,35727
1635846_a_at,0.132964605,11.42831877,3.592975918,0.001812769,0.026286192,orb,3R,CG10868-RA,42752
1640190_at,-0.1182785,9.798112684,-3.592440397,0.001815027,0.026288611,Sac1,3L,CG9128-RA,38137
1633797_at,-0.173465341,8.172913555,-3.591844869,0.001817541,0.026294731,Rh2,3R,CG16740-RA,42261
