ID,logFC,AveExpr,t,P.Value,adj.P.Val,Symbol,Chromosome,GenBank,Gene
1633827_at,-0.116045195,4.947330236,-3.463621713,0.002447046,0.032315403,CG14327,3R,CG14327-RA,42118
1631594_s_at,0.086410262,9.592565429,3.460313459,0.00246585,0.032529553,Pi3K92E,3R,CG4141-RA,42446
1634918_a_at,-0.084298522,13.0932917,-3.457790219,0.002480287,0.032681955,CG32276,3L,CG32276-RA,251645
1636896_a_at,0.130105986,9.496264071,3.45738703,0.002482602,0.032681955,CG12576,X,CG12576-RA,33135
1635283_at,-0.126134789,9.347556411,-3.453243964,0.002506509,0.032934926,nimB2,2L,CG31839-RA,260645
1625199_s_at,0.151426485,10.70853253,3.453149443,0.002507057,0.032934926,dap,2R,CG1772-RA,36001
1639170_at,-0.546251251,5.6120244,-3.451315202,0.002517716,0.033040427,Cyp4d21,2L,CG6730-RA,34036
1629007_at,-0.108610222,10.11106377,-3.449213652,0.002529983,0.033166788,CG8952,X,CG8952-RA,32525
1624092_at,-0.213028232,11.85805926,-3.448410225,0.002534688,0.033193858,Jon99Ci,3R,CG31039-RA,43545
1637008_at,-0.133672676,9.303666446,-3.443372937,0.002564386,0.033535607,CG14687,3R,CG14687-RA,41297
1635593_at,-0.124701983,7.439099318,-3.443080602,0.002566119,0.033535607,Cyp6d2,2R,CG4373-RA,37594
1626081_at,-0.177357883,5.816225749,-3.440971957,0.00257866,0.033664506,CG8837,2L,CG8837-RA,33545
1633826_at,-0.167144289,9.609803863,-3.437008407,0.002602397,0.033939138,Iris,2L,CG4715-RA,33290
1639954_at,-0.115121651,9.420895173,-3.436077017,0.002608005,0.033977039,CG6094,2L,CG6094-RA,34446
1631680_a_at,-0.141057521,3.60749047,-3.434796196,0.002615738,0.0340206,CG42367,2L,CG31878-RB,318998
1637492_at,-0.155463756,12.51663234,-3.43462697,0.002616761,0.0340206,epsilonTry,2R,CG18681-RA,49080
1632494_at,0.207918849,6.264535036,3.434016404,0.002620456,0.034033448,Grip163,3L,CG5688-RA,39365
1625233_at,0.131506502,8.585826791,3.430358906,0.0026427,0.03425385,Pi3K68D,3L,CG11621-RB,39329
1633446_s_at,0.145426088,9.729852049,3.430330198,0.002642876,0.03425385,CG6981,3L,CG6981-RB,40207
1633405_s_at,-0.196530884,6.360054679,-3.429475814,0.002648099,0.0342862,CG4288,3R,CG4288-RB,42426
1633687_at,0.120392106,5.302317015,3.426960993,0.002663532,0.034450539,CG13611,3R,CG13611-RA,42892
1635743_at,0.121978068,9.08749533,3.426132499,0.002668636,0.034481075,Vang,2R,CG8075-RA,35922
1640240_s_at,0.126315163,10.12376327,3.422903756,0.002688617,0.034674265,CG4165,X,CG4165-RD,31458
1629425_at,-0.135533226,4.234932096,-3.422825404,0.002689103,0.034674265,CG13157,2R,CG13157-RA,36355
1626256_at,-0.117224491,4.675542002,-3.421853446,0.002695148,0.034716602,CG13836,3R,CG13836-RA,42741
1631446_at,-0.274466902,7.768118161,-3.418042741,0.002718977,0.034987691,Cht9,2R,CG10531-RA,37392
1626249_s_at,0.182570359,10.74980022,3.416973346,0.002725701,0.035007815,CycE,2L,CG3938-RE,34924
1624185_at,-0.114199239,8.649853807,-3.416908377,0.00272611,0.035007815,CG1041,3R,CG1041-RA,40787
1641037_at,-0.205712888,6.489529727,-3.416289111,0.002730011,0.035022147,CG32702,X,CG32702-RA,326235
1632345_at,-0.208160193,7.57977408,-3.415034901,0.002737931,0.035087934,CG8353,2L,CG8353-RA,34123
1635939_a_at,0.184484503,9.707062953,3.413960567,0.002744732,0.035139276,CG9641,2L,CG9641-RA,33502
1623947_at,0.153664999,3.046944037,3.40844978,0.002779881,0.035553063,Gr58c,2R,CG13491-RA,37501
1637180_at,-0.134398289,7.099272478,-3.407554634,0.002785632,0.035590408,CG17977,2R,CG17977-RA,50251
1625825_at,-0.147697046,10.83682888,-3.406643173,0.002791499,0.035629169,BM-40-SPARC,3R,CG6378-RA,43230
1627627_at,-0.106181966,8.458314427,-3.405097731,0.002801476,0.035720245,CG10466,2L,CG10466-RA,35268
1626575_at,0.081259277,8.434997005,3.401942754,0.002821953,0.035944873,CG1657,X,CG1657-RA,32070
1637255_a_at,-0.128316984,9.589660992,-3.400320498,0.002832539,0.036012703,alpha-Est7,3R,CG1112-RA,40901
1629551_s_at,-0.174358934,6.668362339,-3.400248844,0.002833007,0.036012703,CG12268,3R,CG12268-RA,42833
1625817_at,-0.175992422,5.802121377,-3.399539065,0.002837652,0.036035308,CG14868,3R,CG14868-RA,41875
1627272_at,0.135498573,4.199567872,3.398073554,0.002847265,0.036110749,CG30380,2R,CG30380-RA,246579
1629859_s_at,0.105803411,9.460082375,3.397464747,0.002851268,0.036110749,vap,X,CG9209-RA,32569
1640318_at,0.156855092,9.572782613,3.397219255,0.002852884,0.036110749,dj-1beta,3R,CG1349-RA,43652
1626164_at,-0.119383674,6.007508095,-3.396885555,0.002855081,0.036110749,CG31380,3R,CG31380-RA,318701
1628937_s_at,0.159593735,10.51898529,3.394274257,0.002872337,0.036292478,rin,3R,CG9412-RA,47998
1633460_at,-0.311489833,5.221573936,-3.393387068,0.002878222,0.036330332,CG6034,3L,CG6034-RA,39974
1628729_at,0.254603912,6.415068434,3.386740452,0.002922694,0.036826992,vvl,3L,CG10037-RA,38752
1639306_s_at,0.135944333,9.575722848,3.386631621,0.002923428,0.036826992,hipk,3L,CG17090-RB,38070
1636231_at,-0.084280468,8.08483448,-3.385137568,0.00293352,0.036914445,CG3781,X,CG3781-RA,31560
1639230_at,-0.150976592,8.366601876,-3.384735236,0.002936243,0.036914445,v(2)k05816,2L,CG3524-RA,117361
1628814_s_at,0.089692217,12.07479679,3.382587062,0.002950826,0.037060719,CG9894,2L,CG9894-RB,33462
1630010_a_at,0.167610263,3.700496786,3.382133697,0.002953912,0.037062461,pnt,3R,CG17077-RB,42757
1631006_a_at,-0.095569193,9.140272702,-3.381550276,0.002957889,0.037075357,CG10171,3L,CG10171-RA,39501
1627245_s_at,0.123769202,10.18273533,3.378898383,0.002976032,0.037265611,CG5746,3R,CG5746-RB,42903
1639530_at,0.176455719,6.270632931,3.378196895,0.002980849,0.037288793,CG14528,3R,CG14528-RA,43410
1634767_at,-0.129473624,10.0625445,-3.375533245,0.002999211,0.037473214,CG6126,3R,CG6126-RA,41967
1628791_at,0.144915128,7.64041346,3.375194678,0.003001553,0.037473214,CG13933,3L,CG13933-RA,38227
1633649_s_at,-0.182077172,8.597482375,-3.373988498,0.003009911,0.037540277,trpl,2R,CG18345-RA,36003
1639421_at,-0.110692024,9.406707391,-3.372049057,0.003023397,0.037608778,eIF2B-alpha,3R,CG7883-RA,43549
1640975_at,0.226702303,5.069807734,3.371937074,0.003024178,0.037608778,Lcp65Ag2,3L,CG10534-RA,38702
1639391_at,-0.124652505,7.298949168,-3.371908397,0.003024378,0.037608778,CG17109,3R,CG17109-RA,42730
1639243_at,0.141372564,7.93371644,3.371404219,0.003027894,0.037615303,Spred,2R,CG10155-RA,36643
1635453_at,-0.177982284,12.76444542,-3.367170915,0.003057581,0.037946599,Bace,2L,CG13095-RA,34182
1627577_at,-0.127264061,11.3750458,-3.366509522,0.003062244,0.037966999,CG7409,3L,CG7409-RA,38870
1630593_at,-0.114680031,9.787622529,-3.363297404,0.003084994,0.038211371,NLaz,2L,CG33126-RA,33324
1630407_at,0.142241726,3.823226368,3.362403138,0.003091357,0.038252496,CG1724,X,CG1724-RA,33097
1631606_at,0.133077909,4.780511684,3.360161981,0.00310736,0.038412708,CG14285,3R,CG14285-RA,42281
1633906_at,-0.123436306,4.179150106,-3.359642898,0.003111078,0.038420891,CG6485,3L,CG6485-RA,39926
1639437_s_at,-0.112835944,6.125208533,-3.358836101,0.003116865,0.038423095,CG4945,2R,CG4945-RA,36850
1638974_at,-0.189224088,6.709721983,-3.358765994,0.003117369,0.038423095,CG14963,3L,CG14963-RA,38383
1626294_a_at,0.220479825,10.66032917,3.357482359,0.0031266,0.038464586,stai,2L,CG31641-RC,33863
1632392_s_at,-0.150370107,6.810222499,-3.357447085,0.003126854,0.038464586,Slob,2L,CG6772-RB,34039
1639992_at,-0.165371453,8.153114939,-3.355876227,0.003138188,0.038533663,CG33332,3R,CG3641-RA,2768669
1637402_at,0.093201932,8.294288402,3.355819332,0.003138599,0.038533663,CG32109,3L,CG32109-RA,39444
1624057_at,0.317668731,8.674862909,3.353824768,0.003153051,0.038670394,CG16713,2L,CG16713-RA,33591
1623971_at,-0.143826769,4.817926165,-3.353434186,0.003155888,0.038670394,CG9150,2L,CG9150-RA,33856
1634449_at,-0.149258943,7.883093532,-3.351646987,0.003168904,0.038790418,CG9459,3R,CG9459-RA,41213
1632418_s_at,0.13482942,10.72640063,3.35064514,0.003176223,0.038790418,pum,3R,CG9755-RA,41094
1639524_at,0.157466134,9.870767493,3.350413556,0.003177917,0.038790418,CG18604,2R,CG18604-RA,37154
1631721_at,0.125231491,7.144994131,3.350398786,0.003178025,0.038790418,CkIIalpha-i1,3L,CG6215-RA,39721
1625489_at,-0.155604495,3.432772013,-3.344433434,0.003221974,0.039288706,brp,2R,CG30337-RA,35977
1626839_s_at,0.095063082,11.29410653,3.34311878,0.003231739,0.039345565,blot,3L,CG3897-RD,39939
1624873_at,-0.139298573,9.537994774,-3.34296329,0.003232896,0.039345565,kar,3R,CG12286-RA,45883
1626452_at,-0.132909763,6.683396444,-3.341027642,0.003247332,0.039483032,CG2121,2R,CG2121-RA,35814
1628199_at,0.164973173,9.193393254,3.339687183,0.003257366,0.039566765,CG15345,X,CG15345-RA,50402
1631370_at,0.293877336,7.327411706,3.336303403,0.00328283,0.039837586,CG30026,2R,CG30026-RA,246399
1624207_at,-0.154971752,6.724069487,-3.335060705,0.003292231,0.039913137,btsz,3R,CG7343-RA,3346167
1633002_at,-0.115974836,9.129022912,-3.33273639,0.003309884,0.0400885,CG2196,3R,CG2196-RA,43742
1631931_s_at,0.089800289,10.16207857,3.332174156,0.003314168,0.040090373,Sdc,2R,CG10497-RC,37447
1638869_at,0.140304991,7.234447608,3.331879382,0.003316417,0.040090373,Cpr51A,2R,CG10112-RA,36613
1625367_at,0.206141535,8.18175634,3.328520836,0.003342138,0.04035975,trbd,3R,CG9448-RA,41179
1627994_at,-0.197588781,3.612558183,-3.328133049,0.003345121,0.04035975,CG33296,2L,CG33296-RA,2768941
1631203_at,0.133852768,4.782070438,3.326974517,0.003354047,0.040428643,CG6362,2R,CG6362-RA,37032
1623201_at,-0.106431954,6.288825443,-3.325413686,0.003366109,0.040514677,CG5783,2L,CG5783-RA,35088
1623166_at,0.157260511,3.918221275,3.324826783,0.003370655,0.040514677,CG6071,3L,CG6071-RA,39308
1629784_a_at,-0.20617185,6.340344389,-3.3248014,0.003370852,0.040514677,Myo28B1,2L,CG6976-RC,53515
1640566_at,0.166821613,6.733952061,3.321325762,0.003397902,0.040800782,Cyp4p2,2R,CG1944-RA,35946
1627867_at,0.108261774,4.283999848,3.320198184,0.003406723,0.040863584,CG12438,2L,CG12438-RA,34202
1625852_at,-0.124646566,3.776106055,-3.319591739,0.003411476,0.040863584,gogo,3L,CG32227-RA,40225
1640399_at,-0.166525626,7.342942807,-3.319412431,0.003412883,0.040863584,CG3775,X,CG3775-RA,32234
1631058_s_at,-0.132161165,12.24286921,-3.317821517,0.003425389,0.040937128,Mgstl,X,CG1742-RA,44110
1635325_a_at,0.181938926,6.354906417,3.317802614,0.003425538,0.040937128,Gap1,3L,CG6721-RA,39158
1631403_at,-0.155537184,4.931837864,-3.317023674,0.003431677,0.040941421,CG14445,X,CG14445-RA,31556
1634555_at,-0.082403867,8.874298232,-3.31629202,0.003437454,0.040941421,CG11033,3R,CG11033-RA,41090
1628320_at,-0.087089685,10.48636287,-3.316268082,0.003437643,0.040941421,CG9471,3R,CG9471-RA,41197
1640407_at,-0.164367706,9.887384534,-3.316106168,0.003438923,0.040941421,CG9897,2R,CG9897-RA,37651
1626278_at,-0.088997428,11.75900795,-3.314962271,0.003447978,0.041010382,CG6180,2L,CG6180-RA,34683
1641621_at,0.093849318,8.635137211,3.314363083,0.00345273,0.041028089,Atg5,X,CG1643-RA,31666
1640336_at,-0.153089334,3.379245842,-3.313799192,0.003457208,0.041042509,CG11656,3R,CG11656-RA,41600
1637466_at,0.102968727,10.40808857,3.310917882,0.003480178,0.041276227,Ric,2R,CG8418-RA,36776
1623103_at,-0.166250684,5.164784456,-3.30849343,0.003499622,0.041467718,CG14946,2L,CG14946-RA,34627
1626881_at,-0.148220058,8.143505096,-3.306332428,0.003517043,0.041634895,CG8907,3R,CG8907-RA,42050
1638669_at,-0.124018656,9.405395773,-3.30561129,0.003522875,0.041647089,CG11395,2R,CG11395-RA,36937
1641149_at,-0.132988843,6.496816162,-3.305175636,0.003526403,0.041647089,CG11042,X,CG11042-RA,31847
1632178_at,0.102876736,9.908661453,3.304977199,0.003528011,0.041647089,enc,3L,CG10847-RB,44543
1634195_at,-0.209933539,5.956711672,-3.304541301,0.003531546,0.04164971,CG11093,4,CG11093-RA,43835
1631277_at,-0.179708672,5.490972075,-3.298234274,0.003583081,0.0422179,alpha-Est4,3R,CG1082-RA,40906
1639890_at,0.117374518,10.94197656,3.295594021,0.003604873,0.042434891,CG17508,2R,CG17508-RA,49893
1632852_s_at,0.154783552,11.454173,3.294710427,0.003612195,0.042481302,Gs1,2L,CG2718-RB,33172
1636480_at,0.13036357,5.013898655,3.293077297,0.003625766,0.042601051,CG14532,2L,CG14532-RA,34084
1636137_at,-0.090504443,8.00330008,-3.290939827,0.003643603,0.042770656,dare,2R,CG12390-RA,36203
1623928_at,-0.118738581,8.410736845,-3.290146969,0.003650241,0.042808607,CG5910,3L,CG5910-RA,40264
1625904_at,0.147743936,3.854899616,3.286674315,0.003679455,0.043111002,CG3557,2L,CG3557-RA,33426
1629667_at,-0.134617099,6.34262033,-3.285612563,0.003688432,0.04317595,CG14298,3R,CG14298-RA,42259
1626699_at,-0.165889655,2.865582088,-3.28165603,0.003722075,0.043487249,CG34002,3L,DM,3885644
1625606_at,0.124953691,4.805995222,3.281291223,0.003725192,0.043487249,Ocho,3L,CG3396-RA,39621
1640097_at,-0.149146675,7.250825138,-3.281205361,0.003725926,0.043487249,Pxn,3L,CG12002-RA,38326
1625691_at,0.085780258,8.861223988,3.280079373,0.003735565,0.043487249,Tre1,X,CG3171-RA,140439
1628824_s_at,0.142709883,8.521979107,3.279806364,0.003737906,0.043487249,CG3125,X,CG3125-RA,31496
1623904_a_at,-0.231511493,4.641490955,-3.279760902,0.003738296,0.043487249,Rpt3R,3R,CG9475-RA,41190
1622933_at,0.113364272,7.624058232,3.279650924,0.003739239,0.043487249,CG10344,2R,CG10344-RB,37565
1633674_at,-0.132120868,8.119556312,-3.278592466,0.003748331,0.043520675,CG31150,3R,CG31150-RA,41921
1636126_at,0.213059349,8.055712287,3.278161131,0.003752042,0.043520675,CG8290,2R,CG8290-RA,36278
1630667_at,-0.155232504,8.731782004,-3.278089187,0.003752661,0.043520675,CG34043,2L,DM,3885606
1635473_at,0.104668636,8.405422876,3.277706196,0.00375596,0.043520675,Apf,2L,CG31713-RA,318908
1631302_at,0.1296023,6.972459464,3.27707692,0.003761386,0.043543416,CG16885,2L,CG16885-RA,34811
1638009_s_at,0.120194033,11.26199929,3.275868738,0.003771826,0.043624099,CG9399,3R,CG9399-RB,41157
1639136_s_at,0.197094615,10.02452811,3.273908918,0.00378882,0.043780376,psq,2R,CG2368-RB,36118
1636338_at,0.184344321,7.928964534,3.273102792,0.003795832,0.043821123,CG15021,3L,CG15021-RA,38546
1629241_at,-0.109656343,8.429179992,-3.27238923,0.00380205,0.043852631,Ptpa,2L,CG3289-RA,33555
1629940_at,0.137345322,6.426914585,3.271169628,0.003812699,0.043935155,CG13895,3L,CG13895-RA,38087
1641448_a_at,0.125141371,6.010176864,3.269751775,0.003825116,0.044037879,Dg,2R,CG18250-RA,36773
1638405_at,-0.152251072,8.760538629,-3.266605975,0.003852808,0.044316104,CG9338,2L,CG9338-RA,35357
1626248_at,0.116104488,9.059808385,3.266022275,0.003857968,0.044334889,CG18547,3R,CG18547-RA,41452
1640567_at,0.095607456,8.7022288,3.264488199,0.00387156,0.044431345,CG7337,2L,CG7337-RA,33367
1638550_s_at,0.0745784,11.46752668,3.263737237,0.003878231,0.044431345,Pgi,2R,CG8251-RA,35886
1637079_at,0.12714232,9.273821394,3.263540834,0.003879978,0.044431345,CG5098,2R,CG5098-RA,37063
1632533_at,-0.117746399,8.849004086,-3.263482364,0.003880498,0.044431345,Timp,3R,CG6281-RB,41248
1632693_at,-0.148941905,4.023179317,-3.260360555,0.003908365,0.04470971,Lcp65Ac,3L,CG6956-RA,38708
1623972_a_at,0.111643353,10.46531717,3.259580416,0.00391536,0.044749006,CG4538,3R,CG4538-RA,42369
1631067_at,0.112699082,4.383855379,3.254963977,0.003957001,0.045170892,CG5539,2R,CG5539-RA,37766
1632452_at,-0.218184779,5.05766201,-3.254692929,0.003959459,0.045170892,CG18258,X,CG18258-RA,32708
1623555_at,-0.174249849,6.899756686,-3.253846863,0.003967142,0.04521751,CG10131,2R,CG10131-RA,36624
1625611_at,-0.158829876,6.089058334,-3.253245048,0.003972616,0.045238886,nimB4,2L,CG33115-RA,34814
1633314_at,-0.109354285,4.082986721,-3.251343567,0.00398996,0.04539527,CG15605,2R,CG15605-RA,36933
1624485_at,-0.138788912,5.669993962,-3.25024149,0.004000046,0.045468872,CG6867,X,CG6867-RA,32782
1631718_at,-0.093480136,11.08563022,-3.249697557,0.004005033,0.045479034,mRpL12,3L,CG5012-RA,44326
1631925_at,-0.121733765,5.97831904,-3.249355217,0.004008175,0.045479034,Mdr65,3L,CG10181-RA,38726
1634899_a_at,-0.082988832,9.909317495,-3.248864805,0.00401268,0.045489096,CG6512,3L,CG6512-RA,39922
1638110_at,-0.224434223,6.235129693,-3.246178484,0.004037444,0.045728604,CG40467,3LHet,CG40467-RA,3354976
1637978_at,-0.088665083,8.699813342,-3.24170005,0.004079062,0.046158389,CG10194,2L,CG10194-RA,35231
1625416_x_at,0.101188448,5.169110811,3.240685125,0.004088552,0.046200436,grp,2L,HDC02847,34993
1624083_s_at,0.07928644,12.90551486,3.240516808,0.004090128,0.046200436,M(2)21AB,2L,CG2674-RB,48552
1641104_s_at,0.205234518,9.145307955,3.238957315,0.004104757,0.046324057,Eaat1,2L,CG3747-RB,34251
1634606_a_at,0.109481124,9.585632514,3.23712655,0.004121995,0.046462623,mmy,2L,CG9535-RA,33903
1636508_at,0.069783719,10.20945793,3.236868957,0.004124426,0.046462623,Nca,3L,CG7641-RA,40186
1629866_at,0.111246398,9.383335456,3.236421514,0.004128653,0.046468595,Suv4-20,X,CG13363-RA,31015
1635897_at,-0.211119749,5.886993487,-3.234969065,0.004142401,0.046581631,CG15399,2L,CG15399-RA,33472
1639382_at,-0.128062906,3.657406003,-3.232334978,0.004167448,0.046812588,CG34353,3R,CG5572-RA,5740590
1641659_s_at,-0.099554921,11.96020439,-3.232026942,0.004170386,0.046812588,CG7834,3R,CG7834-RA,43515
1640767_s_at,-0.106878376,7.501418739,-3.229871727,0.004191004,0.047002052,CG14591,2R,CG14591-RA,35531
1624156_at,-0.120210361,9.598914576,-3.228953914,0.004199814,0.047058879,Ugt86Da,3R,CG18578-RA,53510
1635527_at,0.153101843,7.614065195,3.227248041,0.004216237,0.047200828,CG5039,3R,CG5039-RA,43100
1639516_at,-0.114272029,4.029374499,-3.221310073,0.004273893,0.047803718,CG30187,2R,CG30187-RA,246509
1641339_at,-0.089865353,6.290912245,-3.2197648,0.004289022,0.047930301,CG10137,2L,CG10137-RA,35241
1628670_at,0.186895921,7.076892685,3.218912236,0.004297392,0.047981184,CG18577,3R,CG18577-RA,41337
1631794_at,-0.109653662,6.544067768,-3.218305475,0.004303358,0.048000486,CG6201,2L,CG6201-RA,34544
1640341_s_at,0.10282806,8.980569597,3.217960217,0.004306757,0.048000486,Dgp-1,2R,CG5729-RA,37080
1636374_at,-0.132178027,9.796379021,-3.216002279,0.004326079,0.048173136,CAH1,2L,CG7820-RA,34786
1632203_at,-0.202735594,6.206571798,-3.214789237,0.004338093,0.048264165,CG31706,2L,CG31706-RA,261621
1637807_at,-0.151190636,7.859329869,-3.212565996,0.004360196,0.048467181,inaC,2R,CG6518-RA,36897
1626724_at,-0.176606201,10.55621413,-3.212165351,0.004364191,0.048468731,CG32687,X,CG32687-RA,31980
1625680_a_at,0.094328608,10.28193867,3.208263708,0.00440328,0.048859694,CG5792,2L,CG5792-RA,34685
1636142_at,-0.102569335,10.07491183,-3.205570449,0.004430461,0.049117953,CG7872,X,CG7872-RA,32493
1626309_at,0.149227732,10.60573358,3.203187936,0.004454643,0.049342528,Muc68D,3L,CG6004-RB,39326
1631387_at,-0.110930395,8.983507315,-3.202554786,0.004461091,0.049370449,CG30344,2R,CG30344-RA,246552
1637552_s_at,0.26020483,9.18889795,3.202062584,0.004466109,0.04938252,shep,3L,CG32423-RA,38605
1634789_at,-0.174718803,6.58224815,-3.201240536,0.004474503,0.049431861,CG30151,2R,CG30151-RA,246484
1640616_at,-0.139131281,4.562606863,-3.199545004,0.004491866,0.049580101,CG17974,2R,CG17974-RA,37441
1630673_at,0.125990955,4.783008788,3.197639359,0.004511458,0.049751671,CG32240,3L,CG32240-RA,317933
1638953_a_at,0.086186444,9.970698851,3.197264222,0.004515324,0.049751671,drpr,3L,CG2086-RA,38218
